"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways","REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS","DOWN",-0.183,-5.13,0.000964,0.00603
"(PID) IL12-mediated signaling events","PID_IL12_2PATHWAY","DOWN",-0.175,-5.1,0.000991,0.00609
"(PID) Integrin family cell surface interactions","PID_INTEGRIN_CS_PATHWAY","DOWN",-0.291,-5.1,0.000993,0.00609
"(Reactome) Phase 1 - Functionalization of compounds","REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS","DOWN",-0.231,-5.1,0.000994,0.00609
"(Reactome) E2F-enabled inhibition of pre-replication complex formation","REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION","UP",0.679,5.1,0.000995,0.00609
"(BioCarta) Ceramide Signaling Pathway","BIOCARTA_CERAMIDE_PATHWAY","DOWN",-0.168,-5.09,0.00101,0.0061
"(Reactome) Metabolism of non-coding RNA","REACTOME_METABOLISM_OF_NON_CODING_RNA","UP",0.26,5.08,0.00102,0.0061
"(KEGG) Cytokine-cytokine receptor interaction","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","DOWN",-0.199,-5.08,0.00102,0.0061
"(PID) FoxO family signaling","PID_FOXO_PATHWAY","UP",0.155,5.08,0.00102,0.0061
"(Reactome) EGFR downregulation","REACTOME_EGFR_DOWNREGULATION","DOWN",-0.166,-5.03,0.00108,0.00645
"(PID) Hypoxic and oxygen homeostasis regulation of HIF-1-alpha","PID_HIF1A_PATHWAY","DOWN",-0.243,-5.01,0.00111,0.00658
"(BioCarta) Oxidative Stress Induced Gene Expression Via Nrf2","BIOCARTA_ARENRF2_PATHWAY","DOWN",-0.174,-5,0.00112,0.00661
"(BioCarta) Rho cell motility signaling pathway","BIOCARTA_RHO_PATHWAY","DOWN",-0.162,-5,0.00113,0.00661
"(BioCarta) Caspase Cascade in Apoptosis","BIOCARTA_CASPASE_PATHWAY","UP",0.26,4.98,0.00114,0.00667
"(KEGG) Sphingolipid metabolism","KEGG_SPHINGOLIPID_METABOLISM","DOWN",-0.216,-4.97,0.00116,0.00672
"(Reactome) NOD1/2 Signaling Pathway","REACTOME_NOD1_2_SIGNALING_PATHWAY","DOWN",-0.187,-4.97,0.00117,0.00672
"(BioCarta) B Cell Survival Pathway","BIOCARTA_BCELLSURVIVAL_PATHWAY","UP",0.175,4.97,0.00117,0.00672
"(Reactome) Pre-NOTCH Transcription and Translation","REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION","UP",0.198,4.95,0.0012,0.00684
"(Reactome) Negative regulators of RIG-I/MDA5 signaling","REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING","DOWN",-0.205,-4.94,0.00121,0.00685
"(KEGG) One carbon pool by folate","KEGG_ONE_CARBON_POOL_BY_FOLATE","UP",0.463,4.93,0.00122,0.00691
"(Reactome) Double-Strand Break Repair","REACTOME_DOUBLE_STRAND_BREAK_REPAIR","UP",0.358,4.93,0.00123,0.00692
"(KEGG) Arrhythmogenic right ventricular cardiomyopathy (ARVC)","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC","DOWN",-0.218,-4.92,0.00124,0.00692
"(STKE) Wnt/Ca2+/cyclic GMP signaling.","ST_WNT_CA2_CYCLIC_GMP_PATHWAY","DOWN",-0.259,-4.88,0.0013,0.00725
"(Reactome) Growth hormone receptor signaling","REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING","DOWN",-0.215,-4.88,0.00131,0.00726
"(BioCarta) CBL mediated ligand-induced downregulation of EGF receptors","BIOCARTA_CBL_PATHWAY","DOWN",-0.285,-4.87,0.00132,0.00728
"(PID) PLK1 signaling events","PID_PLK1_PATHWAY","UP",0.647,4.84,0.00137,0.00754
"(Reactome) SHC-mediated signalling","REACTOME_SHC_MEDIATED_SIGNALLING","UP",0.217,4.83,0.00139,0.00756
"(Reactome) p53-Independent G1/S DNA damage checkpoint","REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT","DOWN",-0.207,-4.82,0.0014,0.00756
"(Reactome) Endosomal Sorting Complex Required For Transport (ESCRT)","REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT","DOWN",-0.168,-4.82,0.0014,0.00756
"(KEGG) Pantothenate and CoA biosynthesis","KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS","DOWN",-0.205,-4.81,0.00142,0.00762
"(BioCarta) Role of PI3K subunit p85 in regulation of Actin Organization and Cell Migration","BIOCARTA_CDC42RAC_PATHWAY","DOWN",-0.188,-4.81,0.00143,0.00766
"(PID) Visual signal transduction: Cones","PID_CONE_PATHWAY","DOWN",-0.272,-4.79,0.00146,0.00775
"(BioCarta) NF-kB Signaling Pathway","BIOCARTA_NFKB_PATHWAY","DOWN",-0.182,-4.79,0.00146,0.00775
"(Reactome) SCF-beta-TrCP mediated degradation of Emi1","REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1","DOWN",-0.203,-4.78,0.00148,0.00782
"(Reactome) Innate Immune System","REACTOME_INNATE_IMMUNE_SYSTEM","DOWN",-0.153,-4.76,0.00152,0.00795
"(Reactome) RNA Polymerase III Transcription","REACTOME_RNA_POL_III_TRANSCRIPTION","DOWN",-0.169,-4.76,0.00152,0.00795
"(Reactome) Inhibition of Insulin Secretion by Adrenaline/Noradrenaline","REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE","UP",0.16,4.75,0.00154,0.00803
"(PID) Aurora B signaling","PID_AURORA_B_PATHWAY","UP",0.496,4.74,0.00156,0.00807
"(Reactome) DNA Replication","REACTOME_DNA_REPLICATION","UP",0.445,4.73,0.00158,0.00815
"(KEGG) Toll-like receptor signaling pathway","KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","DOWN",-0.156,-4.71,0.00161,0.00826
"(KEGG) Apoptosis","KEGG_APOPTOSIS","DOWN",-0.158,-4.71,0.00161,0.00826
"(Reactome) HS-GAG biosynthesis","REACTOME_HS_GAG_BIOSYNTHESIS","UP",0.22,4.7,0.00163,0.00827
"(Reactome) p53-Dependent G1 DNA Damage Response","REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE","DOWN",-0.2,-4.7,0.00164,0.00829
"(Naba) Genes encoding secreted soluble factors","NABA_SECRETED_FACTORS","DOWN",-0.172,-4.69,0.00165,0.00834
"(Reactome) Keratan sulfate/keratin metabolism","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","DOWN",-0.212,-4.68,0.00168,0.00839
"(PID) Ras signaling in the CD4+ TCR pathway","PID_TCR_RAS_PATHWAY","DOWN",-0.213,-4.68,0.00168,0.00839
"(Reactome) Mitotic M-M/G1 phases","REACTOME_MITOTIC_M_M_G1_PHASES","UP",0.397,4.68,0.00169,0.00839
"(KEGG) Complement and coagulation cascades","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES","DOWN",-0.319,-4.67,0.0017,0.00839
"(Reactome) Glucose transport","REACTOME_GLUCOSE_TRANSPORT","UP",0.212,4.67,0.0017,0.00839
"(BioCarta) Endocytotic role of NDK, Phosphins and Dynamin","BIOCARTA_NDKDYNAMIN_PATHWAY","DOWN",-0.153,-4.65,0.00175,0.00849
"(Reactome) Gap junction trafficking","REACTOME_GAP_JUNCTION_TRAFFICKING","DOWN",-0.162,-4.64,0.00176,0.00849
"(BioCarta) Multi-step Regulation of Transcription by Pitx2","BIOCARTA_PITX2_PATHWAY","UP",0.239,4.64,0.00176,0.00849
"(Reactome) Formation of the ternary complex, and subsequently, the 43S complex","REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX","DOWN",-0.222,-4.64,0.00176,0.00849
"(BioCarta) Activation of Src by Protein-tyrosine phosphatase alpha","BIOCARTA_SRCRPTP_PATHWAY","UP",0.6,4.64,0.00177,0.00849
"(Reactome) Downstream Signaling Events Of B Cell Receptor (BCR)","REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR","DOWN",-0.153,-4.64,0.00178,0.00849
"(Reactome) Cell-extracellular matrix interactions","REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS","DOWN",-0.247,-4.63,0.00178,0.00849
"(Reactome) SOS-mediated signalling","REACTOME_SOS_MEDIATED_SIGNALLING","UP",0.228,4.63,0.00179,0.00849
"(BioCarta) Role of BRCA1, BRCA2 and ATR in Cancer Susceptibility","BIOCARTA_ATRBRCA_PATHWAY","UP",0.318,4.63,0.00179,0.00849
"(Reactome) RNA Polymerase II Transcription Pre-Initiation And Promoter Opening","REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING","DOWN",-0.208,-4.63,0.0018,0.00849
"(Naba) Ensemble of genes encoding ECM-associated proteins including ECM-affilaited proteins, ECM regulators and secreted factors","NABA_MATRISOME_ASSOCIATED","DOWN",-0.19,-4.61,0.00183,0.00863
"(Reactome) Transport of Mature Transcript to Cytoplasm","REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM","UP",0.254,4.61,0.00185,0.00865
"(KEGG) Natural killer cell mediated cytotoxicity","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY","DOWN",-0.157,-4.6,0.00187,0.00871
"(BioCarta) AKAP95 role in mitosis and chromosome dynamics","BIOCARTA_AKAP95_PATHWAY","UP",0.534,4.59,0.00189,0.00876
"(Naba) Ensemble of genes encoding extracellular matrix and extracellular matrix-associated proteins ","NABA_MATRISOME","DOWN",-0.19,-4.56,0.00196,0.009
"(Reactome) CDC6 association with the ORC:origin complex","REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX","UP",0.451,4.56,0.00196,0.009
"(Reactome) Cyclin A/B1 associated events during G2/M transition","REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION","UP",0.768,4.56,0.00197,0.009
"(BioCarta) Rho-Selective Guanine Exchange Factor AKAP13 Mediates Stress Fiber Formation","BIOCARTA_AKAP13_PATHWAY","DOWN",-0.195,-4.56,0.00197,0.009
"(Reactome) Phosphorylation of the APC/C","REACTOME_PHOSPHORYLATION_OF_THE_APC_C","UP",0.496,4.55,0.00199,0.00904
"(Reactome) Cytochrome P450 - arranged by substrate type","REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE","DOWN",-0.208,-4.54,0.00199,0.00904
"(BioCarta) Stathmin and breast cancer resistance to antimicrotubule agents","BIOCARTA_STATHMIN_PATHWAY","UP",0.344,4.54,0.002,0.00904
"(PID) Beta2 integrin cell surface interactions","PID_INTEGRIN2_PATHWAY","DOWN",-0.168,-4.54,0.00201,0.00905
"(Reactome) Metabolism of polyamines","REACTOME_METABOLISM_OF_POLYAMINES","DOWN",-0.227,-4.54,0.00202,0.00905
"(Signaling Gateway) Genes related to chemotaxis","SIG_CHEMOTAXIS","UP",0.149,4.53,0.00203,0.00905
"(Reactome) Extrinsic Pathway for Apoptosis","REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS","DOWN",-0.204,-4.52,0.00205,0.00912
"(Reactome) Sphingolipid metabolism","REACTOME_SPHINGOLIPID_METABOLISM","DOWN",-0.201,-4.5,0.00212,0.00933
"(Reactome) activated TAK1 mediates p38 MAPK activation","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION","DOWN",-0.142,-4.5,0.00212,0.00933
"(Reactome) G alpha (i) signalling events","REACTOME_G_ALPHA_I_SIGNALLING_EVENTS","DOWN",-0.174,-4.5,0.00213,0.00933
"(Reactome) trans-Golgi Network Vesicle Budding","REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING","DOWN",-0.162,-4.49,0.00213,0.00933
"(Reactome) Meiotic Synapsis","REACTOME_MEIOTIC_SYNAPSIS","UP",0.139,4.49,0.00214,0.00933
"(Reactome) Toll Receptor Cascades","REACTOME_TOLL_RECEPTOR_CASCADES","DOWN",-0.132,-4.48,0.00218,0.0094
"(Reactome) Fanconi Anemia pathway","REACTOME_FANCONI_ANEMIA_PATHWAY","UP",0.356,4.48,0.00218,0.0094
"(BioCarta) Bioactive Peptide Induced Signaling Pathway","BIOCARTA_BIOPEPTIDES_PATHWAY","DOWN",-0.149,-4.48,0.00218,0.0094
"(KEGG) RIG-I-like receptor signaling pathway","KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY","DOWN",-0.179,-4.44,0.00229,0.00981
"(Reactome) Generation of second messenger molecules","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","DOWN",-0.165,-4.43,0.00232,0.00991
"(PID) Endogenous TLR signaling","PID_TOLL_ENDOGENOUS_PATHWAY","DOWN",-0.154,-4.43,0.00233,0.00991
"(BioCarta) Keratinocyte Differentiation","BIOCARTA_KERATINOCYTE_PATHWAY","DOWN",-0.169,-4.42,0.00234,0.00992
"(PID) DNA-PK pathway in nonhomologous end joining","PID_DNA_PK_PATHWAY","DOWN",-0.25,-4.42,0.00235,0.00992
"(PID) IL23-mediated signaling events","PID_IL23_PATHWAY","NONE",-0.199,-4.39,0.00244,0.0102
"(Reactome) TAK1 activates NFkB by phosphorylation and activation of IKKs complex","REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX","NONE",-0.159,-4.39,0.00244,0.0102
"(Reactome) Interactions of Vpr with host cellular proteins","REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS","NONE",0.265,4.38,0.00247,0.0103
"(Naba) Genes encoding structural ECM glycoproteins","NABA_ECM_GLYCOPROTEINS","NONE",-0.197,-4.38,0.00248,0.0103
"(Reactome) Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components","REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS","NONE",0.357,4.36,0.00253,0.0105
"(BioCarta) IL12 and Stat4 Dependent Signaling Pathway in Th1 Development","BIOCARTA_IL12_PATHWAY","NONE",0.209,4.36,0.00253,0.0105
"(Naba) Ensemble of genes encoding core extracellular matrix including ECM glycoproteins, collagens and proteoglycans","NABA_CORE_MATRISOME","NONE",-0.19,-4.36,0.00255,0.0105
"(KEGG) Glycosaminoglycan biosynthesis - heparan sulfate","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE","NONE",0.211,4.36,0.00255,0.0105
"(Reactome) FRS2-mediated cascade","REACTOME_FRS2_MEDIATED_CASCADE","NONE",0.137,4.34,0.0026,0.0106
"(Reactome) Response to elevated platelet cytosolic Ca2+","REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_","NONE",-0.158,-4.34,0.0026,0.0106
"(Reactome) Telomere Maintenance","REACTOME_TELOMERE_MAINTENANCE","NONE",0.428,4.33,0.00263,0.0107
"(PID) Validated targets of C-MYC transcriptional activation","PID_MYC_ACTIV_PATHWAY","NONE",0.229,4.33,0.00264,0.0107
"(Reactome) Cell Cycle, Mitotic","REACTOME_CELL_CYCLE_MITOTIC","NONE",0.343,4.32,0.00269,0.0108
"(KEGG) Oocyte meiosis","KEGG_OOCYTE_MEIOSIS","NONE",0.199,4.32,0.0027,0.0108
"(Reactome) Regulation of IFNG signaling","REACTOME_REGULATION_OF_IFNG_SIGNALING","NONE",-0.26,-4.31,0.00272,0.0109
"(KEGG) SNARE interactions in vesicular transport","KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT","NONE",-0.178,-4.29,0.00281,0.0112
"(KEGG) Neuroactive ligand-receptor interaction","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","NONE",-0.201,-4.27,0.00287,0.0114
"(Reactome) Cell Cycle","REACTOME_CELL_CYCLE","NONE",0.315,4.26,0.00292,0.0115
"(PID) Regulation of RAC1 activity","PID_RAC1_REG_PATHWAY","NONE",0.155,4.25,0.00293,0.0115
"(Reactome) Nephrin interactions","REACTOME_NEPHRIN_INTERACTIONS","NONE",0.141,4.25,0.00293,0.0115
"(Reactome) G1/S Transition","REACTOME_G1_S_TRANSITION","NONE",0.406,4.24,0.00297,0.0116
"(Reactome) Regulation of mRNA Stability by Proteins that Bind AU-rich Elements","REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS","NONE",-0.154,-4.23,0.00302,0.0118
"(BioCarta) Ras-Independent pathway in NK cell-mediated cytotoxicity","BIOCARTA_NKCELLS_PATHWAY","NONE",-0.183,-4.22,0.00308,0.0119
"(Reactome) CDK-mediated phosphorylation and removal of Cdc6","REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6","NONE",-0.202,-4.22,0.00308,0.0119
"(BioCarta) fMLP induced chemokine gene expression in HMC-1 cells","BIOCARTA_FMLP_PATHWAY","NONE",-0.159,-4.21,0.00311,0.012
"(KEGG) Glutathione metabolism","KEGG_GLUTATHIONE_METABOLISM","NONE",-0.187,-4.2,0.00313,0.0121
"(BioCarta) Cell Cycle: G2/M Checkpoint","BIOCARTA_G2_PATHWAY","NONE",0.458,4.19,0.00319,0.0123
"(PID) p38 signaling mediated by MAPKAP kinases","PID_P38_MK2_PATHWAY","NONE",0.144,4.18,0.00321,0.0123
"(PID) Calcium signaling in the CD4+ TCR pathway","PID_TCR_CALCIUM_PATHWAY","NONE",-0.128,-4.17,0.00328,0.0125
"(KEGG) Homologous recombination","KEGG_HOMOLOGOUS_RECOMBINATION","NONE",0.331,4.16,0.0033,0.0126
"(Reactome) DSCAM interactions","REACTOME_DSCAM_INTERACTIONS","NONE",-0.285,-4.16,0.00333,0.0126
"(Reactome) Nitric oxide stimulates guanylate cyclase","REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE","NONE",-0.268,-4.15,0.00334,0.0126
"(Reactome) RAF/MAP kinase cascade","REACTOME_RAF_MAP_KINASE_CASCADE","NONE",0.287,4.13,0.00345,0.013
"(Reactome) Smooth Muscle Contraction","REACTOME_SMOOTH_MUSCLE_CONTRACTION","NONE",-0.169,-4.13,0.00345,0.013
"(Reactome) PTM: gamma carboxylation, hypusine formation and arylsulfatase activation","REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION","NONE",-0.2,-4.13,0.00347,0.013
"(Reactome) Thrombin signalling through proteinase activated receptors (PARs)","REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS","NONE",0.167,4.12,0.00352,0.0131
"(Reactome) HDL-mediated lipid transport","REACTOME_HDL_MEDIATED_LIPID_TRANSPORT","NONE",-0.316,-4.09,0.00365,0.0136
"(Reactome) Cholesterol biosynthesis","REACTOME_CHOLESTEROL_BIOSYNTHESIS","NONE",0.459,4.09,0.00367,0.0136
"(Reactome) APC/C:Cdc20 mediated degradation of Cyclin B","REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B","NONE",0.393,4.07,0.00373,0.0138
"(BioCarta) AKT Signaling Pathway","BIOCARTA_AKT_PATHWAY","NONE",0.136,4.07,0.00375,0.0138
"(Reactome) Metabolism of mRNA","REACTOME_METABOLISM_OF_MRNA","NONE",-0.152,-4.07,0.00377,0.0138
"(BioCarta) Intrinsic Prothrombin Activation Pathway","BIOCARTA_INTRINSIC_PATHWAY","NONE",-0.235,-4.06,0.0038,0.0139
"(Reactome) Association of licensing factors with the pre-replicative complex","REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX","NONE",0.376,4.04,0.0039,0.0142
"(SigmaAldrich) Expression of cyclins regulates progression through the cell cycle by activating cyclin-dependent kinases.","SA_REG_CASCADE_OF_CYCLIN_EXPR","NONE",0.488,4.04,0.00393,0.0142
"(Reactome) Synthesis of DNA","REACTOME_SYNTHESIS_OF_DNA","NONE",0.378,4.02,0.00401,0.0144
"(KEGG) Colorectal cancer","KEGG_COLORECTAL_CANCER","NONE",0.128,4.02,0.00401,0.0144
"(KEGG) PPAR signaling pathway","KEGG_PPAR_SIGNALING_PATHWAY","NONE",-0.164,-4.02,0.00402,0.0144
"(Reactome) Interleukin-2 signaling","REACTOME_IL_2_SIGNALING","NONE",0.123,4.02,0.00402,0.0144
"(Reactome) RNA Polymerase III Transcription Initiation From Type 2 Promoter","REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER","NONE",-0.133,-4.01,0.00405,0.0145
"(Reactome) Translation","REACTOME_TRANSLATION","NONE",-0.167,-4,0.0041,0.0146
"(Reactome) Signaling by the B Cell Receptor (BCR)","REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR","NONE",-0.124,-4,0.00414,0.0147
"(Reactome) Pre-NOTCH Expression and Processing","REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING","NONE",0.131,3.99,0.0042,0.0148
"(KEGG) NOD-like receptor signaling pathway","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","NONE",-0.168,-3.99,0.0042,0.0148
"(KEGG) Dilated cardiomyopathy","KEGG_DILATED_CARDIOMYOPATHY","NONE",-0.179,-3.97,0.0043,0.0151
"(KEGG) Amino sugar and nucleotide sugar metabolism","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM","NONE",-0.133,-3.97,0.0043,0.0151
"(Reactome) Viral Messenger RNA Synthesis","REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS","NONE",-0.233,-3.96,0.00435,0.0152
"(PID) Regulation of Telomerase","PID_TELOMERASE_PATHWAY","NONE",0.127,3.95,0.0044,0.0153
"(PID) Notch-mediated HES/HEY network","PID_HES_HEY_PATHWAY","NONE",0.114,3.95,0.00442,0.0153
"(Reactome) RNA Polymerase III Transcription Initiation From Type 3 Promoter","REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER","NONE",-0.164,-3.94,0.00447,0.0155
"(Reactome) JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1","REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1","NONE",-0.148,-3.93,0.00453,0.0156
"(Reactome) Activated AMPK stimulates fatty-acid oxidation in muscle","REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE","NONE",-0.195,-3.93,0.00457,0.0157
"(Reactome) Mitotic G1-G1/S phases","REACTOME_MITOTIC_G1_G1_S_PHASES","NONE",0.361,3.92,0.00459,0.0158
"(PID) Cellular roles of Anthrax toxin","PID_ANTHRAX_PATHWAY","NONE",-0.195,-3.91,0.00465,0.0159
"(Reactome) Abortive elongation of HIV-1 transcript in the absence of Tat","REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT","NONE",-0.167,-3.91,0.00468,0.016
"(STKE) Granule Cell Survival Pathway is a specific case of more general PAC1 Receptor Pathway.","ST_GRANULE_CELL_SURVIVAL_PATHWAY","NONE",0.119,3.89,0.0048,0.0163
"(Reactome) Prefoldin mediated transfer of substrate  to CCT/TriC","REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC","NONE",0.173,3.88,0.0049,0.0166
"(Reactome) Mitotic G2-G2/M phases","REACTOME_MITOTIC_G2_G2_M_PHASES","NONE",0.203,3.87,0.00491,0.0166
"(STKE) Myocyte Adrenergic Pathway is a specific case of the generalized Adrenergic Pathway.","ST_MYOCYTE_AD_PATHWAY","NONE",0.155,3.87,0.00493,0.0166
"(Naba) Genes encoding collagen proteins","NABA_COLLAGENS","NONE",-0.24,-3.87,0.00494,0.0166
"(Reactome) SHC1 events in ERBB4 signaling","REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING","NONE",0.158,3.87,0.00496,0.0166
"(PID) Regulation of CDC42 activity","PID_CDC42_REG_PATHWAY","NONE",0.141,3.86,0.00499,0.0166
"(PID) Trk receptor signaling mediated by PI3K and PLC-gamma","PID_PI3K_PLC_TRK_PATHWAY","NONE",0.132,3.86,0.00499,0.0166
"(PID) p53 pathway","PID_P53_REGULATION_PATHWAY","NONE",0.129,3.86,0.005,0.0166
"(KEGG) Olfactory transduction","KEGG_OLFACTORY_TRANSDUCTION","NONE",0.137,3.85,0.00511,0.0169
"(KEGG) Bladder cancer","KEGG_BLADDER_CANCER","NONE",-0.132,-3.84,0.00513,0.0169
"(BioCarta) TNFR1 Signaling Pathway","BIOCARTA_TNFR1_PATHWAY","NONE",0.143,3.84,0.00516,0.017
"(Reactome) Autodegradation of Cdh1 by Cdh1:APC/C","REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C","NONE",-0.159,-3.84,0.00518,0.017
"(BioCarta) Signaling Pathway from G-Protein Families","BIOCARTA_GPCR_PATHWAY","NONE",-0.15,-3.82,0.00531,0.0174
"(Reactome) Formation of the HIV-1 Early Elongation Complex","REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX","NONE",-0.162,-3.81,0.00539,0.0176
"(KEGG) VEGF signaling pathway","KEGG_VEGF_SIGNALING_PATHWAY","NONE",-0.143,-3.8,0.00543,0.0177
"(Reactome) Global Genomic NER (GG-NER)","REACTOME_GLOBAL_GENOMIC_NER_GG_NER","NONE",0.343,3.77,0.00566,0.0183
"(BioCarta) FAS signaling pathway ( CD95 )","BIOCARTA_FAS_PATHWAY","NONE",0.142,3.77,0.0057,0.0184
"(Reactome) Activation of Chaperones by ATF6-alpha","REACTOME_ACTIVATION_OF_CHAPERONES_BY_ATF6_ALPHA","NONE",0.195,3.77,0.00572,0.0184
"(Reactome) S Phase","REACTOME_S_PHASE","NONE",0.329,3.76,0.00574,0.0184
"(Reactome) Base Excision Repair","REACTOME_BASE_EXCISION_REPAIR","NONE",0.419,3.76,0.00575,0.0184
"(PID) Aurora A signaling","PID_AURORA_A_PATHWAY","NONE",0.311,3.75,0.00583,0.0186
"(Reactome) Resolution of AP sites via the multiple-nucleotide patch replacement pathway","REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY","NONE",0.456,3.74,0.00592,0.0189
"(PID) Regulation of Ras family activation","PID_RAS_PATHWAY","NONE",-0.174,-3.73,0.00598,0.019
"(Reactome) Membrane Trafficking","REACTOME_MEMBRANE_TRAFFICKING","NONE",-0.126,-3.73,0.00599,0.019
"(Reactome) Activation of Chaperone Genes by XBP1(S)","REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S","NONE",0.178,3.73,0.00602,0.019
"(Reactome) M/G1 Transition","REACTOME_M_G1_TRANSITION","NONE",0.319,3.73,0.00604,0.019
"(BioCarta) WNT Signaling Pathway","BIOCARTA_WNT_PATHWAY","NONE",0.146,3.73,0.00606,0.019
"(KEGG) Leishmania infection","KEGG_LEISHMANIA_INFECTION","NONE",-0.114,-3.72,0.00606,0.019
