"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) TAK1 activates NFkB by phosphorylation and activation of IKKs complex","REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX","UP",0.125,3.96,8.28e-05,0.000562
"(Reactome) p130Cas linkage to MAPK signaling for integrins","REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS","UP",0.182,3.96,8.32e-05,0.000562
"(Reactome) Formation of transcription-coupled NER (TC-NER) repair complex","REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX","DOWN",-0.117,-3.96,8.35e-05,0.000562
"(Reactome) Regulation of pyruvate dehydrogenase (PDH) complex","REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX","DOWN",-0.173,-3.96,8.35e-05,0.000562
"(Reactome) TRAF3-dependent IRF activation pathway","REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY","UP",0.128,3.95,8.69e-05,0.000581
"(Reactome) Potassium Channels","REACTOME_POTASSIUM_CHANNELS","DOWN",-0.254,-3.94,8.87e-05,0.000589
"(BioCarta) Role of MEF2D in T-cell Apoptosis","BIOCARTA_MEF2D_PATHWAY","UP",0.0589,3.94,8.93e-05,0.000589
"(Reactome) Orc1 removal from chromatin","REACTOME_ORC1_REMOVAL_FROM_CHROMATIN","DOWN",-0.0972,-3.94,8.97e-05,0.000589
"(PID) Netrin-mediated signaling events","PID_NETRIN_PATHWAY","UP",0.088,3.93,9.21e-05,0.000597
"(Reactome) Effects of PIP2 hydrolysis","REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS","DOWN",-0.186,-3.93,9.21e-05,0.000597
"(Reactome) GABA A receptor activation","REACTOME_GABA_A_RECEPTOR_ACTIVATION","DOWN",-0.448,-3.93,9.23e-05,0.000597
"(Reactome) DNA Replication","REACTOME_DNA_REPLICATION","DOWN",-0.0635,-3.92,9.56e-05,0.000614
"(Reactome) Integrin cell surface interactions","REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS","UP",0.145,3.91,9.94e-05,0.000636
"(KEGG) Type II diabetes mellitus","KEGG_TYPE_II_DIABETES_MELLITUS","DOWN",-0.143,-3.9,0.000106,0.000671
"(BioCarta) TPO Signaling Pathway","BIOCARTA_TPO_PATHWAY","UP",0.121,3.9,0.000106,0.000672
"(Reactome) SCF-beta-TrCP mediated degradation of Emi1","REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1","DOWN",-0.11,-3.9,0.000107,0.000674
"(BioCarta) NFkB activation by Nontypeable Hemophilus influenzae","BIOCARTA_NTHI_PATHWAY","UP",0.169,3.89,0.000109,0.000682
"(Reactome) Integrin alphaIIb beta3 signaling","REACTOME_INTEGRIN_ALPHAIIB_BETA3_SIGNALING","UP",0.0955,3.89,0.000111,0.000689
"(PID) Syndecan-4-mediated signaling events","PID_SYNDECAN_4_PATHWAY","UP",0.17,3.89,0.000111,0.000689
"(PID) Caspase cascade in apoptosis","PID_CASPASE_PATHWAY","UP",0.0757,3.88,0.000116,0.000714
"(Reactome) Apoptotic execution  phase","REACTOME_APOPTOTIC_EXECUTION_PHASE","UP",0.104,3.87,0.000119,0.000728
"(Reactome) Pre-NOTCH Processing in Golgi","REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI","UP",0.101,3.87,0.00012,0.00073
"(BioCarta) FAS signaling pathway ( CD95 )","BIOCARTA_FAS_PATHWAY","UP",0.091,3.87,0.00012,0.00073
"(BioCarta) Rho-Selective Guanine Exchange Factor AKAP13 Mediates Stress Fiber Formation","BIOCARTA_AKAP13_PATHWAY","UP",0.106,3.86,0.000122,0.000733
"(Reactome) Dopamine Neurotransmitter Release Cycle","REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE","DOWN",-0.207,-3.85,0.000129,0.000772
"(PID) FoxO family signaling","PID_FOXO_PATHWAY","UP",0.0918,3.84,0.000134,0.000797
"(Reactome) TRAF6 mediated NF-kB activation","REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION","UP",0.135,3.84,0.000137,0.000811
"(KEGG) Cytokine-cytokine receptor interaction","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","UP",0.0983,3.83,0.000139,0.00082
"(KEGG) Glycosphingolipid biosynthesis - ganglio series","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES","DOWN",-0.181,-3.83,0.000141,0.000828
"(PID) Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling","PID_UPA_UPAR_PATHWAY","UP",0.16,3.82,0.000144,0.00084
"(KEGG) Progesterone-mediated oocyte maturation","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION","DOWN",-0.0812,-3.81,0.000148,0.000859
"(Reactome) Glycogen breakdown (glycogenolysis)","REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS","UP",0.145,3.81,0.000149,0.000859
"(Reactome) Vif-mediated degradation of APOBEC3G","REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G","DOWN",-0.111,-3.81,0.000149,0.000859
"(Reactome) Signaling by FGFR1 mutants","REACTOME_SIGNALING_BY_FGFR1_MUTANTS","UP",0.0892,3.81,0.00015,0.000859
"(Reactome) CDK-mediated phosphorylation and removal of Cdc6","REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6","DOWN",-0.108,-3.81,0.00015,0.000859
"(Reactome) Post-translational protein modification","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION","DOWN",-0.0632,-3.8,0.000157,0.000892
"(Reactome) Activation of NF-kappaB in B Cells","REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS","DOWN",-0.0822,-3.8,0.000158,0.000892
"(KEGG) Glyoxylate and dicarboxylate metabolism","KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM","DOWN",-0.095,-3.79,0.00016,0.000899
"(Reactome) G alpha (s) signalling events","REACTOME_G_ALPHA_S_SIGNALLING_EVENTS","DOWN",-0.0871,-3.79,0.000161,0.000899
"(BioCarta) mTOR Signaling Pathway","BIOCARTA_MTOR_PATHWAY","DOWN",-0.078,-3.78,0.000171,0.000945
"(Reactome) Neuronal System","REACTOME_NEURONAL_SYSTEM","DOWN",-0.194,-3.78,0.000171,0.000945
"(KEGG) Proteasome","KEGG_PROTEASOME","DOWN",-0.117,-3.78,0.000171,0.000945
"(BioCarta) PKC-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase","BIOCARTA_MYOSIN_PATHWAY","UP",0.0857,3.78,0.000173,0.000945
"(Reactome) Late Phase of HIV Life Cycle","REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE","DOWN",-0.0761,-3.78,0.000173,0.000945
"(KEGG) Prostate cancer","KEGG_PROSTATE_CANCER","UP",0.0572,3.77,0.000179,0.000972
"(KEGG) Base excision repair","KEGG_BASE_EXCISION_REPAIR","DOWN",-0.0842,-3.77,0.00018,0.000972
"(Reactome) Retrograde neurotrophin signalling","REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING","DOWN",-0.138,-3.77,0.00018,0.000972
"(Reactome) Platelet Aggregation (Plug Formation)","REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION","UP",0.0837,3.76,0.000185,0.000993
"(Reactome) Signaling by NOTCH","REACTOME_SIGNALING_BY_NOTCH","UP",0.0655,3.76,0.000186,0.000993
"(Reactome) Signaling by FGFR mutants","REACTOME_SIGNALING_BY_FGFR_MUTANTS","UP",0.0917,3.75,0.000195,0.00103
"(Reactome) Chondroitin sulfate/dermatan sulfate metabolism","REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM","UP",0.119,3.75,0.000195,0.00103
"(KEGG) RNA degradation","KEGG_RNA_DEGRADATION","DOWN",-0.0614,-3.74,0.000196,0.00103
"(Reactome) SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs","REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS","DOWN",-0.142,-3.74,0.000201,0.00105
"(Reactome) activated TAK1 mediates p38 MAPK activation","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION","UP",0.105,3.73,0.000206,0.00108
"(Reactome) Cell Cycle, Mitotic","REACTOME_CELL_CYCLE_MITOTIC","DOWN",-0.0517,-3.72,0.000211,0.0011
"(Reactome) Kinesins","REACTOME_KINESINS","DOWN",-0.0974,-3.72,0.000214,0.00111
"(Reactome) Cross-presentation of soluble exogenous antigens (endosomes)","REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES","DOWN",-0.107,-3.71,0.00022,0.00113
"(SigmaAldrich) Apoptosis is mediated by caspases, cysteine proteases arranged in a proteolytic cascade.","SA_CASPASE_CASCADE","UP",0.0914,3.71,0.000221,0.00113
"(BioCarta) T Cell Receptor Signaling Pathway","BIOCARTA_TCR_PATHWAY","UP",0.0785,3.71,0.000223,0.00114
"(Reactome) Destabilization of mRNA by KSRP","REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP","DOWN",-0.106,-3.71,0.000225,0.00114
"(Reactome) Synthesis of substrates in N-glycan biosythesis","REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","DOWN",-0.132,-3.71,0.000225,0.00114
"(Reactome) Lagging Strand Synthesis","REACTOME_LAGGING_STRAND_SYNTHESIS","DOWN",-0.103,-3.71,0.000226,0.00114
"(Reactome) NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10","REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10","UP",0.0936,3.71,0.000227,0.00114
"(Reactome) Metabolism of proteins","REACTOME_METABOLISM_OF_PROTEINS","DOWN",-0.0489,-3.7,0.000235,0.00118
"(KEGG) Leukocyte transendothelial migration","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","UP",0.0965,3.69,0.000246,0.00122
"(Reactome) Vitamin B5 (pantothenate) metabolism","REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM","DOWN",-0.15,-3.68,0.000247,0.00122
"(Reactome) Adherens junctions interactions","REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS","DOWN",-0.121,-3.68,0.000255,0.00126
"(Reactome) Class C/3 (Metabotropic glutamate/pheromone receptors)","REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS","DOWN",-0.211,-3.67,0.000258,0.00127
"(Reactome) CS/DS degradation","REACTOME_CS_DS_DEGRADATION","UP",0.178,3.67,0.000265,0.0013
"(PID) IL8- and CXCR1-mediated signaling events","PID_IL8_CXCR1_PATHWAY","DOWN",-0.108,-3.66,0.000275,0.00134
"(PID) Angiopoietin receptor Tie2-mediated signaling","PID_ANGIOPOIETIN_RECEPTOR_PATHWAY","UP",0.144,3.65,0.000279,0.00135
"(Reactome) Nuclear signaling by ERBB4","REACTOME_NUCLEAR_SIGNALING_BY_ERBB4","UP",0.0738,3.64,0.000293,0.00141
"(Reactome) Interaction between L1 and Ankyrins","REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS","DOWN",-0.229,-3.64,0.000298,0.00143
"(Reactome) HIV Life Cycle","REACTOME_HIV_LIFE_CYCLE","DOWN",-0.0664,-3.63,0.000298,0.00143
"(Reactome) Cell-extracellular matrix interactions","REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS","UP",0.169,3.63,0.000303,0.00145
"(KEGG) Tyrosine metabolism","KEGG_TYROSINE_METABOLISM","DOWN",-0.0743,-3.63,0.000307,0.00146
"(Reactome) DARPP-32 events","REACTOME_DARPP_32_EVENTS","DOWN",-0.062,-3.6,0.000342,0.00162
"(BioCarta) Apoptotic Signaling in Response to DNA Damage","BIOCARTA_CHEMICAL_PATHWAY","UP",0.0692,3.6,0.000346,0.00163
"(Reactome) mRNA Decay by 3' to 5' Exoribonuclease","REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE","DOWN",-0.127,-3.59,0.000353,0.00166
"(PID) IL3-mediated signaling events","PID_IL3_PATHWAY","UP",0.118,3.59,0.000356,0.00167
"(KEGG) Drug metabolism - other enzymes","KEGG_DRUG_METABOLISM_OTHER_ENZYMES","DOWN",-0.0986,-3.58,0.00036,0.00168
"(STKE) p38 MAPK Pathway","ST_P38_MAPK_PATHWAY","UP",0.0828,3.58,0.000361,0.00168
"(PID) Validated transcriptional targets of deltaNp63 isoforms","PID_DELTA_NP63_PATHWAY","UP",0.105,3.58,0.000371,0.00172
"(BioCarta) Signaling of Hepatocyte Growth Factor Receptor","BIOCARTA_MET_PATHWAY","UP",0.0689,3.58,0.000374,0.00172
"(Reactome) G alpha (q) signalling events","REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS","DOWN",-0.105,-3.57,0.000376,0.00172
"(BioCarta) CTCF: First Multivalent Nuclear Factor","BIOCARTA_CTCF_PATHWAY","UP",0.149,3.57,0.000385,0.00176
"(Reactome) Asparagine N-linked glycosylation","REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION","DOWN",-0.0529,-3.56,0.00039,0.00177
"(Reactome) Peroxisomal lipid metabolism","REACTOME_PEROXISOMAL_LIPID_METABOLISM","DOWN",-0.0853,-3.55,0.000408,0.00185
"(KEGG) Pantothenate and CoA biosynthesis","KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS","DOWN",-0.102,-3.54,0.000426,0.00193
"(Reactome) Transferrin endocytosis and recycling","REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING","DOWN",-0.096,-3.53,0.000437,0.00197
"(PID) Role of Calcineurin-dependent NFAT signaling in lymphocytes","PID_NFAT_3PATHWAY","DOWN",-0.0836,-3.53,0.000444,0.00199
"(Reactome) Regulation of Apoptosis","REACTOME_REGULATION_OF_APOPTOSIS","DOWN",-0.0804,-3.52,0.00046,0.00205
"(BioCarta) AKAP95 role in mitosis and chromosome dynamics","BIOCARTA_AKAP95_PATHWAY","DOWN",-0.0985,-3.52,0.000461,0.00205
"(BioCarta) CDK Regulation of DNA Replication","BIOCARTA_MCM_PATHWAY","DOWN",-0.12,-3.52,0.000467,0.00207
"(STKE) Wnt/Ca2+/cyclic GMP signaling.","ST_WNT_CA2_CYCLIC_GMP_PATHWAY","UP",0.0908,3.51,0.000474,0.00209
"(PID) CXCR4-mediated signaling events","PID_CXCR4_PATHWAY","UP",0.0662,3.51,0.000477,0.0021
"(KEGG) Focal adhesion","KEGG_FOCAL_ADHESION","UP",0.0679,3.5,5e-04,0.00219
"(Reactome) Mitotic M-M/G1 phases","REACTOME_MITOTIC_M_M_G1_PHASES","DOWN",-0.0607,-3.5,0.000502,0.00219
"(KEGG) Alanine, aspartate and glutamate metabolism","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","DOWN",-0.116,-3.49,0.000509,0.00221
"(Reactome) Metabolism of non-coding RNA","REACTOME_METABOLISM_OF_NON_CODING_RNA","DOWN",-0.0752,-3.49,0.000519,0.00225
"(PID) Notch signaling pathway","PID_NOTCH_PATHWAY","UP",0.0677,3.48,0.00053,0.00229
"(Reactome) A tetrasaccharide linker sequence is required for GAG synthesis","REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS","UP",0.165,3.48,0.000538,0.00232
"(Reactome) Transcription","REACTOME_TRANSCRIPTION","DOWN",-0.0775,-3.47,0.000553,0.00236
"(Reactome) Pyruvate metabolism","REACTOME_PYRUVATE_METABOLISM","DOWN",-0.124,-3.47,0.000554,0.00236
"(BioCarta) E2F1 Destruction Pathway","BIOCARTA_SKP2E2F_PATHWAY","DOWN",-0.0945,-3.47,0.000555,0.00236
"(BioCarta) Endocytotic role of NDK, Phosphins and Dynamin","BIOCARTA_NDKDYNAMIN_PATHWAY","DOWN",-0.0911,-3.47,0.000557,0.00236
"(PID) Validated transcriptional targets of AP1 family members Fra1 and Fra2","PID_FRA_PATHWAY","UP",0.17,3.47,0.000558,0.00236
"(PID) PDGFR-alpha signaling pathway","PID_PDGFRA_PATHWAY","UP",0.128,3.46,0.000564,0.00237
"(Reactome) p53-Independent G1/S DNA damage checkpoint","REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT","DOWN",-0.096,-3.46,0.000571,0.00239
"(KEGG) Fructose and mannose metabolism","KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM","DOWN",-0.0763,-3.46,0.000576,0.00241
"(Reactome) RNA Polymerase I Transcription Initiation","REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION","DOWN",-0.101,-3.45,0.000589,0.00245
"(Reactome) DNA Repair","REACTOME_DNA_REPAIR","DOWN",-0.0726,-3.45,0.000603,0.0025
"(PID) ATR signaling pathway","PID_ATR_PATHWAY","DOWN",-0.081,-3.44,0.000607,0.00251
"(Reactome) Activation of the pre-replicative complex","REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX","DOWN",-0.105,-3.44,0.000609,0.00251
"(Reactome) Basigin interactions","REACTOME_BASIGIN_INTERACTIONS","UP",0.0968,3.44,0.00061,0.00251
"(Reactome) Regulation of beta-cell development","REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT","UP",0.118,3.44,0.000616,0.00252
"(KEGG) Neuroactive ligand-receptor interaction","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","DOWN",-0.156,-3.42,0.000652,0.00265
"(Reactome) RNA Polymerase II Pre-transcription Events","REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS","DOWN",-0.0764,-3.42,0.000653,0.00265
"(BioCarta) Skeletal muscle hypertrophy is regulated via AKT/mTOR pathway","BIOCARTA_IGF1MTOR_PATHWAY","DOWN",-0.0841,-3.41,0.000678,0.00275
"(BioCarta) Regulation of eIF4e and p70 S6 Kinase","BIOCARTA_EIF4_PATHWAY","DOWN",-0.0784,-3.41,0.000686,0.00276
"(BioCarta) Cells and Molecules involved in local acute inflammatory response","BIOCARTA_LAIR_PATHWAY","UP",0.245,3.41,0.000686,0.00276
"(BioCarta) NFAT and Hypertrophy of the heart (Transcription in the broken heart)","BIOCARTA_NFAT_PATHWAY","DOWN",-0.06,-3.4,0.000704,0.00282
"(BioCarta) Ca++/ Calmodulin-dependent Protein Kinase Activation","BIOCARTA_CACAM_PATHWAY","DOWN",-0.168,-3.4,0.000706,0.00282
"(Reactome) TRAF6 mediated induction of TAK1 complex","REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX","UP",0.133,3.38,0.000752,0.00299
"(Reactome) Nucleotide Excision Repair","REACTOME_NUCLEOTIDE_EXCISION_REPAIR","DOWN",-0.0833,-3.38,0.000763,0.00303
"(KEGG) Dorso-ventral axis formation","KEGG_DORSO_VENTRAL_AXIS_FORMATION","UP",0.096,3.38,0.00077,0.00305
"(KEGG) Chronic myeloid leukemia","KEGG_CHRONIC_MYELOID_LEUKEMIA","UP",0.074,3.36,0.000822,0.00324
"(PID) RXR and RAR heterodimerization with other nuclear receptor","PID_RXR_VDR_PATHWAY","UP",0.0959,3.36,0.000835,0.00328
"(BioCarta) Stathmin and breast cancer resistance to antimicrotubule agents","BIOCARTA_STATHMIN_PATHWAY","DOWN",-0.135,-3.35,0.000839,0.00328
"(PID) Arf6 trafficking events","PID_ARF6_TRAFFICKING_PATHWAY","UP",0.0718,3.35,0.000841,0.00328
"(PID) Signaling mediated by p38-gamma and p38-delta","PID_P38_GAMMA_DELTA_PATHWAY","UP",0.0757,3.35,0.000844,0.00328
"(Reactome) Cyclin A/B1 associated events during G2/M transition","REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION","DOWN",-0.112,-3.35,0.000857,0.00332
"(Reactome) RNA Polymerase II Transcription","REACTOME_RNA_POL_II_TRANSCRIPTION","DOWN",-0.069,-3.35,0.000862,0.00333
"(Reactome) Association of licensing factors with the pre-replicative complex","REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX","DOWN",-0.105,-3.34,0.000886,0.00341
"(SigmaAldrich) PTEN is a tumor suppressor that dephosphorylates the lipid messenger phosphatidylinositol triphosphate.","SA_PTEN_PATHWAY","DOWN",-0.0915,-3.34,0.000888,0.00341
"(KEGG) Amyotrophic lateral sclerosis (ALS)","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS","DOWN",-0.0707,-3.32,0.000946,0.00362
"(KEGG) Cell adhesion molecules (CAMs)","KEGG_CELL_ADHESION_MOLECULES_CAMS","UP",0.115,3.32,0.000957,0.00365
"(Reactome) Hemostasis","REACTOME_HEMOSTASIS","UP",0.0278,3.31,0.000969,0.00368
"(BioCarta) Corticosteroids and cardioprotection","BIOCARTA_GCR_PATHWAY","UP",0.0712,3.3,0.00102,0.00383
"(Reactome) Autodegradation of the E3 ubiquitin ligase COP1","REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1","DOWN",-0.0892,-3.3,0.00102,0.00383
"(Reactome) Synthesis of PC","REACTOME_SYNTHESIS_OF_PC","UP",0.099,3.29,0.00104,0.0039
"(PID) Integrins in angiogenesis","PID_AVB3_INTEGRIN_PATHWAY","UP",0.0914,3.29,0.00104,0.0039
"(BioCarta) EPO Signaling Pathway","BIOCARTA_EPO_PATHWAY","UP",0.107,3.29,0.00106,0.00396
"(PID) PLK1 signaling events","PID_PLK1_PATHWAY","DOWN",-0.06,-3.28,0.00109,0.00406
"(BioCarta) Deregulation of CDK5 in Alzheimers Disease","BIOCARTA_P35ALZHEIMERS_PATHWAY","DOWN",-0.127,-3.28,0.0011,0.00408
"(Reactome) DNA strand elongation","REACTOME_DNA_STRAND_ELONGATION","DOWN",-0.0932,-3.28,0.0011,0.00408
"(Reactome) Deadenylation-dependent mRNA decay","REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY","DOWN",-0.0574,-3.26,0.00116,0.00428
"(Reactome) Transmission across Chemical Synapses","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","DOWN",-0.147,-3.26,0.00118,0.00435
"(KEGG) Regulation of autophagy","KEGG_REGULATION_OF_AUTOPHAGY","DOWN",-0.0783,-3.26,0.00119,0.00435
"(BioCarta) Regulation of transcriptional activity by PML","BIOCARTA_PML_PATHWAY","UP",0.157,3.25,0.00119,0.00435
"(STKE) G alpha 13 Pathway","ST_GA13_PATHWAY","UP",0.0542,3.25,0.00122,0.00445
"(Reactome) Polymerase switching","REACTOME_POL_SWITCHING","DOWN",-0.0777,-3.24,0.00124,0.00449
"(Reactome) Downstream Signaling Events Of B Cell Receptor (BCR)","REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR","DOWN",-0.0478,-3.24,0.00125,0.00452
"(PID) Beta3 integrin cell surface interactions","PID_INTEGRIN3_PATHWAY","UP",0.136,3.24,0.00125,0.00453
"(Reactome) NOTCH1 Intracellular Domain Regulates Transcription","REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION","UP",0.0645,3.23,0.00128,0.00461
"(BioCarta) Regulation of eIF2","BIOCARTA_EIF2_PATHWAY","DOWN",-0.0773,-3.23,0.0013,0.00467
"(KEGG) Ether lipid metabolism","KEGG_ETHER_LIPID_METABOLISM","UP",0.1,3.22,0.00132,0.00473
"(PID) HIF-1-alpha transcription factor network","PID_HIF1_TFPATHWAY","UP",0.126,3.22,0.00133,0.00473
"(Reactome) RORA Activates Circadian Expression","REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION","UP",0.103,3.22,0.00134,0.00478
"(Reactome) Gastrin-CREB signalling pathway via PKC and MAPK","REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK","DOWN",-0.0784,-3.21,0.00137,0.00484
"(KEGG) Viral myocarditis","KEGG_VIRAL_MYOCARDITIS","UP",0.135,3.21,0.00137,0.00484
"(BioCarta) IL 3 signaling pathway","BIOCARTA_IL3_PATHWAY","UP",0.131,3.21,0.00137,0.00484
"(BioCarta) Cell Cycle: G1/S Check Point","BIOCARTA_G1_PATHWAY","UP",0.096,3.2,0.00145,0.00509
"(BioCarta) Role of EGF Receptor Transactivation by GPCRs in Cardiac Hypertrophy","BIOCARTA_CARDIACEGF_PATHWAY","UP",0.143,3.2,0.00145,0.00509
"(Reactome) Global Genomic NER (GG-NER)","REACTOME_GLOBAL_GENOMIC_NER_GG_NER","DOWN",-0.0755,-3.19,0.00146,0.00511
"(PID) FGF signaling pathway","PID_FGF_PATHWAY","UP",0.0676,3.19,0.00149,0.00518
"(BioCarta) Growth Hormone Signaling Pathway","BIOCARTA_GH_PATHWAY","UP",0.0509,3.18,0.00152,0.00527
"(BioCarta) Regulation of ck1/cdk5 by type 1 glutamate receptors","BIOCARTA_CK1_PATHWAY","DOWN",-0.153,-3.18,0.00156,0.00538
"(PID) AP-1 transcription factor network","PID_AP1_PATHWAY","UP",0.168,3.17,0.00158,0.00542
"(PID) Canonical NF-kappaB pathway","PID_NFKAPPAB_CANONICAL_PATHWAY","UP",0.117,3.17,0.00158,0.00542
"(KEGG) N-Glycan biosynthesis","KEGG_N_GLYCAN_BIOSYNTHESIS","DOWN",-0.0485,-3.17,0.00158,0.00542
"(Reactome) Neurotransmitter Release Cycle","REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE","DOWN",-0.125,-3.16,0.00164,0.00562
"(BioCarta) Rho cell motility signaling pathway","BIOCARTA_RHO_PATHWAY","UP",0.0632,3.16,0.00166,0.00566
"(PID) DNA-PK pathway in nonhomologous end joining","PID_DNA_PK_PATHWAY","DOWN",-0.0721,-3.16,0.00167,0.00567
"(Reactome) Pyrimidine metabolism","REACTOME_PYRIMIDINE_METABOLISM","DOWN",-0.0863,-3.15,0.0017,0.00576
"(Reactome) GPCR ligand binding","REACTOME_GPCR_LIGAND_BINDING","DOWN",-0.0802,-3.14,0.00174,0.00588
"(BioCarta) BCR Signaling Pathway","BIOCARTA_BCR_PATHWAY","UP",0.0584,3.14,0.00178,0.00601
"(Signaling Gateway) Members of the BCR signaling pathway","SIG_BCR_SIGNALING_PATHWAY","UP",0.0518,3.13,0.00179,0.00601
"(KEGG) Pathways in cancer","KEGG_PATHWAYS_IN_CANCER","UP",0.0297,3.13,0.00179,0.00601
"(Reactome) RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription","REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION","DOWN",-0.0957,-3.13,0.0018,0.00601
"(PID) HIF-2-alpha transcription factor network","PID_HIF2PATHWAY","UP",0.109,3.13,0.0018,0.00601
"(Reactome) Cell Cycle","REACTOME_CELL_CYCLE","DOWN",-0.0447,-3.13,0.00182,0.00604
"(Reactome) Repair synthesis for gap-filling by DNA polymerase in TC-NER","REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER","DOWN",-0.0838,-3.12,0.0019,0.0063
"(Reactome) Signaling by GPCR","REACTOME_SIGNALING_BY_GPCR","DOWN",-0.0655,-3.11,0.00192,0.00635
"(Reactome) Metabolism of nucleotides","REACTOME_METABOLISM_OF_NUCLEOTIDES","DOWN",-0.0516,-3.11,0.00194,0.00638
