"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(PID) E2F transcription factor network","PID_E2F_PATHWAY","UP",0.0251,2.49,0.013,0.0843
"(BioCarta) Thrombin signaling and protease-activated receptors","BIOCARTA_PAR1_PATHWAY","UP",0.0255,2.48,0.0134,0.0855
"(Reactome) Apoptotic cleavage of cellular proteins","REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS","UP",0.0359,2.48,0.0134,0.0855
"(KEGG) Glutathione metabolism","KEGG_GLUTATHIONE_METABOLISM","DOWN",-0.0549,-2.48,0.0134,0.0855
"(Reactome) Diabetes pathways","REACTOME_DIABETES_PATHWAYS","DOWN",-0.0258,-2.46,0.014,0.0889
"(Reactome) Cell Cycle Checkpoints","REACTOME_CELL_CYCLE_CHECKPOINTS","DOWN",-0.0377,-2.46,0.0143,0.09
"(BioCarta) TNF/Stress Related Signaling","BIOCARTA_STRESS_PATHWAY","UP",0.0454,2.45,0.0145,0.0908
"(BioCarta) Double Stranded RNA Induced Gene Expression","BIOCARTA_RNA_PATHWAY","UP",0.0842,2.44,0.015,0.0934
"(Reactome) Early Phase of HIV Life Cycle","REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE","DOWN",-0.0379,-2.44,0.0151,0.0936
"(KEGG) Glycerolipid metabolism","KEGG_GLYCEROLIPID_METABOLISM","DOWN",-0.0326,-2.43,0.0154,0.0949
"(Reactome) Metabolism of vitamins and cofactors","REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS","DOWN",-0.0389,-2.42,0.0157,0.0953
"(Reactome) Regulation of mitotic cell cycle","REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE","DOWN",-0.0367,-2.42,0.0157,0.0953
"(BioCarta) Multi-step Regulation of Transcription by Pitx2","BIOCARTA_PITX2_PATHWAY","UP",0.0468,2.42,0.0157,0.0953
"(PID) Signaling events mediated by HDAC Class I","PID_HDAC_CLASSI_PATHWAY","UP",0.0321,2.42,0.0158,0.0955
"(Reactome) Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER","UP",0.0338,2.41,0.0163,0.098
"(PID) Notch-mediated HES/HEY network","PID_HES_HEY_PATHWAY","UP",0.0468,2.4,0.0167,0.0996
"(Reactome) BMAL1:CLOCK/NPAS2 Activates Circadian Expression","REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION","NONE",0.0382,2.39,0.0171,0.102
"(Reactome) Autodegradation of Cdh1 by Cdh1:APC/C","REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C","NONE",-0.0396,-2.39,0.0172,0.102
"(BioCarta) Rho-Selective Guanine Exchange Factor AKAP13 Mediates Stress Fiber Formation","BIOCARTA_AKAP13_PATHWAY","NONE",0.0522,2.39,0.0174,0.102
"(KEGG) T cell receptor signaling pathway","KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY","NONE",0.0211,2.38,0.0174,0.102
"(Reactome) Circadian Clock","REACTOME_CIRCADIAN_CLOCK","NONE",0.0298,2.37,0.018,0.104
"(Reactome) Glycosphingolipid metabolism","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","NONE",-0.0474,-2.37,0.018,0.104
"(BioCarta) Map Kinase Inactivation of SMRT Corepressor","BIOCARTA_EGFR_SMRTE_PATHWAY","NONE",0.0607,2.37,0.0182,0.104
"(PID) FoxO family signaling","PID_FOXO_PATHWAY","NONE",0.0307,2.37,0.0182,0.104
"(BioCarta) Integrin Signaling Pathway","BIOCARTA_INTEGRIN_PATHWAY","NONE",0.0336,2.37,0.0183,0.104
"(Reactome) Signaling by Hippo","REACTOME_SIGNALING_BY_HIPPO","NONE",0.0677,2.36,0.0183,0.104
"(Reactome) S Phase","REACTOME_S_PHASE","NONE",-0.0321,-2.36,0.0184,0.104
"(Reactome) Synthesis of DNA","REACTOME_SYNTHESIS_OF_DNA","NONE",-0.0338,-2.36,0.0184,0.104
"(Reactome) Antiviral mechanism by IFN-stimulated genes","REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES","NONE",-0.0352,-2.36,0.0186,0.104
"(BioCarta) MAPKinase Signaling Pathway","BIOCARTA_MAPK_PATHWAY","NONE",0.0275,2.36,0.0187,0.104
"(Reactome) Synthesis of PIPs at the plasma membrane","REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE","NONE",0.0392,2.35,0.0189,0.105
"(Reactome) APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1","NONE",-0.0373,-2.35,0.0192,0.106
"(Reactome) Regulation of KIT signaling","REACTOME_REGULATION_OF_KIT_SIGNALING","NONE",0.0488,2.35,0.0193,0.106
"(Reactome) Regulation of mRNA Stability by Proteins that Bind AU-rich Elements","REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS","NONE",-0.0226,-2.34,0.0197,0.107
"(Reactome) Metal ion SLC transporters","REACTOME_METAL_ION_SLC_TRANSPORTERS","NONE",-0.0482,-2.33,0.0199,0.108
"(Reactome) Mitochondrial tRNA aminoacylation","REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION","NONE",-0.0527,-2.33,0.0199,0.108
"(PID) ErbB2/ErbB3 signaling events","PID_ERBB2_ERBB3_PATHWAY","NONE",0.0218,2.33,0.0199,0.108
"(BioCarta) CD40L Signaling Pathway","BIOCARTA_CD40_PATHWAY","NONE",0.0607,2.33,0.0201,0.108
"(Reactome) Cyclin E associated events during G1/S transition ","REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_","NONE",-0.0306,-2.33,0.0203,0.109
"(BioCarta) Inactivation of Gsk3 by AKT causes accumulation of b-catenin in Alveolar Macrophages","BIOCARTA_GSK3_PATHWAY","NONE",0.044,2.32,0.0205,0.109
"(Reactome) Inhibition of Insulin Secretion by Adrenaline/Noradrenaline","REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE","NONE",-0.0411,-2.32,0.0207,0.109
"(Reactome) PIP3 activates AKT signaling","REACTOME_PIP3_ACTIVATES_AKT_SIGNALING","NONE",0.0327,2.32,0.0207,0.109
"(Reactome) mTORC1-mediated signalling","REACTOME_MTORC1_MEDIATED_SIGNALLING","NONE",0.0369,2.32,0.0209,0.109
"(Reactome) Homologous recombination repair of replication-independent double-strand breaks","REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS","NONE",-0.0383,-2.31,0.021,0.109
"(PID) Cellular roles of Anthrax toxin","PID_ANTHRAX_PATHWAY","NONE",0.0322,2.31,0.0211,0.109
"(BioCarta) The 4-1BB-dependent immune response","BIOCARTA_41BB_PATHWAY","NONE",0.059,2.31,0.0211,0.109
"(Reactome) Orc1 removal from chromatin","REACTOME_ORC1_REMOVAL_FROM_CHROMATIN","NONE",-0.0339,-2.3,0.0215,0.111
"(PID) Caspase cascade in apoptosis","PID_CASPASE_PATHWAY","NONE",0.0322,2.3,0.0217,0.111
"(Reactome) Metabolism of steroid hormones and vitamins A and D","REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D","NONE",-0.0512,-2.3,0.0217,0.111
"(BioCarta) Toll-Like Receptor Pathway","BIOCARTA_TOLL_PATHWAY","NONE",0.0595,2.3,0.0219,0.111
"(Reactome) SCF(Skp2)-mediated degradation of p27/p21","REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21","NONE",-0.0325,-2.29,0.0222,0.112
"(Reactome) tRNA Aminoacylation","REACTOME_TRNA_AMINOACYLATION","NONE",-0.0518,-2.29,0.0225,0.114
"(PID) EGF receptor (ErbB1) signaling pathway","PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY","NONE",0.0213,2.28,0.0227,0.114
"(Reactome) TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION","NONE",0.0502,2.28,0.023,0.114
"(Reactome) Developmental Biology","REACTOME_DEVELOPMENTAL_BIOLOGY","NONE",0.0139,2.28,0.0231,0.114
"(Reactome) Rap1 signalling","REACTOME_RAP1_SIGNALLING","NONE",0.0359,2.28,0.0231,0.114
"(Reactome) Transcription","REACTOME_TRANSCRIPTION","NONE",-0.0253,-2.28,0.0232,0.115
"(PID) Signaling events mediated by HDAC Class II","PID_HDAC_CLASSII_PATHWAY","NONE",-0.0255,-2.27,0.0237,0.116
"(KEGG) Chronic myeloid leukemia","KEGG_CHRONIC_MYELOID_LEUKEMIA","NONE",0.0332,2.27,0.0238,0.116
"(BioCarta) Ceramide Signaling Pathway","BIOCARTA_CERAMIDE_PATHWAY","NONE",0.0272,2.26,0.0239,0.116
"(KEGG) Nucleotide excision repair","KEGG_NUCLEOTIDE_EXCISION_REPAIR","NONE",-0.041,-2.26,0.0242,0.117
"(Reactome) Destabilization of mRNA by KSRP","REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP","NONE",-0.0503,-2.26,0.0243,0.117
"(Reactome) APC/C:Cdc20 mediated degradation of mitotic proteins","REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS","NONE",-0.0369,-2.26,0.0244,0.117
"(Reactome) The role of Nef in HIV-1 replication and disease pathogenesis","REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS","NONE",-0.0218,-2.25,0.0246,0.118
"(KEGG) Valine, leucine and isoleucine biosynthesis","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS","NONE",-0.0653,-2.25,0.0247,0.118
"(Reactome) Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_","NONE",-0.0358,-2.25,0.0249,0.118
"(Reactome) Class B/2 (Secretin family receptors)","REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS","NONE",-0.0329,-2.25,0.0251,0.119
"(Reactome) Keratan sulfate biosynthesis","REACTOME_KERATAN_SULFATE_BIOSYNTHESIS","NONE",0.0446,2.24,0.0255,0.12
"(KEGG) Prostate cancer","KEGG_PROSTATE_CANCER","NONE",0.0242,2.24,0.0255,0.12
"(BioCarta) NFkB activation by Nontypeable Hemophilus influenzae","BIOCARTA_NTHI_PATHWAY","NONE",0.0637,2.24,0.0257,0.12
"(Reactome) Thromboxane signalling through TP receptor","REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR","NONE",-0.0302,-2.23,0.0262,0.122
"(Reactome) Interleukin-3, 5 and GM-CSF signaling","REACTOME_IL_3_5_AND_GM_CSF_SIGNALING","NONE",0.0346,2.22,0.0266,0.123
"(Reactome) Mitochondrial Fatty Acid Beta-Oxidation","REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION","NONE",-0.0802,-2.22,0.0267,0.123
"(BioCarta) Role of fl-arrestins in the activation and targeting of MAP kinases","BIOCARTA_BARR_MAPK_PATHWAY","NONE",0.0369,2.22,0.0271,0.124
"(KEGG) Nitrogen metabolism","KEGG_NITROGEN_METABOLISM","NONE",-0.041,-2.22,0.0271,0.124
"(KEGG) Aminoacyl-tRNA biosynthesis","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS","NONE",-0.0507,-2.21,0.0272,0.124
"(PID) Osteopontin-mediated events","PID_AVB3_OPN_PATHWAY","NONE",0.0509,2.21,0.0277,0.126
"(Naba) Genes encoding structural ECM glycoproteins","NABA_ECM_GLYCOPROTEINS","NONE",-0.0295,-2.2,0.0279,0.126
"(Reactome) RIP-mediated NFkB activation via DAI","REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI","NONE",0.0555,2.2,0.0281,0.127
"(Reactome) Respiratory electron transport","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","NONE",-0.0336,-2.2,0.0283,0.127
"(PID) Regulation of CDC42 activity","PID_CDC42_REG_PATHWAY","NONE",0.0237,2.19,0.0287,0.128
"(Reactome) Latent infection of Homo sapiens with Mycobacterium tuberculosis","REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS","NONE",-0.0403,-2.19,0.0289,0.129
"(Reactome) Amino acid transport across the plasma membrane","REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE","NONE",0.0507,2.19,0.0292,0.129
"(Reactome) DCC mediated attractive signaling","REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING","NONE",0.0291,2.19,0.0292,0.129
"(PID) Neurotrophic factor-mediated Trk receptor signaling","PID_TRKR_PATHWAY","NONE",0.0158,2.18,0.0294,0.129
"(Reactome) TGF-beta receptor signaling activates SMADs","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS","NONE",0.0394,2.18,0.0295,0.129
"(Reactome) Golgi Associated Vesicle Biogenesis","REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS","NONE",-0.0194,-2.18,0.0299,0.131
"(Reactome) Signaling by Rho GTPases","REACTOME_SIGNALING_BY_RHO_GTPASES","NONE",0.0199,2.18,0.03,0.131
"(BioCarta) CTCF: First Multivalent Nuclear Factor","BIOCARTA_CTCF_PATHWAY","NONE",0.0517,2.17,0.0305,0.133
"(KEGG) Basal transcription factors","KEGG_BASAL_TRANSCRIPTION_FACTORS","NONE",-0.0387,-2.16,0.0308,0.133
"(Reactome) RNA Polymerase I Transcription Initiation","REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION","NONE",-0.0402,-2.16,0.0309,0.133
"(Naba) Genes encoding proteoglycans","NABA_PROTEOGLYCANS","NONE",0.0663,2.16,0.0312,0.134
"(BioCarta) Cadmium induces DNA synthesis and proliferation in macrophages","BIOCARTA_CDMAC_PATHWAY","NONE",0.0703,2.16,0.0315,0.135
"(KEGG) Alanine, aspartate and glutamate metabolism","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","NONE",-0.0517,-2.15,0.0321,0.137
"(KEGG) Proximal tubule bicarbonate reclamation","KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION","NONE",0.0436,2.14,0.0328,0.139
"(KEGG) RNA degradation","KEGG_RNA_DEGRADATION","NONE",-0.0255,-2.14,0.033,0.139
"(BioCarta) Cystic Fibrosis Transmembrane Conductance Regulator And Beta 2 Adrenergic Receptor Pathway","BIOCARTA_CFTR_PATHWAY","NONE",0.0344,2.13,0.0333,0.14
"(Reactome) Signaling by Insulin receptor","REACTOME_SIGNALING_BY_INSULIN_RECEPTOR","NONE",0.0175,2.13,0.034,0.143
"(PID) PAR1-mediated thrombin signaling events","PID_THROMBIN_PAR1_PATHWAY","NONE",0.0209,2.12,0.0344,0.144
"(Reactome) Class I MHC mediated antigen processing & presentation","REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION","NONE",-0.017,-2.12,0.0347,0.144
"(Reactome) G2/M Checkpoints","REACTOME_G2_M_CHECKPOINTS","NONE",-0.0487,-2.12,0.0348,0.144
"(Reactome) Extracellular matrix organization","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","NONE",0.0304,2.11,0.0349,0.145
"(BioCarta) Regulation of BAD phosphorylation","BIOCARTA_BAD_PATHWAY","NONE",0.0302,2.11,0.0351,0.145
"(Reactome) Cross-presentation of soluble exogenous antigens (endosomes)","REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES","NONE",-0.0388,-2.11,0.0353,0.145
"(Reactome) ER-Phagosome pathway","REACTOME_ER_PHAGOSOME_PATHWAY","NONE",-0.0399,-2.11,0.0354,0.145
"(Reactome) mRNA Splicing - Minor Pathway","REACTOME_MRNA_SPLICING_MINOR_PATHWAY","NONE",-0.0349,-2.11,0.0355,0.145
"(KEGG) Alzheimer's disease","KEGG_ALZHEIMERS_DISEASE","NONE",-0.0234,-2.1,0.0358,0.146
"(Reactome) CDT1 association with the CDC6:ORC:origin complex","REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX","NONE",-0.0362,-2.1,0.0362,0.146
"(PID) Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling","PID_UPA_UPAR_PATHWAY","NONE",0.0616,2.1,0.0364,0.146
"(BioCarta) Acetylation and Deacetylation of RelA in The Nucleus","BIOCARTA_RELA_PATHWAY","NONE",0.0644,2.09,0.0367,0.146
"(Reactome) Interleukin-2 signaling","REACTOME_IL_2_SIGNALING","NONE",0.0213,2.09,0.0368,0.146
"(Reactome) Base-free sugar-phosphate removal via the single-nucleotide replacement pathway","REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY","NONE",-0.06,-2.09,0.037,0.146
"(KEGG) RNA polymerase","KEGG_RNA_POLYMERASE","NONE",-0.0453,-2.09,0.0371,0.146
"(KEGG) Histidine metabolism","KEGG_HISTIDINE_METABOLISM","NONE",-0.0467,-2.09,0.0373,0.146
"(KEGG) Cysteine and methionine metabolism","KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","NONE",-0.0288,-2.09,0.0373,0.146
"(Reactome) Toll Receptor Cascades","REACTOME_TOLL_RECEPTOR_CASCADES","NONE",0.0217,2.09,0.0373,0.146
"(Reactome) Metabolism of RNA","REACTOME_METABOLISM_OF_RNA","NONE",-0.0162,-2.08,0.0378,0.146
"(Reactome) Activation of ATR in response to replication stress","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS","NONE",-0.0513,-2.08,0.0379,0.146
"(KEGG) Non-homologous end-joining","KEGG_NON_HOMOLOGOUS_END_JOINING","NONE",-0.049,-2.08,0.0381,0.146
"(KEGG) TGF-beta signaling pathway","KEGG_TGF_BETA_SIGNALING_PATHWAY","NONE",0.033,2.08,0.0382,0.146
"(BioCarta) Presenilin action in Notch and Wnt signaling","BIOCARTA_PS1_PATHWAY","NONE",0.0424,2.08,0.0382,0.146
"(Reactome) Mitotic G1-G1/S phases","REACTOME_MITOTIC_G1_G1_S_PHASES","NONE",-0.0226,-2.08,0.0383,0.146
"(KEGG) Tight junction","KEGG_TIGHT_JUNCTION","NONE",0.0158,2.07,0.0384,0.146
"(KEGG) ABC transporters","KEGG_ABC_TRANSPORTERS","NONE",-0.0312,-2.07,0.0384,0.146
"(Reactome) G alpha (q) signalling events","REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS","NONE",-0.0383,-2.07,0.0386,0.146
"(PID) Fanconi anemia pathway","PID_FANCONI_PATHWAY","NONE",-0.0349,-2.07,0.0387,0.146
"(PID) RhoA signaling pathway","PID_RHOA_PATHWAY","NONE",0.0348,2.07,0.0387,0.146
"(Reactome) Resolution of AP sites via the multiple-nucleotide patch replacement pathway","REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY","NONE",-0.0481,-2.07,0.0387,0.146
"(Reactome) Transferrin endocytosis and recycling","REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING","NONE",-0.0324,-2.07,0.0388,0.146
"(KEGG) Porphyrin and chlorophyll metabolism","KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM","NONE",-0.0432,-2.07,0.0392,0.147
"(Reactome) TRAF3-dependent IRF activation pathway","REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY","NONE",0.0522,2.07,0.0393,0.147
"(Reactome) Netrin-1 signaling","REACTOME_NETRIN1_SIGNALING","NONE",0.0258,2.06,0.0402,0.15
"(KEGG) Focal adhesion","KEGG_FOCAL_ADHESION","NONE",0.0194,2.05,0.0403,0.15
"(BioCarta) Keratinocyte Differentiation","BIOCARTA_KERATINOCYTE_PATHWAY","NONE",0.0383,2.05,0.0406,0.151
"(Reactome) Regulatory RNA pathways","REACTOME_REGULATORY_RNA_PATHWAYS","NONE",-0.0314,-2.05,0.0409,0.151
"(Reactome) Amino acid and oligopeptide SLC transporters","REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS","NONE",0.0356,2.05,0.0411,0.152
"(Reactome) Pyrimidine metabolism","REACTOME_PYRIMIDINE_METABOLISM","NONE",-0.0366,-2.04,0.0415,0.153
"(KEGG) Huntington's disease","KEGG_HUNTINGTONS_DISEASE","NONE",-0.0217,-2.04,0.0417,0.153
"(PID) PDGFR-beta signaling pathway","PID_PDGFRB_PATHWAY","NONE",0.0202,2.04,0.0419,0.153
"(PID) Canonical NF-kappaB pathway","PID_NFKAPPAB_CANONICAL_PATHWAY","NONE",0.0522,2.04,0.042,0.153
"(Reactome) Repair synthesis for gap-filling by DNA polymerase in TC-NER","REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER","NONE",-0.0399,-2.03,0.0425,0.154
"(BioCarta) Stress Induction of HSP Regulation","BIOCARTA_HSP27_PATHWAY","NONE",0.0522,2.03,0.0427,0.155
"(BioCarta) Role of MEF2D in T-cell Apoptosis","BIOCARTA_MEF2D_PATHWAY","NONE",0.0224,2.02,0.0435,0.157
"(Reactome) SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION","NONE",0.0308,2.02,0.0436,0.157
"(Reactome) G1/S Transition","REACTOME_G1_S_TRANSITION","NONE",-0.0263,-2.02,0.0437,0.157
"(Reactome) p53-Independent G1/S DNA damage checkpoint","REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT","NONE",-0.0337,-2.02,0.0439,0.157
"(PID) Posttranslational regulation of adherens junction stability and dissassembly","PID_AJDISS_2PATHWAY","NONE",0.0361,2.01,0.0444,0.158
"(Reactome) JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1","REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1","NONE",0.0323,2.01,0.0445,0.158
"(Reactome) G-protein activation","REACTOME_G_PROTEIN_ACTIVATION","NONE",-0.0289,-2.01,0.0446,0.158
"(Reactome) Iron uptake and transport","REACTOME_IRON_UPTAKE_AND_TRANSPORT","NONE",-0.0314,-2.01,0.0447,0.158
"(Reactome) mRNA Splicing","REACTOME_MRNA_SPLICING","NONE",-0.0245,-2.01,0.045,0.159
"(BioCarta) Growth Hormone Signaling Pathway","BIOCARTA_GH_PATHWAY","NONE",0.0191,2.01,0.0454,0.159
"(BioCarta) Electron Transport Reaction in Mitochondria","BIOCARTA_ETC_PATHWAY","NONE",-0.0438,-2,0.0455,0.159
"(Reactome) Destabilization of mRNA by AUF1 (hnRNP D0)","REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0","NONE",-0.028,-2,0.0456,0.159
"(BioCarta) IL12 and Stat4 Dependent Signaling Pathway in Th1 Development","BIOCARTA_IL12_PATHWAY","NONE",-0.0476,-2,0.0458,0.16
"(KEGG) Parkinson's disease","KEGG_PARKINSONS_DISEASE","NONE",-0.0269,-2,0.0464,0.161
"(Reactome) Phase II conjugation","REACTOME_PHASE_II_CONJUGATION","NONE",-0.0413,-1.99,0.0471,0.163
"(Reactome) mRNA 3'-end processing","REACTOME_MRNA_3_END_PROCESSING","NONE",-0.0236,-1.99,0.0472,0.163
"(Reactome) Adherens junctions interactions","REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS","NONE",-0.0327,-1.99,0.0474,0.163
"(KEGG) ErbB signaling pathway","KEGG_ERBB_SIGNALING_PATHWAY","NONE",0.0173,1.98,0.0476,0.163
"(PID) Class I PI3K signaling events mediated by Akt","PID_PI3KCI_AKT_PATHWAY","NONE",0.0183,1.98,0.0478,0.163
"(Reactome) GABA synthesis, release, reuptake and degradation","REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION","NONE",-0.0664,-1.98,0.0482,0.164
"(Reactome) Nuclear Events (kinase and transcription factor activation)","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION","NONE",0.0298,1.98,0.0486,0.165
"(Reactome) SCF-beta-TrCP mediated degradation of Emi1","REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1","NONE",-0.034,-1.97,0.0489,0.165
"(BioCarta) Mechanism of Gene Regulation by Peroxisome Proliferators via PPARa(alpha)","BIOCARTA_PPARA_PATHWAY","NONE",0.0287,1.97,0.0489,0.165
"(Reactome) Post-translational protein modification","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION","NONE",-0.0268,-1.97,0.0492,0.165
"(Reactome) M/G1 Transition","REACTOME_M_G1_TRANSITION","NONE",-0.0336,-1.97,0.0494,0.165
"(Reactome) Vif-mediated degradation of APOBEC3G","REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G","NONE",-0.0345,-1.97,0.0494,0.165
"(KEGG) Oxidative phosphorylation","KEGG_OXIDATIVE_PHOSPHORYLATION","NONE",-0.0303,-1.97,0.0495,0.165
"(Reactome) Downstream signal transduction","REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION","NONE",0.0164,1.97,0.0496,0.165
"(PID) IFN-gamma pathway","PID_IFNG_PATHWAY","NONE",0.0228,1.96,0.0502,0.166
"(Reactome) mRNA Decay by 3' to 5' Exoribonuclease","REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE","NONE",-0.0573,-1.96,0.0507,0.166
"(PID) Signaling events regulated by Ret tyrosine kinase","PID_RET_PATHWAY","NONE",0.0208,1.96,0.0507,0.166
"(Reactome) PI3K events in ERBB2 signaling","REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING","NONE",0.0266,1.96,0.0507,0.166
"(BioCarta) uCalpain and friends in Cell spread","BIOCARTA_UCALPAIN_PATHWAY","NONE",0.0322,1.96,0.0508,0.166
"(Reactome) Regulation of Insulin Secretion","REACTOME_REGULATION_OF_INSULIN_SECRETION","NONE",-0.0251,-1.96,0.0508,0.166
"(STKE) Adrenergic Pathway","ST_ADRENERGIC","NONE",0.0258,1.95,0.0513,0.167
"(KEGG) mTOR signaling pathway","KEGG_MTOR_SIGNALING_PATHWAY","NONE",0.0262,1.95,0.0516,0.167
"(PID) Nectin adhesion pathway","PID_NECTIN_PATHWAY","NONE",0.0308,1.95,0.0517,0.167
"(PID) TGF-beta receptor signaling","PID_TGFBR_PATHWAY","NONE",0.0276,1.95,0.0517,0.167
"(Reactome) Autodegradation of the E3 ubiquitin ligase COP1","REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1","NONE",-0.0328,-1.95,0.0519,0.168
