"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(PID) IL6-mediated signaling events","PID_IL6_7_PATHWAY","UP",0.118,6.56,0.000446,0.00274
"(PID) ErbB2/ErbB3 signaling events","PID_ERBB2_ERBB3_PATHWAY","UP",0.139,6.55,0.000448,0.00274
"(PID) HIF-2-alpha transcription factor network","PID_HIF2PATHWAY","UP",0.194,6.48,0.000478,0.00291
"(KEGG) Glycosaminoglycan biosynthesis - heparan sulfate","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE","UP",0.209,6.45,0.000489,0.00296
"(Reactome) Signal attenuation","REACTOME_SIGNAL_ATTENUATION","DOWN",-0.177,-6.42,0.000503,0.00302
"(Reactome) Synthesis of bile acids and bile salts","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS","UP",0.149,6.42,0.000506,0.00303
"(PID) Visual signal transduction: Rods","PID_RHODOPSIN_PATHWAY","UP",0.66,6.37,0.000528,0.00315
"(KEGG) Leishmania infection","KEGG_LEISHMANIA_INFECTION","UP",0.138,6.35,0.000537,0.00318
"(Reactome) Keratan sulfate/keratin metabolism","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","DOWN",-0.145,-6.33,0.000546,0.00322
"(PID) Integrin-linked kinase signaling","PID_ILK_PATHWAY","DOWN",-0.154,-6.31,0.000556,0.00326
"(Reactome) Purine metabolism","REACTOME_PURINE_METABOLISM","DOWN",-0.348,-6.3,0.000563,0.00328
"(Reactome) CDC6 association with the ORC:origin complex","REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX","DOWN",-0.194,-6.28,0.00057,0.00331
"(Reactome) DARPP-32 events","REACTOME_DARPP_32_EVENTS","UP",0.143,6.26,0.000583,0.00336
"(Reactome) Activation of BH3-only proteins","REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS","DOWN",-0.29,-6.23,0.000595,0.0034
"(PID) Integrins in angiogenesis","PID_AVB3_INTEGRIN_PATHWAY","UP",0.136,6.23,0.000595,0.0034
"(PID) Trk receptor signaling mediated by PI3K and PLC-gamma","PID_PI3K_PLC_TRK_PATHWAY","DOWN",-0.172,-6.22,0.000601,0.00341
"(PID) Circadian rhythm pathway","PID_CIRCADIAN_PATHWAY","UP",0.204,6.17,0.00063,0.00354
"(BioCarta) Regulation of eIF2","BIOCARTA_EIF2_PATHWAY","DOWN",-0.152,-6.17,0.00063,0.00354
"(Reactome) Mitotic G1-G1/S phases","REACTOME_MITOTIC_G1_G1_S_PHASES","DOWN",-0.142,-6.17,0.000633,0.00354
"(BioCarta) Regulation And Function Of ChREBP in Liver","BIOCARTA_CHREBP2_PATHWAY","UP",0.136,6.13,0.000651,0.00363
"(KEGG) Gap junction","KEGG_GAP_JUNCTION","UP",0.144,6.13,0.000655,0.00363
"(Reactome) Signaling by NOTCH4","REACTOME_SIGNALING_BY_NOTCH4","UP",0.206,6.11,0.000663,0.00366
"(BioCarta) Actions of Nitric Oxide in the Heart","BIOCARTA_NO1_PATHWAY","UP",0.164,6.1,0.000671,0.00368
"(Reactome) RNA Polymerase I Transcription Termination","REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION","DOWN",-0.145,-6.1,0.000673,0.00368
"(Reactome) APC/C:Cdc20 mediated degradation of Cyclin B","REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B","DOWN",-0.118,-6.09,0.000678,0.00368
"(STKE) Tumor Necrosis Factor Pathway.","ST_TUMOR_NECROSIS_FACTOR_PATHWAY","UP",0.18,6.06,0.000699,0.00375
"(BioCarta) BCR Signaling Pathway","BIOCARTA_BCR_PATHWAY","DOWN",-0.122,-6.05,0.000702,0.00375
"(KEGG) Notch signaling pathway","KEGG_NOTCH_SIGNALING_PATHWAY","UP",0.103,6.05,0.000704,0.00375
"(Reactome) Immune System","REACTOME_IMMUNE_SYSTEM","UP",0.111,6.05,0.000706,0.00375
"(PID) Validated nuclear estrogen receptor alpha network","PID_ERA_GENOMIC_PATHWAY","DOWN",-0.154,-6.04,0.000709,0.00375
"(PID) Regulation of p38-alpha and p38-beta","PID_P38_ALPHA_BETA_PATHWAY","DOWN",-0.116,-6.04,0.00071,0.00375
"(Reactome) Formation of Fibrin Clot (Clotting Cascade)","REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE","UP",0.226,6.03,0.000716,0.00376
"(KEGG) Pathways in cancer","KEGG_PATHWAYS_IN_CANCER","DOWN",-0.123,-6.03,0.000719,0.00376
"(KEGG) Arachidonic acid metabolism","KEGG_ARACHIDONIC_ACID_METABOLISM","UP",0.28,6.01,0.000733,0.00379
"(KEGG) Long-term depression","KEGG_LONG_TERM_DEPRESSION","UP",0.237,6.01,0.000733,0.00379
"(Reactome) Signaling by NOTCH2","REACTOME_SIGNALING_BY_NOTCH2","UP",0.187,6.01,0.000734,0.00379
"(Reactome) GABA B receptor activation","REACTOME_GABA_B_RECEPTOR_ACTIVATION","DOWN",-0.216,-6,0.000737,0.00379
"(Reactome) Metabolism of mRNA","REACTOME_METABOLISM_OF_MRNA","DOWN",-0.122,-5.97,0.000758,0.00388
"(Naba) Genes encoding proteins affiliated structurally or functionally to extracellular matrix proteins","NABA_ECM_AFFILIATED","UP",0.112,5.96,0.000767,0.00391
"(Reactome) Gap junction trafficking","REACTOME_GAP_JUNCTION_TRAFFICKING","DOWN",-0.163,-5.9,0.000812,0.00412
"(BioCarta) Map Kinase Inactivation of SMRT Corepressor","BIOCARTA_EGFR_SMRTE_PATHWAY","DOWN",-0.171,-5.89,0.000821,0.00413
"(Reactome) Interactions of Vpr with host cellular proteins","REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS","DOWN",-0.128,-5.88,0.000822,0.00413
"(PID) Signaling events regulated by Ret tyrosine kinase","PID_RET_PATHWAY","DOWN",-0.156,-5.88,0.000827,0.00413
"(PID) BARD1 signaling events","PID_BARD1_PATHWAY","DOWN",-0.121,-5.83,0.000862,0.00429
"(PID) Sumoylation by RanBP2 regulates transcriptional repression","PID_RANBP2_PATHWAY","DOWN",-0.151,-5.81,0.000878,0.00435
"(BioCarta) How Progesterone Initiates Oocyte Membrane","BIOCARTA_MPR_PATHWAY","UP",0.113,5.79,0.000902,0.00445
"(BioCarta) Regulation of transcriptional activity by PML","BIOCARTA_PML_PATHWAY","UP",0.11,5.77,0.000919,0.0045
"(Reactome) Synthesis of PIPs at the plasma membrane","REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE","UP",0.122,5.77,0.00092,0.0045
"(Reactome) Innate Immune System","REACTOME_INNATE_IMMUNE_SYSTEM","UP",0.106,5.72,0.00096,0.00466
"(Reactome) Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components","REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS","DOWN",-0.133,-5.71,0.000967,0.00466
"(Reactome) Antiviral mechanism by IFN-stimulated genes","REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES","UP",0.225,5.71,0.000968,0.00466
"(Reactome) Insulin Synthesis and Processing","REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING","UP",0.176,5.71,0.000972,0.00466
"(KEGG) Phenylalanine metabolism","KEGG_PHENYLALANINE_METABOLISM","UP",0.523,5.71,0.000973,0.00466
"(KEGG) Tyrosine metabolism","KEGG_TYROSINE_METABOLISM","UP",0.291,5.69,0.000985,0.0047
"(KEGG) Glioma","KEGG_GLIOMA","DOWN",-0.219,-5.69,0.000992,0.00471
"(Reactome) Signaling by NOTCH3","REACTOME_SIGNALING_BY_NOTCH3","UP",0.189,5.65,0.00103,0.00485
"(Reactome) Lagging Strand Synthesis","REACTOME_LAGGING_STRAND_SYNTHESIS","DOWN",-0.146,-5.61,0.00107,0.00503
"(PID) Syndecan-3-mediated signaling events","PID_SYNDECAN_3_PATHWAY","UP",0.109,5.61,0.00107,0.00503
"(PID) FOXA2 and FOXA3 transcription factor networks","PID_HNF3B_PATHWAY","UP",0.215,5.59,0.00109,0.00511
"(Reactome) Packaging Of Telomere Ends","REACTOME_PACKAGING_OF_TELOMERE_ENDS","UP",0.237,5.56,0.00113,0.00523
"(Naba) Genes encoding proteoglycans","NABA_PROTEOGLYCANS","UP",0.115,5.55,0.00113,0.00525
"(KEGG) Axon guidance","KEGG_AXON_GUIDANCE","UP",0.124,5.54,0.00115,0.00529
"(KEGG) Circadian rhythm - mammal","KEGG_CIRCADIAN_RHYTHM_MAMMAL","UP",0.266,5.51,0.00117,0.00539
"(KEGG) Proximal tubule bicarbonate reclamation","KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION","UP",0.102,5.46,0.00125,0.0057
"(BioCarta) Effects of calcineurin in Keratinocyte Differentiation","BIOCARTA_CALCINEURIN_PATHWAY","DOWN",-0.129,-5.44,0.00126,0.00575
"(Reactome) G alpha (12/13) signalling events","REACTOME_G_ALPHA1213_SIGNALLING_EVENTS","UP",0.141,5.43,0.00127,0.00578
"(Reactome) RORA Activates Circadian Expression","REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION","UP",0.221,5.43,0.00128,0.00579
"(KEGG) Retinol metabolism","KEGG_RETINOL_METABOLISM","UP",0.233,5.39,0.00133,0.00599
"(BioCarta) Acetylation and Deacetylation of RelA in The Nucleus","BIOCARTA_RELA_PATHWAY","UP",0.246,5.38,0.00134,0.00602
"(Reactome) NCAM signaling for neurite out-growth","REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH","DOWN",-0.1,-5.37,0.00136,0.00608
"(Reactome) Ras activation uopn Ca2+ infux through NMDA receptor","REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR","UP",0.192,5.35,0.00138,0.00614
"(PID) E-cadherin signaling in the nascent adherens junction","PID_ECADHERIN_NASCENT_AJ_PATHWAY","DOWN",-0.095,-5.35,0.00139,0.00614
"(PID) ATM pathway","PID_ATM_PATHWAY","DOWN",-0.126,-5.33,0.00142,0.00626
"(Reactome) Cell-Cell communication","REACTOME_CELL_CELL_COMMUNICATION","UP",0.0884,5.32,0.00142,0.00626
"(STKE) G alpha 12 Pathway","ST_GA12_PATHWAY","DOWN",-0.12,-5.29,0.00147,0.00642
"(Signaling Gateway) Members of the BCR signaling pathway","SIG_BCR_SIGNALING_PATHWAY","DOWN",-0.119,-5.29,0.00147,0.00642
"(KEGG) Melanoma","KEGG_MELANOMA","DOWN",-0.199,-5.28,0.00149,0.00645
"(Reactome) Metabolism of non-coding RNA","REACTOME_METABOLISM_OF_NON_CODING_RNA","DOWN",-0.126,-5.27,0.0015,0.00645
"(BioCarta) Pertussis toxin-insensitive CCR5 Signaling in Macrophage","BIOCARTA_CCR5_PATHWAY","DOWN",-0.203,-5.27,0.0015,0.00645
"(Reactome) Nuclear Events (kinase and transcription factor activation)","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION","UP",0.132,5.26,0.00151,0.00647
"(PID) Canonical NF-kappaB pathway","PID_NFKAPPAB_CANONICAL_PATHWAY","UP",0.184,5.26,0.00151,0.00647
"(BioCarta) Eukaryotic protein translation","BIOCARTA_EIF_PATHWAY","DOWN",-0.104,-5.25,0.00154,0.00656
"(PID) Signaling events mediated by TCPTP","PID_TCPTP_PATHWAY","UP",0.127,5.23,0.00157,0.00666
"(PID) Class I PI3K signaling events","PID_PI3KCI_PATHWAY","DOWN",-0.129,-5.2,0.00161,0.00679
"(Reactome) Meiotic Synapsis","REACTOME_MEIOTIC_SYNAPSIS","UP",0.129,5.19,0.00163,0.00685
"(PID) Beta1 integrin cell surface interactions","PID_INTEGRIN1_PATHWAY","UP",0.0906,5.18,0.00165,0.00691
"(Reactome) BMAL1:CLOCK/NPAS2 Activates Circadian Expression","REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION","UP",0.22,5.17,0.00166,0.00694
"(BioCarta) CDK Regulation of DNA Replication","BIOCARTA_MCM_PATHWAY","DOWN",-0.169,-5.16,0.00168,0.00698
"(BioCarta) Oxidative Stress Induced Gene Expression Via Nrf2","BIOCARTA_ARENRF2_PATHWAY","DOWN",-0.268,-5.16,0.00168,0.00698
"(PID) Degradation of beta catenin","PID_BETA_CATENIN_DEG_PATHWAY","UP",0.141,5.15,0.0017,0.00703
"(Reactome) N-Glycan antennae elongation","REACTOME_N_GLYCAN_ANTENNAE_ELONGATION","DOWN",-0.242,-5.15,0.00171,0.00703
"(Reactome) Semaphorin interactions","REACTOME_SEMAPHORIN_INTERACTIONS","UP",0.122,5.14,0.00172,0.00704
"(Reactome) p75NTR signals via NF-kB","REACTOME_P75NTR_SIGNALS_VIA_NFKB","UP",0.145,5.1,0.00179,0.00727
"(Reactome) Thrombin signalling through proteinase activated receptors (PARs)","REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS","DOWN",-0.142,-5.1,0.00179,0.00727
"(STKE) G alpha s Pathway","ST_G_ALPHA_S_PATHWAY","DOWN",-0.15,-5.1,0.00179,0.00727
"(PID) Endogenous TLR signaling","PID_TOLL_ENDOGENOUS_PATHWAY","UP",0.12,5.1,0.0018,0.00727
"(PID) CDC42 signaling events","PID_CDC42_PATHWAY","UP",0.0925,5.08,0.00183,0.00738
"(KEGG) Regulation of actin cytoskeleton","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","UP",0.107,5.07,0.00184,0.00738
"(PID) TNF receptor signaling pathway","PID_TNF_PATHWAY","UP",0.0985,5.07,0.00185,0.00739
"(BioCarta) Role of MAL in Rho-Mediated Activation of SRF","BIOCARTA_MAL_PATHWAY","DOWN",-0.106,-5.06,0.00186,0.00741
"(PID) Retinoic acid receptors-mediated signaling","PID_RETINOIC_ACID_PATHWAY","DOWN",-0.126,-5.06,0.00187,0.00744
"(BioCarta) CBL mediated ligand-induced downregulation of EGF receptors","BIOCARTA_CBL_PATHWAY","DOWN",-0.205,-5.05,0.00188,0.00744
"(PID) IFN-gamma pathway","PID_IFNG_PATHWAY","UP",0.104,5.04,0.0019,0.00752
"(BioCarta) Trefoil Factors Initiate Mucosal Healing","BIOCARTA_TFF_PATHWAY","UP",0.154,5.03,0.00193,0.00758
"(PID) Signaling mediated by p38-alpha and p38-beta","PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY","UP",0.0964,4.99,0.00201,0.00789
"(Reactome) Heparan sulfate/heparin (HS-GAG) metabolism","REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM","UP",0.133,4.98,0.00203,0.00792
"(PID) Syndecan-1-mediated signaling events","PID_SYNDECAN_1_PATHWAY","UP",0.222,4.98,0.00204,0.00792
"(Reactome) Circadian Repression of Expression by REV-ERBA","REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA","UP",0.216,4.97,0.00205,0.00793
"(Reactome) Inhibition of replication initiation of damaged DNA by RB1/E2F1","REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1","DOWN",-0.175,-4.97,0.00206,0.00793
"(BioCarta) AKAP95 role in mitosis and chromosome dynamics","BIOCARTA_AKAP95_PATHWAY","DOWN",-0.0957,-4.97,0.00206,0.00793
"(Reactome) Circadian Clock","REACTOME_CIRCADIAN_CLOCK","UP",0.188,4.94,0.00211,0.00809
"(Reactome) Pre-NOTCH Expression and Processing","REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING","DOWN",-0.188,-4.93,0.00215,0.00823
"(Reactome) Glycogen breakdown (glycogenolysis)","REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS","UP",0.135,4.89,0.00223,0.00849
"(Reactome) Activated AMPK stimulates fatty-acid oxidation in muscle","REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE","UP",0.136,4.89,0.00224,0.0085
"(PID) Validated targets of C-MYC transcriptional repression","PID_MYC_REPRESS_PATHWAY","UP",0.1,4.88,0.00226,0.00855
"(KEGG) Leukocyte transendothelial migration","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","DOWN",-0.0868,-4.87,0.00228,0.0086
"(Reactome) Glycerophospholipid biosynthesis","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","DOWN",-0.108,-4.86,0.00231,0.0087
"(PID) IL2-mediated signaling events","PID_IL2_1PATHWAY","UP",0.106,4.86,0.00232,0.0087
"(PID) Syndecan-4-mediated signaling events","PID_SYNDECAN_4_PATHWAY","UP",0.0848,4.83,0.00238,0.00888
"(PID) p53 pathway","PID_P53_REGULATION_PATHWAY","DOWN",-0.0948,-4.83,0.00238,0.00888
"(PID) Hedgehog signaling events mediated by Gli proteins","PID_HEDGEHOG_GLI_PATHWAY","UP",0.0951,4.82,0.00242,0.00899
"(PID) E-cadherin signaling in keratinocytes","PID_ECADHERIN_KERATINOCYTE_PATHWAY","DOWN",-0.13,-4.79,0.0025,0.00924
"(Reactome) Keratan sulfate biosynthesis","REACTOME_KERATAN_SULFATE_BIOSYNTHESIS","DOWN",-0.104,-4.78,0.00252,0.00927
"(Reactome) Formation of transcription-coupled NER (TC-NER) repair complex","REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX","UP",0.0895,4.78,0.00253,0.00927
"(Reactome) Adaptive Immune System","REACTOME_ADAPTIVE_IMMUNE_SYSTEM","UP",0.0815,4.78,0.00253,0.00927
"(Reactome) Intrinsic Pathway for Apoptosis","REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS","DOWN",-0.144,-4.77,0.00254,0.00928
"(Reactome) DNA Replication","REACTOME_DNA_REPLICATION","DOWN",-0.0922,-4.76,0.00257,0.00937
"(BioCarta) Attenuation of GPCR Signaling","BIOCARTA_AGPCR_PATHWAY","DOWN",-0.133,-4.75,0.00261,0.00946
"(Reactome) Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha","REACTOME_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA","UP",0.122,4.73,0.00264,0.00956
"(PID) FGF signaling pathway","PID_FGF_PATHWAY","UP",0.0977,4.73,0.00266,0.00956
"(Reactome) GPCR ligand binding","REACTOME_GPCR_LIGAND_BINDING","DOWN",-0.112,-4.73,0.00266,0.00956
"(Reactome) Processive synthesis on the lagging strand","REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND","DOWN",-0.149,-4.72,0.00268,0.00959
"(Reactome) Platelet sensitization by LDL","REACTOME_PLATELET_SENSITIZATION_BY_LDL","UP",0.108,4.72,0.0027,0.00963
"(BioCarta) Aspirin Blocks Signaling Pathway Involved in Platelet Activation","BIOCARTA_SPPA_PATHWAY","DOWN",-0.107,-4.71,0.00271,0.00966
"(Reactome) MHC class II antigen presentation","REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION","UP",0.162,4.7,0.00274,0.00972
"(BioCarta) Telomeres, Telomerase, Cellular Aging, and Immortality","BIOCARTA_TEL_PATHWAY","DOWN",-0.101,-4.69,0.00277,0.0098
"(Reactome) ERK/MAPK targets","REACTOME_ERK_MAPK_TARGETS","UP",0.121,4.69,0.00278,0.0098
"(Reactome) Repair synthesis for gap-filling by DNA polymerase in TC-NER","REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER","NONE",-0.142,-4.66,0.00288,0.0101
"(Reactome) Mitotic M-M/G1 phases","REACTOME_MITOTIC_M_M_G1_PHASES","NONE",-0.0911,-4.64,0.00292,0.0102
"(Reactome) Potassium Channels","REACTOME_POTASSIUM_CHANNELS","NONE",-0.125,-4.63,0.00297,0.0104
"(Reactome) Base Excision Repair","REACTOME_BASE_EXCISION_REPAIR","NONE",-0.117,-4.61,0.00305,0.0106
"(KEGG) Selenoamino acid metabolism","KEGG_SELENOAMINO_ACID_METABOLISM","NONE",-0.162,-4.6,0.00307,0.0107
"(Reactome) NOD1/2 Signaling Pathway","REACTOME_NOD1_2_SIGNALING_PATHWAY","NONE",0.114,4.59,0.00311,0.0108
"(KEGG) Antigen processing and presentation","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","NONE",0.174,4.58,0.00312,0.0108
"(BioCarta) Ras-Independent pathway in NK cell-mediated cytotoxicity","BIOCARTA_NKCELLS_PATHWAY","NONE",0.0985,4.56,0.00321,0.011
"(KEGG) p53 signaling pathway","KEGG_P53_SIGNALING_PATHWAY","NONE",-0.391,-4.55,0.00325,0.0112
"(Reactome) CREB phosphorylation through the activation of Ras","REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS","NONE",0.158,4.54,0.00329,0.0112
"(BioCarta) Role of BRCA1, BRCA2 and ATR in Cancer Susceptibility","BIOCARTA_ATRBRCA_PATHWAY","NONE",-0.0926,-4.54,0.00329,0.0112
"(STKE) Fas Signaling Pathway","ST_FAS_SIGNALING_PATHWAY","NONE",-0.0752,-4.53,0.00331,0.0113
"(Reactome) Calnexin/calreticulin cycle","REACTOME_CALNEXIN_CALRETICULIN_CYCLE","NONE",-0.146,-4.53,0.00333,0.0113
"(Reactome) p75 NTR receptor-mediated signalling","REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING","NONE",0.116,4.52,0.00336,0.0113
"(BioCarta) IL-10 Anti-inflammatory Signaling Pathway","BIOCARTA_IL10_PATHWAY","NONE",0.232,4.51,0.00338,0.0114
"(Reactome) Fatty acid, triacylglycerol, and ketone body metabolism","REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM","NONE",0.126,4.5,0.00341,0.0115
"(Reactome) Peroxisomal lipid metabolism","REACTOME_PEROXISOMAL_LIPID_METABOLISM","NONE",0.194,4.49,0.00345,0.0115
"(PID) p73 transcription factor network","PID_P73PATHWAY","NONE",-0.165,-4.49,0.00346,0.0115
"(BioCarta) Role of Mitochondria in Apoptotic Signaling","BIOCARTA_MITOCHONDRIA_PATHWAY","NONE",-0.0906,-4.49,0.00347,0.0115
"(Reactome) Branched-chain amino acid catabolism","REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM","NONE",-0.217,-4.48,0.0035,0.0116
"(PID) Direct p53 effectors","PID_P53_DOWNSTREAM_PATHWAY","NONE",-0.249,-4.47,0.00353,0.0117
"(Reactome) mRNA Splicing - Minor Pathway","REACTOME_MRNA_SPLICING_MINOR_PATHWAY","NONE",-0.0835,-4.46,0.0036,0.0119
"(Reactome) SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs","REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS","NONE",-0.151,-4.45,0.00361,0.0119
"(Reactome) Trafficking of GluR2-containing AMPA receptors","REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS","NONE",-0.106,-4.45,0.00363,0.0119
"(Reactome) activated TAK1 mediates p38 MAPK activation","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION","NONE",0.121,4.43,0.00372,0.0122
"(Reactome) Smooth Muscle Contraction","REACTOME_SMOOTH_MUSCLE_CONTRACTION","NONE",0.256,4.42,0.00374,0.0122
"(Reactome) Meiosis","REACTOME_MEIOSIS","NONE",0.113,4.42,0.00374,0.0122
"(Reactome) alpha-linolenic acid (ALA) metabolism","REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM","NONE",0.223,4.42,0.00377,0.0122
"(Reactome) Metabolism of nucleotides","REACTOME_METABOLISM_OF_NUCLEOTIDES","NONE",-0.256,-4.4,0.00384,0.0124
"(BioCarta) CTCF: First Multivalent Nuclear Factor","BIOCARTA_CTCF_PATHWAY","NONE",-0.252,-4.39,0.00388,0.0125
"(BioCarta) Rab GTPases Mark Targets In The Endocytotic Machinery","BIOCARTA_RAB_PATHWAY","NONE",0.108,4.39,0.00388,0.0125
"(Reactome) Antigen Presentation: Folding, assembly and peptide loading of class I MHC","REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC","NONE",0.234,4.38,0.00392,0.0126
"(KEGG) Endocytosis","KEGG_ENDOCYTOSIS","NONE",0.0804,4.38,0.00395,0.0126
"(PID) Regulation of RhoA activity","PID_RHOA_REG_PATHWAY","NONE",0.115,4.36,0.00402,0.0128
"(Reactome) G0 and Early G1","REACTOME_G0_AND_EARLY_G1","NONE",-0.162,-4.34,0.00412,0.0131
"(Reactome) Processing of Capped Intronless Pre-mRNA","REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA","NONE",-0.111,-4.34,0.00412,0.0131
"(Reactome) Early Phase of HIV Life Cycle","REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE","NONE",-0.202,-4.32,0.00422,0.0133
"(Reactome) PI Metabolism","REACTOME_PI_METABOLISM","NONE",0.0759,4.32,0.00423,0.0133
"(Reactome) Class I MHC mediated antigen processing & presentation","REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION","NONE",0.0758,4.3,0.00428,0.0135
"(PID) IL12-mediated signaling events","PID_IL12_2PATHWAY","NONE",0.0935,4.29,0.00434,0.0136
"(Reactome) SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION","NONE",-0.193,-4.29,0.00437,0.0137
"(Reactome) Synthesis of glycosylphosphatidylinositol (GPI)","REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","NONE",0.0939,4.27,0.00445,0.0139
"(PID) Reelin signaling pathway","PID_REELIN_PATHWAY","NONE",0.213,4.27,0.00446,0.0139
"(Reactome) Pre-NOTCH Transcription and Translation","REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION","NONE",-0.22,-4.24,0.00463,0.0143
"(Reactome) S Phase","REACTOME_S_PHASE","NONE",-0.1,-4.24,0.00464,0.0143
"(BioCarta) Growth Hormone Signaling Pathway","BIOCARTA_GH_PATHWAY","NONE",-0.102,-4.23,0.00469,0.0144
"(Reactome) SHC-mediated cascade","REACTOME_SHC_MEDIATED_CASCADE","NONE",0.113,4.22,0.0047,0.0145
"(Reactome) cGMP effects","REACTOME_CGMP_EFFECTS","NONE",0.158,4.22,0.00474,0.0145
"(Reactome) Membrane Trafficking","REACTOME_MEMBRANE_TRAFFICKING","NONE",0.0913,4.21,0.0048,0.0147
"(Reactome) Netrin-1 signaling","REACTOME_NETRIN1_SIGNALING","NONE",0.139,4.2,0.00481,0.0147
"(PID) Ephrin B reverse signaling","PID_EPHRINB_REV_PATHWAY","NONE",-0.146,-4.2,0.00482,0.0147
"(BioCarta) Regulation of ck1/cdk5 by type 1 glutamate receptors","BIOCARTA_CK1_PATHWAY","NONE",0.218,4.2,0.00485,0.0147
"(BioCarta) ATM Signaling Pathway","BIOCARTA_ATM_PATHWAY","NONE",-0.0924,-4.19,0.00488,0.0148
"(Reactome) Mitochondrial Protein Import","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT","NONE",-0.191,-4.18,0.00496,0.015
