"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) Integrin cell surface interactions","REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS","DOWN",-0.161,-5.17,0.000647,0.00392
"(Reactome) Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits","REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS","DOWN",-0.146,-5.16,0.000658,0.00396
"(Reactome) TRAF3-dependent IRF activation pathway","REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY","DOWN",-0.267,-5.14,0.000674,0.00403
"(PID) IL8- and CXCR1-mediated signaling events","PID_IL8_CXCR1_PATHWAY","DOWN",-0.11,-5.13,0.000679,0.00404
"(BioCarta) Induction of apoptosis through DR3 and DR4/5 Death Receptors","BIOCARTA_DEATH_PATHWAY","DOWN",-0.115,-5.11,0.000696,0.00412
"(Reactome) Degradation of the extracellular matrix","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX","DOWN",-0.346,-5.09,0.000719,0.00422
"(KEGG) Cytosolic DNA-sensing pathway","KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY","DOWN",-0.137,-5.08,0.000723,0.00422
"(PID) FOXA2 and FOXA3 transcription factor networks","PID_HNF3B_PATHWAY","DOWN",-0.119,-5.08,0.000725,0.00422
"(BioCarta) IL 2 signaling pathway","BIOCARTA_IL2_PATHWAY","UP",0.127,5.06,0.000751,0.00435
"(Reactome) Lagging Strand Synthesis","REACTOME_LAGGING_STRAND_SYNTHESIS","UP",0.136,5.05,0.000758,0.00438
"(Reactome) G beta:gamma signalling through PLC beta","REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA","UP",0.127,5.03,0.00078,0.00446
"(Reactome) GABA synthesis, release, reuptake and degradation","REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION","UP",0.223,5.02,0.000782,0.00446
"(Reactome) Cell death signalling via NRAGE, NRIF and NADE","REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE","UP",0.115,5.01,0.000795,0.0045
"(Reactome) DAG and IP3 signaling","REACTOME_DAG_AND_IP3_SIGNALING","DOWN",-0.146,-5.01,0.000795,0.0045
"(KEGG) Galactose metabolism","KEGG_GALACTOSE_METABOLISM","UP",0.123,5,0.000807,0.00454
"(BioCarta) IGF-1 Signaling Pathway","BIOCARTA_IGF1_PATHWAY","UP",0.144,4.99,0.000822,0.0046
"(PID) Stabilization and expansion of the E-cadherin adherens junction","PID_ECADHERIN_STABILIZATION_PATHWAY","UP",0.118,4.98,0.000826,0.0046
"(PID) TCR signaling in na&#xef;ve CD4+ T cells","PID_TCR_PATHWAY","DOWN",-0.128,-4.97,0.000842,0.00467
"(Reactome) Signaling by ERBB4","REACTOME_SIGNALING_BY_ERBB4","UP",0.103,4.91,0.000913,0.00503
"(PID) Signaling events mediated by PRL","PID_PRL_SIGNALING_EVENTS_PATHWAY","UP",0.122,4.89,0.000932,0.00511
"(BioCarta) EPO Signaling Pathway","BIOCARTA_EPO_PATHWAY","UP",0.113,4.89,0.000936,0.00511
"(Reactome) Signaling by FGFR mutants","REACTOME_SIGNALING_BY_FGFR_MUTANTS","UP",0.153,4.87,0.000966,0.00525
"(Reactome) Potassium Channels","REACTOME_POTASSIUM_CHANNELS","DOWN",-0.114,-4.85,0.000985,0.00533
"(Naba) Ensemble of genes encoding extracellular matrix and extracellular matrix-associated proteins ","NABA_MATRISOME","DOWN",-0.112,-4.84,0.001,0.00535
"(Reactome) Purine ribonucleoside monophosphate biosynthesis","REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS","UP",0.125,4.84,0.001,0.00535
"(Reactome) G0 and Early G1","REACTOME_G0_AND_EARLY_G1","UP",0.152,4.84,0.001,0.00535
"(KEGG) Vascular smooth muscle contraction","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION","DOWN",-0.133,-4.83,0.00101,0.00536
"(Reactome) NRAGE signals death through JNK","REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK","UP",0.141,4.82,0.00104,0.00547
"(BioCarta) Nerve growth factor pathway (NGF)","BIOCARTA_NGF_PATHWAY","UP",0.142,4.77,0.00111,0.00583
"(Reactome) ERK/MAPK targets","REACTOME_ERK_MAPK_TARGETS","UP",0.124,4.75,0.00113,0.00594
"(Reactome) Processive synthesis on the lagging strand","REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND","UP",0.121,4.74,0.00114,0.00596
"(PID) p38 MAPK signaling pathway","PID_P38_MKK3_6PATHWAY","UP",0.175,4.71,0.00119,0.00619
"(KEGG) PPAR signaling pathway","KEGG_PPAR_SIGNALING_PATHWAY","UP",0.115,4.71,0.0012,0.0062
"(STKE) Tumor Necrosis Factor Pathway.","ST_TUMOR_NECROSIS_FACTOR_PATHWAY","DOWN",-0.11,-4.7,0.00121,0.00621
"(PID) Validated targets of C-MYC transcriptional repression","PID_MYC_REPRESS_PATHWAY","DOWN",-0.0973,-4.68,0.00125,0.00635
"(Reactome) RNA Polymerase I Promoter Opening","REACTOME_RNA_POL_I_PROMOTER_OPENING","DOWN",-0.234,-4.68,0.00125,0.00635
"(KEGG) Bladder cancer","KEGG_BLADDER_CANCER","DOWN",-0.12,-4.67,0.00127,0.00644
"(BioCarta) Downregulated of MTA-3 in ER-negative Breast Tumors","BIOCARTA_MTA3_PATHWAY","DOWN",-0.126,-4.64,0.00133,0.00669
"(PID) Ceramide signaling pathway","PID_CERAMIDE_PATHWAY","DOWN",-0.114,-4.63,0.00134,0.0067
"(BioCarta) Ca++/ Calmodulin-dependent Protein Kinase Activation","BIOCARTA_CACAM_PATHWAY","UP",0.163,4.63,0.00134,0.0067
"(BioCarta) CTCF: First Multivalent Nuclear Factor","BIOCARTA_CTCF_PATHWAY","DOWN",-0.136,-4.61,0.00138,0.00684
"(PID) Signaling events mediated by HDAC Class I","PID_HDAC_CLASSI_PATHWAY","DOWN",-0.132,-4.61,0.00138,0.00684
"(PID) Trk receptor signaling mediated by the MAPK pathway","PID_MAPK_TRK_PATHWAY","UP",0.129,4.59,0.00141,0.00696
"(Reactome) Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL","DOWN",-0.17,-4.53,0.00153,0.0075
"(Reactome) Removal of the Flap Intermediate from the C-strand","REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND","UP",0.108,4.52,0.00156,0.00763
"(BioCarta) Intrinsic Prothrombin Activation Pathway","BIOCARTA_INTRINSIC_PATHWAY","DOWN",-0.142,-4.51,0.00158,0.0077
"(Reactome) CS/DS degradation","REACTOME_CS_DS_DEGRADATION","UP",0.151,4.49,0.00163,0.00788
"(BioCarta) WNT Signaling Pathway","BIOCARTA_WNT_PATHWAY","UP",0.139,4.48,0.00164,0.00791
"(Reactome) Metabolism of mRNA","REACTOME_METABOLISM_OF_MRNA","DOWN",-0.1,-4.48,0.00166,0.00796
"(KEGG) Tight junction","KEGG_TIGHT_JUNCTION","DOWN",-0.107,-4.47,0.00166,0.00796
"(SigmaAldrich) Expression of cyclins regulates progression through the cell cycle by activating cyclin-dependent kinases.","SA_REG_CASCADE_OF_CYCLIN_EXPR","UP",0.16,4.47,0.00167,0.00797
"(Reactome) Polymerase switching","REACTOME_POL_SWITCHING","UP",0.131,4.46,0.00171,0.00811
"(KEGG) Glycosaminoglycan biosynthesis - heparan sulfate","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE","UP",0.169,4.42,0.00179,0.00846
"(Naba) Genes encoding enzymes and their regulators involved in the remodeling of the extracellular matrix","NABA_ECM_REGULATORS","DOWN",-0.139,-4.41,0.00181,0.00852
"(Reactome) RIP-mediated NFkB activation via DAI","REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI","DOWN",-0.156,-4.39,0.00187,0.00877
"(Reactome) Class A/1 (Rhodopsin-like receptors)","REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS","DOWN",-0.107,-4.38,0.0019,0.00882
"(Reactome) Nephrin interactions","REACTOME_NEPHRIN_INTERACTIONS","UP",0.117,4.38,0.0019,0.00882
"(Reactome) Latent infection of Homo sapiens with Mycobacterium tuberculosis","REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS","UP",0.114,4.38,0.00191,0.00882
"(Reactome) CDC6 association with the ORC:origin complex","REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX","UP",0.166,4.36,0.00196,0.00902
"(Reactome) Synthesis of PIPs at the late endosome membrane","REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE","UP",0.153,4.34,0.002,0.00919
"(PID) Role of Calcineurin-dependent NFAT signaling in lymphocytes","PID_NFAT_3PATHWAY","DOWN",-0.092,-4.34,0.00201,0.00919
"(Reactome) NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10","REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10","DOWN",-0.215,-4.33,0.00203,0.00925
"(PID) Beta5 beta6 beta7 and beta8 integrin cell surface interactions","PID_INTEGRIN5_PATHWAY","DOWN",-0.119,-4.33,0.00204,0.00925
"(BioCarta) NFkB activation by Nontypeable Hemophilus influenzae","BIOCARTA_NTHI_PATHWAY","DOWN",-0.128,-4.33,0.00205,0.00925
"(Reactome) Ca-dependent events","REACTOME_CA_DEPENDENT_EVENTS","DOWN",-0.126,-4.28,0.00218,0.00982
"(PID) Angiopoietin receptor Tie2-mediated signaling","PID_ANGIOPOIETIN_RECEPTOR_PATHWAY","NONE",-0.104,-4.27,0.00223,0.01
"(PID) PDGFR-alpha signaling pathway","PID_PDGFRA_PATHWAY","NONE",0.137,4.26,0.00225,0.01
"(Reactome) G alpha (z) signalling events","REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS","NONE",-0.11,-4.24,0.00232,0.0103
"(Reactome) Destabilization of mRNA by KSRP","REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP","NONE",0.153,4.23,0.00235,0.0104
"(KEGG) O-Glycan biosynthesis","KEGG_O_GLYCAN_BIOSYNTHESIS","NONE",-0.237,-4.23,0.00236,0.0104
"(KEGG) Aldosterone-regulated sodium reabsorption","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION","NONE",-0.0861,-4.21,0.00244,0.0107
"(Reactome) Signaling by Rho GTPases","REACTOME_SIGNALING_BY_RHO_GTPASES","NONE",0.103,4.2,0.00245,0.0107
"(BioCarta) PKC-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase","BIOCARTA_MYOSIN_PATHWAY","NONE",-0.122,-4.19,0.00251,0.0109
"(Reactome) Synthesis of PC","REACTOME_SYNTHESIS_OF_PC","NONE",0.13,4.18,0.00255,0.0111
"(Reactome) Insulin receptor recycling","REACTOME_INSULIN_RECEPTOR_RECYCLING","NONE",0.118,4.17,0.00259,0.0111
"(KEGG) Glycerolipid metabolism","KEGG_GLYCEROLIPID_METABOLISM","NONE",0.129,4.17,0.00259,0.0111
"(Reactome) G alpha (12/13) signalling events","REACTOME_G_ALPHA1213_SIGNALLING_EVENTS","NONE",0.0994,4.16,0.00259,0.0111
"(PID) ErbB4 signaling events","PID_ERBB4_PATHWAY","NONE",0.0943,4.16,0.00262,0.0112
"(KEGG) Amyotrophic lateral sclerosis (ALS)","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS","NONE",0.118,4.15,0.00264,0.0112
"(Reactome) Negative regulators of RIG-I/MDA5 signaling","REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING","NONE",-0.122,-4.14,0.00268,0.0114
"(PID) Direct p53 effectors","PID_P53_DOWNSTREAM_PATHWAY","NONE",0.11,4.13,0.00271,0.0115
"(KEGG) Propanoate metabolism","KEGG_PROPANOATE_METABOLISM","NONE",0.107,4.12,0.00278,0.0117
"(PID) Glucocorticoid receptor regulatory network","PID_REG_GR_PATHWAY","NONE",0.0941,4.08,0.00293,0.0123
"(KEGG) Pyruvate metabolism","KEGG_PYRUVATE_METABOLISM","NONE",0.0914,4.07,0.00297,0.0124
"(KEGG) Taste transduction","KEGG_TASTE_TRANSDUCTION","NONE",0.0983,4.07,0.00298,0.0124
"(Reactome) Other semaphorin interactions","REACTOME_OTHER_SEMAPHORIN_INTERACTIONS","NONE",-0.165,-4.07,0.00299,0.0124
"(Reactome) Activation of NMDA receptor upon glutamate binding and postsynaptic events","REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS","NONE",0.101,4.03,0.00317,0.0131
"(KEGG) Mismatch repair","KEGG_MISMATCH_REPAIR","NONE",0.104,4.02,0.00318,0.0131
"(Reactome) Signal transduction by L1","REACTOME_SIGNAL_TRANSDUCTION_BY_L1","NONE",-0.118,-4.02,0.00322,0.0132
"(BioCarta) Inactivation of Gsk3 by AKT causes accumulation of b-catenin in Alveolar Macrophages","BIOCARTA_GSK3_PATHWAY","NONE",0.157,4,0.00328,0.0134
"(PID) Plasma membrane estrogen receptor signaling","PID_ER_NONGENOMIC_PATHWAY","NONE",0.0839,4,0.0033,0.0134
"(Reactome) ABC-family proteins mediated transport","REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT","NONE",-0.123,-4,0.00332,0.0135
"(Reactome) G alpha (i) signalling events","REACTOME_G_ALPHA_I_SIGNALLING_EVENTS","NONE",-0.105,-3.98,0.00338,0.0137
"(PID) Glypican 1 network","PID_GLYPICAN_1PATHWAY","NONE",0.102,3.96,0.00351,0.0141
"(PID) Validated targets of C-MYC transcriptional activation","PID_MYC_ACTIV_PATHWAY","NONE",0.0917,3.96,0.00352,0.0141
"(BioCarta) Activation of Src by Protein-tyrosine phosphatase alpha","BIOCARTA_SRCRPTP_PATHWAY","NONE",-0.195,-3.94,0.00359,0.0143
"(BioCarta) Cell to Cell Adhesion Signaling","BIOCARTA_CELL2CELL_PATHWAY","NONE",-0.118,-3.94,0.00359,0.0143
"(Reactome) Signaling by NOTCH4","REACTOME_SIGNALING_BY_NOTCH4","NONE",0.132,3.93,0.00366,0.0146
"(PID) ErbB receptor signaling network","PID_ERBB_NETWORK_PATHWAY","NONE",-0.106,-3.93,0.00369,0.0146
"(Naba) Ensemble of genes encoding ECM-associated proteins including ECM-affilaited proteins, ECM regulators and secreted factors","NABA_MATRISOME_ASSOCIATED","NONE",-0.0871,-3.92,0.00372,0.0147
"(Reactome) G1/S-Specific Transcription","REACTOME_G1_S_SPECIFIC_TRANSCRIPTION","NONE",0.167,3.9,0.00385,0.0152
"(KEGG) Axon guidance","KEGG_AXON_GUIDANCE","NONE",0.0901,3.89,0.00388,0.0152
"(KEGG) Complement and coagulation cascades","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES","NONE",-0.129,-3.88,0.00394,0.0154
"(Reactome) Interaction between L1 and Ankyrins","REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS","NONE",0.112,3.87,0.00401,0.0156
"(Reactome) Chondroitin sulfate biosynthesis","REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS","NONE",-0.173,-3.87,0.00403,0.0156
"(PID) S1P1 pathway","PID_S1P_S1P1_PATHWAY","NONE",0.108,3.87,0.00404,0.0156
"(Reactome) Signaling by NOTCH2","REACTOME_SIGNALING_BY_NOTCH2","NONE",0.128,3.86,0.00406,0.0156
"(BioCarta) IL12 and Stat4 Dependent Signaling Pathway in Th1 Development","BIOCARTA_IL12_PATHWAY","NONE",0.164,3.86,0.00407,0.0156
"(Reactome) Growth hormone receptor signaling","REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING","NONE",-0.122,-3.86,0.00407,0.0156
"(PID) Ephrin B reverse signaling","PID_EPHRINB_REV_PATHWAY","NONE",0.138,3.84,0.00421,0.0161
"(PID) Validated transcriptional targets of AP1 family members Fra1 and Fra2","PID_FRA_PATHWAY","NONE",-0.117,-3.82,0.00434,0.0165
"(PID) Noncanonical Wnt signaling pathway","PID_WNT_NONCANONICAL_PATHWAY","NONE",-0.084,-3.79,0.00451,0.0171
"(Reactome) Keratan sulfate biosynthesis","REACTOME_KERATAN_SULFATE_BIOSYNTHESIS","NONE",-0.0956,-3.77,0.00463,0.0175
"(PID) Notch-mediated HES/HEY network","PID_HES_HEY_PATHWAY","NONE",-0.0845,-3.77,0.00464,0.0175
"(Reactome) Packaging Of Telomere Ends","REACTOME_PACKAGING_OF_TELOMERE_ENDS","NONE",-0.161,-3.77,0.00468,0.0176
"(Reactome) Activation of the AP-1 family of transcription factors","REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS","NONE",0.0909,3.76,0.00473,0.0177
"(Reactome) Pre-NOTCH Expression and Processing","REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING","NONE",-0.0905,-3.73,0.00495,0.0184
"(BioCarta) Cadmium induces DNA synthesis and proliferation in macrophages","BIOCARTA_CDMAC_PATHWAY","NONE",-0.152,-3.72,0.00499,0.0185
"(PID) FOXA1 transcription factor network","PID_HNF3A_PATHWAY","NONE",-0.0867,-3.72,0.00504,0.0186
"(Reactome) ABCA transporters in lipid homeostasis","REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS","NONE",0.128,3.72,0.00505,0.0186
"(Reactome) tRNA Aminoacylation","REACTOME_TRNA_AMINOACYLATION","NONE",0.0894,3.72,0.00506,0.0186
"(PID) ATR signaling pathway","PID_ATR_PATHWAY","NONE",0.108,3.71,0.00507,0.0186
"(PID) Syndecan-3-mediated signaling events","PID_SYNDECAN_3_PATHWAY","NONE",0.14,3.7,0.00517,0.0189
"(Reactome) PKA-mediated phosphorylation of CREB","REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB","NONE",-0.171,-3.69,0.00522,0.019
"(PID) N-cadherin signaling events","PID_NCADHERIN_PATHWAY","NONE",0.0849,3.68,0.00533,0.0194
"(Reactome) Synthesis of PA","REACTOME_SYNTHESIS_OF_PA","NONE",-0.0868,-3.67,0.00545,0.0197
"(PID) IL23-mediated signaling events","PID_IL23_PATHWAY","NONE",-0.103,-3.65,0.0056,0.0201
"(BioCarta) Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling","BIOCARTA_AT1R_PATHWAY","NONE",-0.0858,-3.65,0.0056,0.0201
"(BioCarta) Mechanism of Gene Regulation by Peroxisome Proliferators via PPARa(alpha)","BIOCARTA_PPARA_PATHWAY","NONE",-0.0833,-3.62,0.00585,0.021
"(Reactome) EGFR downregulation","REACTOME_EGFR_DOWNREGULATION","NONE",-0.0789,-3.62,0.00587,0.021
"(Reactome) Association of licensing factors with the pre-replicative complex","REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX","NONE",0.118,3.6,0.00604,0.0215
"(Reactome) Loss of Nlp from mitotic centrosomes","REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES","NONE",-0.115,-3.59,0.0061,0.0217
"(BioCarta) Thrombin signaling and protease-activated receptors","BIOCARTA_PAR1_PATHWAY","NONE",-0.0887,-3.58,0.00618,0.0219
"(KEGG) DNA replication","KEGG_DNA_REPLICATION","NONE",0.0982,3.58,0.00626,0.0221
"(Signaling Gateway) Genes related to chemotaxis","SIG_CHEMOTAXIS","NONE",0.0897,3.57,0.00627,0.0221
"(Signaling Gateway) Genes related to regulation of the actin cytoskeleton","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","NONE",0.0951,3.57,0.00631,0.0221
"(Reactome) Adenylate cyclase inhibitory pathway","REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY","NONE",-0.193,-3.56,0.0064,0.0223
"(PID) Circadian rhythm pathway","PID_CIRCADIAN_PATHWAY","NONE",0.133,3.56,0.00644,0.0224
"(Reactome) SHC1 events in ERBB4 signaling","REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING","NONE",0.0898,3.55,0.00652,0.0226
"(Reactome) Activated NOTCH1 Transmits Signal to the Nucleus","REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS","NONE",0.111,3.55,0.00654,0.0226
"(BioCarta) Transcription factor CREB and its extracellular signals","BIOCARTA_CREB_PATHWAY","NONE",-0.0902,-3.54,0.0066,0.0228
"(Reactome) Interleukin-2 signaling","REACTOME_IL_2_SIGNALING","NONE",0.08,3.53,0.00674,0.0232
"(PID) Posttranslational regulation of adherens junction stability and dissassembly","PID_AJDISS_2PATHWAY","NONE",-0.103,-3.52,0.00684,0.0235
"(BioCarta) TGF beta signaling pathway","BIOCARTA_TGFB_PATHWAY","NONE",-0.143,-3.51,0.00692,0.0237
"(BioCarta) Cell Cycle: G1/S Check Point","BIOCARTA_G1_PATHWAY","NONE",-0.0908,-3.49,0.00713,0.0243
"(STKE) Wnt/beta-catenin Pathway","ST_WNT_BETA_CATENIN_PATHWAY","NONE",-0.0718,-3.49,0.00715,0.0243
"(PID) Signaling events mediated by Stem cell factor receptor (c-Kit)","PID_KIT_PATHWAY","NONE",0.0801,3.48,0.00724,0.0245
"(PID) Beta2 integrin cell surface interactions","PID_INTEGRIN2_PATHWAY","NONE",-0.104,-3.47,0.00735,0.0248
"(Reactome) NRIF signals cell death from the nucleus","REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS","NONE",0.124,3.47,0.00742,0.0249
"(Reactome) Acyl chain remodelling of PC","REACTOME_ACYL_CHAIN_REMODELLING_OF_PC","NONE",0.128,3.47,0.00743,0.0249
"(KEGG) Systemic lupus erythematosus","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS","NONE",-0.0815,-3.46,0.00752,0.0252
"(PID) Sphingosine 1-phosphate (S1P) pathway","PID_S1P_META_PATHWAY","NONE",-0.11,-3.46,0.00754,0.0252
"(Reactome) Metabolism of RNA","REACTOME_METABOLISM_OF_RNA","NONE",-0.0735,-3.44,0.00767,0.0255
"(PID) E-cadherin signaling in the nascent adherens junction","PID_ECADHERIN_NASCENT_AJ_PATHWAY","NONE",0.09,3.43,0.00779,0.0259
"(Reactome) Regulation of ornithine decarboxylase (ODC)","REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC","NONE",-0.0798,-3.43,0.00787,0.026
"(PID) Arf6 trafficking events","PID_ARF6_TRAFFICKING_PATHWAY","NONE",-0.0849,-3.41,0.00803,0.0265
"(BioCarta) Repression of Pain Sensation by the Transcriptional Regulator DREAM","BIOCARTA_DREAM_PATHWAY","NONE",-0.117,-3.41,0.00812,0.0267
"(Reactome) Cell-Cell communication","REACTOME_CELL_CELL_COMMUNICATION","NONE",0.0778,3.39,0.0083,0.0272
"(Reactome) Extension of Telomeres","REACTOME_EXTENSION_OF_TELOMERES","NONE",0.101,3.38,0.00846,0.0276
"(PID) Nongenotropic Androgen signaling","PID_AR_NONGENOMIC_PATHWAY","NONE",0.0951,3.38,0.00847,0.0276
"(SigmaAldrich) PTEN is a tumor suppressor that dephosphorylates the lipid messenger phosphatidylinositol triphosphate.","SA_PTEN_PATHWAY","NONE",0.0895,3.35,0.00882,0.0287
"(Reactome) Regulatory RNA pathways","REACTOME_REGULATORY_RNA_PATHWAYS","NONE",-0.118,-3.34,0.00903,0.0293
"(STKE) G alpha 12 Pathway","ST_GA12_PATHWAY","NONE",-0.0991,-3.33,0.00916,0.0296
"(KEGG) Thyroid cancer","KEGG_THYROID_CANCER","NONE",-0.105,-3.33,0.0092,0.0297
"(Reactome) Cell-extracellular matrix interactions","REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS","NONE",-0.132,-3.31,0.00951,0.0306
"(PID) Presenilin action in Notch and Wnt signaling","PID_PS1_PATHWAY","NONE",0.0991,3.3,0.00957,0.0307
"(PID) CDC42 signaling events","PID_CDC42_PATHWAY","NONE",0.0679,3.29,0.00981,0.0313
"(PID) DNA-PK pathway in nonhomologous end joining","PID_DNA_PK_PATHWAY","NONE",-0.144,-3.29,0.00982,0.0313
"(Reactome) Metabolism of porphyrins","REACTOME_METABOLISM_OF_PORPHYRINS","NONE",-0.207,-3.25,0.0103,0.0328
"(BioCarta) Toll-Like Receptor Pathway","BIOCARTA_TOLL_PATHWAY","NONE",-0.0792,-3.24,0.0106,0.0336
"(Reactome) Signaling by BMP","REACTOME_SIGNALING_BY_BMP","NONE",-0.0894,-3.22,0.0109,0.0343
"(Reactome) Signaling by NOTCH3","REACTOME_SIGNALING_BY_NOTCH3","NONE",0.119,3.22,0.0109,0.0343
"(Reactome) Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS","NONE",-0.0882,-3.22,0.0109,0.0343
"(PID) IGF1 pathway","PID_IGF1_PATHWAY","NONE",0.0726,3.22,0.011,0.0343
"(KEGG) Starch and sucrose metabolism","KEGG_STARCH_AND_SUCROSE_METABOLISM","NONE",0.0704,3.21,0.011,0.0344
"(Reactome) Antigen Activates B Cell Receptor Leading to Generation of Second Messengers","REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS","NONE",0.0814,3.21,0.0111,0.0345
"(PID) Canonical Wnt signaling pathway","PID_WNT_CANONICAL_PATHWAY","NONE",0.0865,3.2,0.0113,0.035
"(Reactome) E2F mediated regulation of DNA replication","REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION","NONE",0.109,3.2,0.0113,0.035
"(KEGG) Neurotrophin signaling pathway","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","NONE",0.0689,3.19,0.0114,0.0351
"(KEGG) Ether lipid metabolism","KEGG_ETHER_LIPID_METABOLISM","NONE",-0.0716,-3.19,0.0114,0.0351
"(Reactome) Sphingolipid metabolism","REACTOME_SPHINGOLIPID_METABOLISM","NONE",0.0962,3.18,0.0115,0.0355
"(Reactome) Signaling by PDGF","REACTOME_SIGNALING_BY_PDGF","NONE",-0.0721,-3.16,0.0119,0.0365
"(BioCarta) Effects of calcineurin in Keratinocyte Differentiation","BIOCARTA_CALCINEURIN_PATHWAY","NONE",-0.0718,-3.16,0.012,0.0366
"(KEGG) Inositol phosphate metabolism","KEGG_INOSITOL_PHOSPHATE_METABOLISM","NONE",0.0944,3.15,0.0121,0.0368
"(STKE) Granule Cell Survival Pathway is a specific case of more general PAC1 Receptor Pathway.","ST_GRANULE_CELL_SURVIVAL_PATHWAY","NONE",0.0719,3.15,0.0121,0.0368
"(BioCarta) Regulation of eIF2","BIOCARTA_EIF2_PATHWAY","NONE",0.0736,3.15,0.0122,0.0368
"(Reactome) O-linked glycosylation of mucins","REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS","NONE",-0.132,-3.15,0.0122,0.0368
"(Reactome) Apoptotic execution  phase","REACTOME_APOPTOTIC_EXECUTION_PHASE","NONE",0.0764,3.15,0.0122,0.0368
"(Reactome) GPVI-mediated activation cascade","REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE","NONE",0.0964,3.14,0.0123,0.0371
