"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) Processing of Capped Intron-Containing Pre-mRNA","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","UP",0.163,5.29,0.000635,0.00397
"(Reactome) Meiosis","REACTOME_MEIOSIS","UP",0.125,5.28,0.000643,0.00398
"(BioCarta) Role of fl-arrestins in the activation and targeting of MAP kinases","BIOCARTA_BARR_MAPK_PATHWAY","DOWN",-0.149,-5.28,0.000647,0.00398
"(STKE) Adrenergic Pathway","ST_ADRENERGIC","UP",0.171,5.27,0.000648,0.00398
"(PID) VEGFR1 specific signals","PID_VEGFR1_PATHWAY","DOWN",-0.227,-5.27,0.000651,0.00398
"(STKE) Granule Cell Survival Pathway is a specific case of more general PAC1 Receptor Pathway.","ST_GRANULE_CELL_SURVIVAL_PATHWAY","UP",0.122,5.27,0.000655,0.00398
"(KEGG) Spliceosome","KEGG_SPLICEOSOME","UP",0.14,5.25,0.000671,0.00405
"(Reactome) Interferon gamma signaling","REACTOME_INTERFERON_GAMMA_SIGNALING","UP",0.214,5.24,0.000675,0.00405
"(PID) RhoA signaling pathway","PID_RHOA_PATHWAY","UP",0.16,5.24,0.000679,0.00405
"(PID) LPA receptor mediated events","PID_LYSOPHOSPHOLIPID_PATHWAY","UP",0.137,5.24,0.00068,0.00405
"(Reactome) SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion","REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION","DOWN",-0.241,-5.23,0.000689,0.00408
"(BioCarta) Insulin Signaling Pathway","BIOCARTA_INSULIN_PATHWAY","UP",0.129,5.21,0.000707,0.00412
"(KEGG) Small cell lung cancer","KEGG_SMALL_CELL_LUNG_CANCER","DOWN",-0.129,-5.2,0.000713,0.00412
"(Reactome) Downregulation of SMAD2/3:SMAD4 transcriptional activity","REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY","UP",0.203,5.2,0.000715,0.00412
"(Reactome) GRB2 events in ERBB2 signaling","REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING","DOWN",-0.17,-5.19,0.000717,0.00412
"(Reactome) Activation of Genes by ATF4","REACTOME_ACTIVATION_OF_GENES_BY_ATF4","UP",0.149,5.19,0.000719,0.00412
"(Reactome) Cell-extracellular matrix interactions","REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS","DOWN",-0.219,-5.19,0.000721,0.00412
"(KEGG) Purine metabolism","KEGG_PURINE_METABOLISM","UP",0.114,5.19,0.000721,0.00412
"(PID) Degradation of beta catenin","PID_BETA_CATENIN_DEG_PATHWAY","UP",0.136,5.18,0.000734,0.00417
"(BioCarta) Links between Pyk2 and Map Kinases","BIOCARTA_PYK2_PATHWAY","DOWN",-0.115,-5.16,0.000752,0.00425
"(Reactome) CDK-mediated phosphorylation and removal of Cdc6","REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6","DOWN",-0.14,-5.14,0.000772,0.00432
"(Reactome) Polymerase switching","REACTOME_POL_SWITCHING","UP",0.143,5.14,0.000772,0.00432
"(Naba) Genes encoding proteoglycans","NABA_PROTEOGLYCANS","UP",0.173,5.11,0.000798,0.00445
"(Reactome) Calnexin/calreticulin cycle","REACTOME_CALNEXIN_CALRETICULIN_CYCLE","UP",0.151,5.07,0.000837,0.00462
"(Reactome) Packaging Of Telomere Ends","REACTOME_PACKAGING_OF_TELOMERE_ENDS","UP",0.286,5.07,0.000837,0.00462
"(BioCarta) Ras-Independent pathway in NK cell-mediated cytotoxicity","BIOCARTA_NKCELLS_PATHWAY","DOWN",-0.149,-5.04,0.000877,0.0048
"(Reactome) Orc1 removal from chromatin","REACTOME_ORC1_REMOVAL_FROM_CHROMATIN","DOWN",-0.135,-5.03,0.000879,0.0048
"(BioCarta) Actions of Nitric Oxide in the Heart","BIOCARTA_NO1_PATHWAY","DOWN",-0.126,-5.02,0.000895,0.00485
"(BioCarta) fMLP induced chemokine gene expression in HMC-1 cells","BIOCARTA_FMLP_PATHWAY","DOWN",-0.132,-5.02,0.000897,0.00485
"(Reactome) Synthesis of glycosylphosphatidylinositol (GPI)","REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","UP",0.154,5.01,0.000913,0.00491
"(Reactome) Regulatory RNA pathways","REACTOME_REGULATORY_RNA_PATHWAYS","UP",0.238,5,0.000918,0.00491
"(BioCarta) IGF-1 Signaling Pathway","BIOCARTA_IGF1_PATHWAY","UP",0.127,4.99,0.000925,0.00491
"(Reactome) PERK regulated gene expression","REACTOME_PERK_REGULATED_GENE_EXPRESSION","UP",0.132,4.99,0.000927,0.00491
"(BioCarta) Human Cytomegalovirus and Map Kinase Pathways","BIOCARTA_HCMV_PATHWAY","DOWN",-0.147,-4.99,0.00093,0.00491
"(STKE) G alpha q Pathway","ST_GAQ_PATHWAY","UP",0.145,4.99,0.000936,0.00491
"(Reactome) mRNA Processing","REACTOME_MRNA_PROCESSING","UP",0.153,4.98,0.000939,0.00491
"(Reactome) TRAF3-dependent IRF activation pathway","REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY","UP",0.226,4.98,0.000944,0.00492
"(BioCarta) Toll-Like Receptor Pathway","BIOCARTA_TOLL_PATHWAY","UP",0.13,4.97,0.000951,0.00493
"(Reactome) Phase II conjugation","REACTOME_PHASE_II_CONJUGATION","DOWN",-0.17,-4.93,0.00101,0.00522
"(Reactome) Regulation of Glucokinase by Glucokinase Regulatory Protein","REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN","UP",0.138,4.9,0.00105,0.00537
"(Reactome) Early Phase of HIV Life Cycle","REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE","DOWN",-0.239,-4.89,0.00106,0.00537
"(KEGG) Starch and sucrose metabolism","KEGG_STARCH_AND_SUCROSE_METABOLISM","DOWN",-0.119,-4.89,0.00106,0.00537
"(Reactome) Transport of Ribonucleoproteins into the Host Nucleus","REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS","UP",0.145,4.89,0.00106,0.00537
"(BioCarta) Role of Parkin in the Ubiquitin-Proteasomal Pathway","BIOCARTA_PARKIN_PATHWAY","DOWN",-0.2,-4.87,0.00109,0.00548
"(BioCarta) How Progesterone Initiates Oocyte Membrane","BIOCARTA_MPR_PATHWAY","DOWN",-0.113,-4.86,0.0011,0.00552
"(Reactome) mRNA 3'-end processing","REACTOME_MRNA_3_END_PROCESSING","UP",0.227,4.86,0.00111,0.00553
"(Reactome) Signaling by NOTCH3","REACTOME_SIGNALING_BY_NOTCH3","DOWN",-0.2,-4.84,0.00113,0.00558
"(PID) Direct p53 effectors","PID_P53_DOWNSTREAM_PATHWAY","DOWN",-0.157,-4.84,0.00113,0.00558
"(KEGG) GnRH signaling pathway","KEGG_GNRH_SIGNALING_PATHWAY","UP",0.117,4.84,0.00113,0.00558
"(BioCarta) Eukaryotic protein translation","BIOCARTA_EIF_PATHWAY","UP",0.171,4.84,0.00114,0.00558
"(Reactome) GPCR ligand binding","REACTOME_GPCR_LIGAND_BINDING","DOWN",-0.121,-4.83,0.00115,0.00561
"(Reactome) CDT1 association with the CDC6:ORC:origin complex","REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX","DOWN",-0.126,-4.83,0.00115,0.00561
"(BioCarta) Repression of Pain Sensation by the Transcriptional Regulator DREAM","BIOCARTA_DREAM_PATHWAY","DOWN",-0.135,-4.82,0.00117,0.00565
"(Reactome) Metabolism of porphyrins","REACTOME_METABOLISM_OF_PORPHYRINS","DOWN",-0.272,-4.79,0.00121,0.00579
"(BioCarta) GATA3 participate in activating the Th2 cytokine genes expression","BIOCARTA_GATA3_PATHWAY","DOWN",-0.123,-4.79,0.00121,0.00579
"(Reactome) Downstream TCR signaling","REACTOME_DOWNSTREAM_TCR_SIGNALING","UP",0.164,4.79,0.00121,0.00579
"(STKE) G alpha 13 Pathway","ST_GA13_PATHWAY","UP",0.151,4.79,0.00121,0.00579
"(PID) LKB1 signaling events","PID_LKB1_PATHWAY","UP",0.166,4.78,0.00123,0.00582
"(Reactome) PI3K Cascade","REACTOME_PI3K_CASCADE","UP",0.131,4.77,0.00124,0.00586
"(PID) Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling","PID_UPA_UPAR_PATHWAY","DOWN",-0.198,-4.77,0.00125,0.00586
"(Reactome) Inhibition of Insulin Secretion by Adrenaline/Noradrenaline","REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE","UP",0.105,4.77,0.00125,0.00586
"(Reactome) N-glycan trimming in the ER and Calnexin/Calreticulin cycle","REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE","UP",0.155,4.75,0.00127,0.00594
"(Reactome) Glycogen breakdown (glycogenolysis)","REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS","UP",0.127,4.74,0.00129,0.00596
"(Reactome) Interferon Signaling","REACTOME_INTERFERON_SIGNALING","UP",0.12,4.74,0.00129,0.00596
"(Reactome) Deposition of New CENPA-containing Nucleosomes at the Centromere","REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE","UP",0.12,4.74,0.00129,0.00596
"(Reactome) Extension of Telomeres","REACTOME_EXTENSION_OF_TELOMERES","UP",0.161,4.73,0.00131,0.00602
"(PID) TRAIL signaling pathway","PID_TRAIL_PATHWAY","DOWN",-0.117,-4.73,0.00132,0.00602
"(PID) TCR signaling in na&#xef;ve CD8+ T cells","PID_CD8_TCR_PATHWAY","UP",0.146,4.72,0.00132,0.00602
"(PID) FOXA1 transcription factor network","PID_HNF3A_PATHWAY","UP",0.133,4.72,0.00133,0.00604
"(Reactome) Cyclin E associated events during G1/S transition ","REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_","DOWN",-0.141,-4.71,0.00134,0.00604
"(KEGG) Drug metabolism - other enzymes","KEGG_DRUG_METABOLISM_OTHER_ENZYMES","UP",0.161,4.71,0.00135,0.00604
"(KEGG) Regulation of autophagy","KEGG_REGULATION_OF_AUTOPHAGY","UP",0.148,4.71,0.00135,0.00604
"(Reactome) Signaling by FGFR1 fusion mutants","REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS","UP",0.131,4.71,0.00135,0.00604
"(BioCarta) MAPKinase Signaling Pathway","BIOCARTA_MAPK_PATHWAY","UP",0.139,4.69,0.00138,0.00612
"(Reactome) Assembly of the pre-replicative complex","REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX","DOWN",-0.122,-4.68,0.00139,0.00618
"(Reactome) Mitochondrial Fatty Acid Beta-Oxidation","REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION","DOWN",-0.146,-4.67,0.00141,0.00622
"(PID) Alpha9 beta1 integrin signaling events","PID_INTEGRIN_A9B1_PATHWAY","DOWN",-0.14,-4.67,0.00142,0.00622
"(Reactome) Signaling by Robo receptor","REACTOME_SIGNALING_BY_ROBO_RECEPTOR","UP",0.116,4.66,0.00143,0.00624
"(PID) Ceramide signaling pathway","PID_CERAMIDE_PATHWAY","DOWN",-0.113,-4.66,0.00143,0.00624
"(BioCarta) Control of skeletal myogenesis by HDAC and calcium/calmodulin-dependent kinase (CaMK)","BIOCARTA_HDAC_PATHWAY","UP",0.122,4.66,0.00144,0.00626
"(BioCarta) Tumor Suppressor Arf Inhibits Ribosomal Biogenesis","BIOCARTA_ARF_PATHWAY","DOWN",-0.208,-4.65,0.00146,0.00634
"(BioCarta) Nuclear receptors coordinate the activities of chromatin remodeling complexes and coactivators to facilitate initiation of transcription in carcinoma cells","BIOCARTA_RARRXR_PATHWAY","UP",0.109,4.64,0.00147,0.00635
"(KEGG) Base excision repair","KEGG_BASE_EXCISION_REPAIR","UP",0.156,4.63,0.0015,0.00643
"(Reactome) Mitotic G1-G1/S phases","REACTOME_MITOTIC_G1_G1_S_PHASES","DOWN",-0.131,-4.61,0.00154,0.00657
"(Reactome) Signaling by FGFR mutants","REACTOME_SIGNALING_BY_FGFR_MUTANTS","UP",0.121,4.6,0.00156,0.00664
"(PID) Signaling mediated by p38-alpha and p38-beta","PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY","DOWN",-0.122,-4.6,0.00156,0.00664
"(BioCarta) Y branching of actin filaments","BIOCARTA_ACTINY_PATHWAY","DOWN",-0.161,-4.59,0.00157,0.00666
"(PID) Fc-epsilon receptor I signaling in mast cells","PID_FCER1_PATHWAY","UP",0.101,4.59,0.00158,0.00667
"(PID) HIF-1-alpha transcription factor network","PID_HIF1_TFPATHWAY","DOWN",-0.122,-4.58,0.0016,0.00672
"(Reactome) Signalling to ERKs","REACTOME_SIGNALLING_TO_ERKS","DOWN",-0.11,-4.57,0.00162,0.00678
"(PID) Validated nuclear estrogen receptor beta network","PID_ERB_GENOMIC_PATHWAY","UP",0.134,4.57,0.00163,0.0068
"(PID) Internalization of ErbB1","PID_ERBB1_INTERNALIZATION_PATHWAY","DOWN",-0.118,-4.56,0.00166,0.00687
"(Reactome) SCF-beta-TrCP mediated degradation of Emi1","REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1","DOWN",-0.116,-4.55,0.00167,0.00687
"(Reactome) Signaling by FGFR1 mutants","REACTOME_SIGNALING_BY_FGFR1_MUTANTS","UP",0.131,4.55,0.00167,0.00687
"(Reactome) Muscle contraction","REACTOME_MUSCLE_CONTRACTION","UP",0.204,4.54,0.00169,0.00692
"(Reactome) Apoptotic cleavage of cellular proteins","REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS","UP",0.124,4.54,0.0017,0.00696
"(Reactome) mRNA Splicing","REACTOME_MRNA_SPLICING","UP",0.161,4.53,0.00172,0.00699
"(Reactome) Signaling by Wnt","REACTOME_SIGNALING_BY_WNT","DOWN",-0.108,-4.53,0.00172,0.00699
"(PID) Hedgehog signaling events mediated by Gli proteins","PID_HEDGEHOG_GLI_PATHWAY","UP",0.154,4.52,0.00175,0.00708
"(Reactome) Pre-NOTCH Transcription and Translation","REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION","UP",0.145,4.51,0.00176,0.0071
"(KEGG) Glycolysis / Gluconeogenesis","KEGG_GLYCOLYSIS_GLUCONEOGENESIS","DOWN",-0.114,-4.48,0.00184,0.0074
"(BioCarta) The 4-1BB-dependent immune response","BIOCARTA_41BB_PATHWAY","UP",0.218,4.47,0.00185,0.00742
"(PID) JNK signaling in the CD4+ TCR pathway","PID_TCR_JNK_PATHWAY","UP",0.275,4.46,0.00188,0.00749
"(Reactome) Generic Transcription Pathway","REACTOME_GENERIC_TRANSCRIPTION_PATHWAY","UP",0.12,4.46,0.00189,0.0075
"(BioCarta) EPO Signaling Pathway","BIOCARTA_EPO_PATHWAY","UP",0.123,4.46,0.0019,0.00752
"(BioCarta) IL-7 Signal Transduction","BIOCARTA_IL7_PATHWAY","UP",0.101,4.45,0.00192,0.00756
"(Reactome) Repair synthesis for gap-filling by DNA polymerase in TC-NER","REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER","UP",0.155,4.45,0.00192,0.00756
"(Reactome) RAF/MAP kinase cascade","REACTOME_RAF_MAP_KINASE_CASCADE","DOWN",-0.133,-4.44,0.00194,0.0076
"(Reactome) Nuclear signaling by ERBB4","REACTOME_NUCLEAR_SIGNALING_BY_ERBB4","UP",0.132,4.43,0.00196,0.00761
"(BioCarta) Role of Mitochondria in Apoptotic Signaling","BIOCARTA_MITOCHONDRIA_PATHWAY","DOWN",-0.118,-4.43,0.00196,0.00761
"(KEGG) Proteasome","KEGG_PROTEASOME","DOWN",-0.124,-4.43,0.00196,0.00761
"(Reactome) Antiviral mechanism by IFN-stimulated genes","REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES","UP",0.0966,4.42,0.00199,0.0077
"(Reactome) Adherens junctions interactions","REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS","UP",0.233,4.41,0.00203,0.00781
"(PID) TCR signaling in na&#xef;ve CD4+ T cells","PID_TCR_PATHWAY","UP",0.135,4.41,0.00203,0.00781
"(Reactome) Processive synthesis on the lagging strand","REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND","UP",0.132,4.39,0.00207,0.00789
"(KEGG) Galactose metabolism","KEGG_GALACTOSE_METABOLISM","DOWN",-0.117,-4.39,0.00207,0.00789
"(Reactome) Bile acid and bile salt metabolism","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","UP",0.233,4.38,0.00209,0.00796
"(KEGG) Homologous recombination","KEGG_HOMOLOGOUS_RECOMBINATION","UP",0.144,4.36,0.00215,0.00814
"(PID) Osteopontin-mediated events","PID_AVB3_OPN_PATHWAY","UP",0.139,4.36,0.00216,0.00814
"(Reactome) Transport of inorganic cations/anions and amino acids/oligopeptides","REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES","DOWN",-0.125,-4.36,0.00217,0.00814
"(PID) CXCR3-mediated signaling events","PID_CXCR3_PATHWAY","DOWN",-0.101,-4.36,0.00217,0.00814
"(BioCarta) IL 2 signaling pathway","BIOCARTA_IL2_PATHWAY","UP",0.123,4.34,0.00222,0.0083
"(PID) Trk receptor signaling mediated by the MAPK pathway","PID_MAPK_TRK_PATHWAY","DOWN",-0.131,-4.3,0.00237,0.00879
"(KEGG) Sphingolipid metabolism","KEGG_SPHINGOLIPID_METABOLISM","DOWN",-0.148,-4.3,0.00237,0.00879
"(KEGG) Endocytosis","KEGG_ENDOCYTOSIS","DOWN",-0.0956,-4.29,0.00238,0.00882
"(KEGG) Glycerophospholipid metabolism","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM","UP",0.158,4.29,0.00239,0.00883
"(Reactome) Circadian Clock","REACTOME_CIRCADIAN_CLOCK","UP",0.105,4.28,0.00241,0.00886
"(Signaling Gateway) Genes related to CD40 signaling","SIG_CD40PATHWAYMAP","UP",0.123,4.28,0.00243,0.00891
"(Reactome) Circadian Repression of Expression by REV-ERBA","REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA","UP",0.103,4.27,0.00245,0.00894
"(Reactome) MicroRNA (miRNA) Biogenesis","REACTOME_MICRORNA_MIRNA_BIOGENESIS","UP",0.222,4.25,0.00251,0.00915
"(SigmaAldrich) PTEN is a tumor suppressor that dephosphorylates the lipid messenger phosphatidylinositol triphosphate.","SA_PTEN_PATHWAY","UP",0.113,4.23,0.0026,0.00943
"(Reactome) Destabilization of mRNA by AUF1 (hnRNP D0)","REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0","DOWN",-0.108,-4.22,0.00263,0.0095
"(Reactome) Diabetes pathways","REACTOME_DIABETES_PATHWAYS","UP",0.106,4.21,0.00266,0.00961
"(Reactome) Cleavage of Growing Transcript in the Termination Region ","REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_","UP",0.186,4.2,0.0027,0.00969
"(Reactome) Vif-mediated degradation of APOBEC3G","REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G","DOWN",-0.125,-4.2,0.0027,0.00969
"(KEGG) NOD-like receptor signaling pathway","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","UP",0.156,4.2,0.00271,0.00969
"(KEGG) Other glycan degradation","KEGG_OTHER_GLYCAN_DEGRADATION","NONE",-0.265,-4.14,0.00293,0.0104
"(KEGG) Toll-like receptor signaling pathway","KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","NONE",0.0996,4.14,0.00296,0.0105
"(Reactome) RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription","REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION","NONE",0.132,4.14,0.00296,0.0105
"(Reactome) Negative regulators of RIG-I/MDA5 signaling","REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING","NONE",0.171,4.12,0.00301,0.0106
"(Reactome) Regulation of IFNA signaling","REACTOME_REGULATION_OF_IFNA_SIGNALING","NONE",0.131,4.1,0.00314,0.011
"(Reactome) TRAF6 mediated induction of TAK1 complex","REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX","NONE",0.127,4.09,0.00315,0.011
"(Reactome) Energy dependent regulation of mTOR by LKB1-AMPK","REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK","NONE",0.161,4.09,0.00316,0.011
"(KEGG) Mismatch repair","KEGG_MISMATCH_REPAIR","NONE",0.128,4.09,0.00319,0.0111
"(PID) ErbB receptor signaling network","PID_ERBB_NETWORK_PATHWAY","NONE",-0.113,-4.08,0.00321,0.0111
"(Reactome) Transcription","REACTOME_TRANSCRIPTION","NONE",0.132,4.08,0.00321,0.0111
"(Reactome) ERKs are inactivated","REACTOME_ERKS_ARE_INACTIVATED","NONE",-0.117,-4.07,0.00325,0.0112
"(Reactome) Post-translational modification: synthesis of GPI-anchored proteins","REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS","NONE",0.0936,4.06,0.00331,0.0114
"(PID) Integrin-linked kinase signaling","PID_ILK_PATHWAY","NONE",-0.107,-4.05,0.00337,0.0115
"(PID) Fanconi anemia pathway","PID_FANCONI_PATHWAY","NONE",0.0942,4.04,0.00339,0.0115
"(KEGG) Vibrio cholerae infection","KEGG_VIBRIO_CHOLERAE_INFECTION","NONE",-0.103,-4.04,0.00339,0.0115
"(Reactome) A tetrasaccharide linker sequence is required for GAG synthesis","REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS","NONE",0.144,4.04,0.00339,0.0115
"(Reactome) Degradation of the extracellular matrix","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX","NONE",0.278,4.04,0.00342,0.0116
"(Reactome) Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase","REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE","NONE",0.158,4.03,0.00347,0.0117
"(KEGG) Dorso-ventral axis formation","KEGG_DORSO_VENTRAL_AXIS_FORMATION","NONE",0.17,4.02,0.00348,0.0117
"(KEGG) O-Glycan biosynthesis","KEGG_O_GLYCAN_BIOSYNTHESIS","NONE",-0.255,-4.02,0.00349,0.0117
"(BioCarta) Thrombin signaling and protease-activated receptors","BIOCARTA_PAR1_PATHWAY","NONE",0.111,4.02,0.00349,0.0117
"(PID) FAS (CD95) signaling pathway","PID_FAS_PATHWAY","NONE",-0.0884,-4.02,0.00351,0.0117
"(BioCarta) Induction of apoptosis through DR3 and DR4/5 Death Receptors","BIOCARTA_DEATH_PATHWAY","NONE",0.167,4.01,0.00354,0.0118
"(PID) Calcineurin-regulated NFAT-dependent transcription in lymphocytes","PID_NFAT_TFPATHWAY","NONE",-0.0935,-4.01,0.00356,0.0118
"(Reactome) Glutathione conjugation","REACTOME_GLUTATHIONE_CONJUGATION","NONE",-0.202,-4,0.00361,0.0119
"(Reactome) Recycling pathway of L1","REACTOME_RECYCLING_PATHWAY_OF_L1","NONE",-0.123,-4,0.00362,0.0119
"(KEGG) Chronic myeloid leukemia","KEGG_CHRONIC_MYELOID_LEUKEMIA","NONE",-0.124,-3.98,0.00371,0.0122
"(KEGG) Tight junction","KEGG_TIGHT_JUNCTION","NONE",0.098,3.98,0.00373,0.0122
"(BioCarta) Multi-step Regulation of Transcription by Pitx2","BIOCARTA_PITX2_PATHWAY","NONE",0.188,3.96,0.0038,0.0124
"(BioCarta) Regulation of BAD phosphorylation","BIOCARTA_BAD_PATHWAY","NONE",-0.129,-3.96,0.00382,0.0124
"(BioCarta) NF-kB Signaling Pathway","BIOCARTA_NFKB_PATHWAY","NONE",0.149,3.95,0.00385,0.0125
"(KEGG) Lysosome","KEGG_LYSOSOME","NONE",-0.109,-3.95,0.00389,0.0126
"(KEGG) Cell cycle","KEGG_CELL_CYCLE","NONE",-0.112,-3.93,0.00397,0.0128
"(STKE) PI3K Pathway","ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY","NONE",0.0962,3.93,0.00397,0.0128
"(Reactome) TRAF6 mediated IRF7 activation","REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION","NONE",0.132,3.93,0.00399,0.0128
"(Reactome) Cytokine Signaling in Immune system","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","NONE",0.0921,3.93,0.004,0.0128
"(KEGG) Glycosphingolipid biosynthesis - ganglio series","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES","NONE",-0.162,-3.93,0.00401,0.0128
"(Reactome) RNA Polymerase I Transcription","REACTOME_RNA_POL_I_TRANSCRIPTION","NONE",0.168,3.92,0.00404,0.0128
"(Reactome) Fanconi Anemia pathway","REACTOME_FANCONI_ANEMIA_PATHWAY","NONE",0.121,3.92,0.00404,0.0128
"(BioCarta) mTOR Signaling Pathway","BIOCARTA_MTOR_PATHWAY","NONE",0.146,3.92,0.00406,0.0129
"(KEGG) Butanoate metabolism","KEGG_BUTANOATE_METABOLISM","NONE",-0.127,-3.91,0.00413,0.013
"(Reactome) Unfolded Protein Response","REACTOME_UNFOLDED_PROTEIN_RESPONSE","NONE",0.112,3.89,0.00419,0.0132
"(BioCarta) Protein Kinase A at the Centrosome","BIOCARTA_AKAPCENTROSOME_PATHWAY","NONE",0.125,3.89,0.0042,0.0132
"(Reactome) alpha-linolenic acid (ALA) metabolism","REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM","NONE",0.172,3.89,0.00423,0.0133
"(Signaling Gateway) Genes related to the insulin receptor pathway","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","NONE",0.0888,3.89,0.00424,0.0133
"(PID) IL2 signaling events mediated by PI3K","PID_IL2_PI3K_PATHWAY","NONE",-0.129,-3.88,0.0043,0.0134
"(KEGG) RNA degradation","KEGG_RNA_DEGRADATION","NONE",0.113,3.88,0.00431,0.0134
"(Reactome) Class A/1 (Rhodopsin-like receptors)","REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS","NONE",-0.0965,-3.87,0.00437,0.0135
"(KEGG) Proximal tubule bicarbonate reclamation","KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION","NONE",-0.099,-3.86,0.00441,0.0136
"(Reactome) Post NMDA receptor activation events","REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS","NONE",0.0987,3.86,0.00442,0.0136
"(KEGG) Progesterone-mediated oocyte maturation","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION","NONE",0.0848,3.86,0.00443,0.0136
"(Reactome) PKB-mediated events","REACTOME_PKB_MEDIATED_EVENTS","NONE",0.146,3.85,0.00447,0.0137
"(BioCarta) AKT Signaling Pathway","BIOCARTA_AKT_PATHWAY","NONE",0.122,3.85,0.0045,0.0137
"(BioCarta) Regulation And Function Of ChREBP in Liver","BIOCARTA_CHREBP2_PATHWAY","NONE",-0.11,-3.84,0.00452,0.0138
