"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(PID) Osteopontin-mediated events","PID_AVB3_OPN_PATHWAY","UP",0.13,5.2,2.95e-07,2.03e-06
"(Reactome) Lagging Strand Synthesis","REACTOME_LAGGING_STRAND_SYNTHESIS","DOWN",-0.135,-5.18,3.3e-07,2.26e-06
"(KEGG) RNA degradation","KEGG_RNA_DEGRADATION","DOWN",-0.0901,-5.16,3.56e-07,2.41e-06
"(Reactome) Metabolism of vitamins and cofactors","REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS","DOWN",-0.106,-5.16,3.57e-07,2.41e-06
"(KEGG) Non-homologous end-joining","KEGG_NON_HOMOLOGOUS_END_JOINING","DOWN",-0.172,-5.16,3.61e-07,2.42e-06
"(PID) Beta1 integrin cell surface interactions","PID_INTEGRIN1_PATHWAY","UP",0.128,5.16,3.62e-07,2.42e-06
"(KEGG) Other glycan degradation","KEGG_OTHER_GLYCAN_DEGRADATION","DOWN",-0.147,-5.15,3.7e-07,2.46e-06
"(BioCarta) Inactivation of Gsk3 by AKT causes accumulation of b-catenin in Alveolar Macrophages","BIOCARTA_GSK3_PATHWAY","UP",0.154,5.14,4.06e-07,2.69e-06
"(KEGG) Adherens junction","KEGG_ADHERENS_JUNCTION","UP",0.075,5.13,4.22e-07,2.77e-06
"(KEGG) Nucleotide excision repair","KEGG_NUCLEOTIDE_EXCISION_REPAIR","DOWN",-0.127,-5.13,4.28e-07,2.8e-06
"(BioCarta) Acetylation and Deacetylation of RelA in The Nucleus","BIOCARTA_RELA_PATHWAY","UP",0.195,5.12,4.5e-07,2.93e-06
"(BioCarta) Signal transduction through IL1R","BIOCARTA_IL1R_PATHWAY","UP",0.136,5.11,4.58e-07,2.96e-06
"(KEGG) Pancreatic cancer","KEGG_PANCREATIC_CANCER","UP",0.0704,5.11,4.7e-07,3.03e-06
"(PID) Nectin adhesion pathway","PID_NECTIN_PATHWAY","UP",0.0973,5.1,4.79e-07,3.06e-06
"(Reactome) mRNA Processing","REACTOME_MRNA_PROCESSING","DOWN",-0.0867,-5.1,4.89e-07,3.11e-06
"(PID) Validated targets of C-MYC transcriptional repression","PID_MYC_REPRESS_PATHWAY","UP",0.162,5.08,5.27e-07,3.34e-06
"(Reactome) RNA Polymerase III Transcription Termination","REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION","DOWN",-0.133,-5.08,5.34e-07,3.36e-06
"(Reactome) Regulation of mitotic cell cycle","REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE","DOWN",-0.0886,-5.06,6.07e-07,3.79e-06
"(Reactome) Generic Transcription Pathway","REACTOME_GENERIC_TRANSCRIPTION_PATHWAY","DOWN",-0.099,-5.06,6.09e-07,3.79e-06
"(BioCarta) CARM1 and Regulation of the Estrogen Receptor","BIOCARTA_CARM_ER_PATHWAY","DOWN",-0.0851,-5.05,6.36e-07,3.94e-06
"(BioCarta) Erythropoietin mediated neuroprotection through NF-kB","BIOCARTA_EPONFKB_PATHWAY","UP",0.264,5.04,6.45e-07,3.98e-06
"(BioCarta) Protein Kinase A at the Centrosome","BIOCARTA_AKAPCENTROSOME_PATHWAY","DOWN",-0.121,-5.04,6.66e-07,4.09e-06
"(Reactome) Integrin cell surface interactions","REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS","UP",0.119,5.03,6.86e-07,4.19e-06
"(Reactome) Unblocking of NMDA receptor, glutamate binding and activation","REACTOME_UNBLOCKING_OF_NMDA_RECEPTOR_GLUTAMATE_BINDING_AND_ACTIVATION","DOWN",-0.282,-5.03,6.92e-07,4.2e-06
"(Reactome) Interactions of Vpr with host cellular proteins","REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS","DOWN",-0.12,-5.03,7e-07,4.23e-06
"(Reactome) Extension of Telomeres","REACTOME_EXTENSION_OF_TELOMERES","DOWN",-0.122,-5.01,7.49e-07,4.5e-06
"(KEGG) Leukocyte transendothelial migration","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","UP",0.0911,5,7.85e-07,4.69e-06
"(Reactome) Transport of Ribonucleoproteins into the Host Nucleus","REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS","DOWN",-0.137,-5,8.19e-07,4.87e-06
"(Reactome) TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION","UP",0.116,4.99,8.57e-07,5.08e-06
"(PID) SHP2 signaling","PID_SHP2_PATHWAY","UP",0.0827,4.99,8.62e-07,5.08e-06
"(Reactome) NEP/NS2 Interacts with the Cellular Export Machinery","REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY","DOWN",-0.125,-4.98,8.77e-07,5.14e-06
"(BioCarta) Toll-Like Receptor Pathway","BIOCARTA_TOLL_PATHWAY","UP",0.136,4.97,9.2e-07,5.37e-06
"(Reactome) APC-Cdc20 mediated degradation of Nek2A","REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A","DOWN",-0.121,-4.97,9.42e-07,5.47e-06
"(BioCarta) Trefoil Factors Initiate Mucosal Healing","BIOCARTA_TFF_PATHWAY","UP",0.0934,4.96,9.8e-07,5.66e-06
"(Reactome) Formation of incision complex in GG-NER","REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER","DOWN",-0.161,-4.94,1.08e-06,6.21e-06
"(PID) VEGFR3 signaling in lymphatic endothelium","PID_LYMPH_ANGIOGENESIS_PATHWAY","UP",0.0876,4.93,1.1e-06,6.32e-06
"(Reactome) Polymerase switching","REACTOME_POL_SWITCHING","DOWN",-0.119,-4.93,1.11e-06,6.32e-06
"(Reactome) activated TAK1 mediates p38 MAPK activation","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION","UP",0.0928,4.93,1.15e-06,6.5e-06
"(PID) Fanconi anemia pathway","PID_FANCONI_PATHWAY","DOWN",-0.103,-4.92,1.17e-06,6.62e-06
"(Reactome) Class I MHC mediated antigen processing & presentation","REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION","DOWN",-0.0459,-4.89,1.37e-06,7.71e-06
"(Reactome) Voltage gated Potassium channels","REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS","DOWN",-0.32,-4.89,1.4e-06,7.82e-06
"(Reactome) GABA synthesis, release, reuptake and degradation","REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION","DOWN",-0.258,-4.88,1.44e-06,8.01e-06
"(BioCarta) Telomeres, Telomerase, Cellular Aging, and Immortality","BIOCARTA_TEL_PATHWAY","UP",0.117,4.87,1.49e-06,8.24e-06
"(SigmaAldrich) The TrkA receptor binds nerve growth factor to activate MAP kinase pathways and promote cell growth.","SA_TRKA_RECEPTOR","UP",0.148,4.86,1.58e-06,8.69e-06
"(PID) E-cadherin signaling in keratinocytes","PID_ECADHERIN_KERATINOCYTE_PATHWAY","UP",0.109,4.86,1.6e-06,8.76e-06
"(KEGG) Vasopressin-regulated water reabsorption","KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION","DOWN",-0.0725,-4.84,1.72e-06,9.37e-06
"(Reactome) M/G1 Transition","REACTOME_M_G1_TRANSITION","DOWN",-0.103,-4.83,1.82e-06,9.89e-06
"(PID) IL4-mediated signaling events","PID_IL4_2PATHWAY","UP",0.149,4.83,1.86e-06,1e-05
"(Reactome) Response to elevated platelet cytosolic Ca2+","REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_","UP",0.132,4.82,1.92e-06,1.03e-05
"(Reactome) Metabolism of steroid hormones and vitamins A and D","REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D","DOWN",-0.15,-4.81,2.07e-06,1.11e-05
"(PID) Validated transcriptional targets of TAp63 isoforms","PID_TAP63_PATHWAY","UP",0.123,4.8,2.1e-06,1.12e-05
"(Reactome) Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon","REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON","UP",0.193,4.79,2.2e-06,1.17e-05
"(KEGG) Pathogenic Escherichia coli infection","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","UP",0.0823,4.78,2.35e-06,1.24e-05
"(PID) Ephrin B reverse signaling","PID_EPHRINB_REV_PATHWAY","UP",0.105,4.76,2.54e-06,1.34e-05
"(Reactome) Complement cascade","REACTOME_COMPLEMENT_CASCADE","UP",0.349,4.75,2.65e-06,1.39e-05
"(KEGG) O-Glycan biosynthesis","KEGG_O_GLYCAN_BIOSYNTHESIS","DOWN",-0.108,-4.75,2.67e-06,1.4e-05
"(PID) ALK1 signaling events","PID_ALK1_PATHWAY","UP",0.169,4.74,2.85e-06,1.48e-05
"(KEGG) beta-Alanine metabolism","KEGG_BETA_ALANINE_METABOLISM","DOWN",-0.134,-4.74,2.87e-06,1.48e-05
"(Reactome) Post-translational protein modification","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION","DOWN",-0.0727,-4.72,3.14e-06,1.62e-05
"(Reactome) Signaling by constitutively active EGFR","REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR","UP",0.108,4.72,3.16e-06,1.62e-05
"(PID) Reelin signaling pathway","PID_REELIN_PATHWAY","DOWN",-0.0951,-4.69,3.57e-06,1.82e-05
"(Reactome) Cyclin A/B1 associated events during G2/M transition","REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION","DOWN",-0.149,-4.69,3.59e-06,1.82e-05
"(KEGG) Arachidonic acid metabolism","KEGG_ARACHIDONIC_ACID_METABOLISM","DOWN",-0.0899,-4.69,3.62e-06,1.83e-05
"(PID) Posttranslational regulation of adherens junction stability and dissassembly","PID_AJDISS_2PATHWAY","UP",0.104,4.68,3.76e-06,1.9e-05
"(Reactome) Cell death signalling via NRAGE, NRIF and NADE","REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE","DOWN",-0.066,-4.68,3.78e-06,1.9e-05
"(KEGG) DNA replication","KEGG_DNA_REPLICATION","DOWN",-0.132,-4.68,3.81e-06,1.9e-05
"(Reactome) Neuronal System","REACTOME_NEURONAL_SYSTEM","DOWN",-0.19,-4.65,4.28e-06,2.13e-05
"(PID) Signaling events mediated by VEGFR1 and VEGFR2","PID_VEGFR1_2_PATHWAY","UP",0.054,4.65,4.35e-06,2.16e-05
"(BioCarta) Nerve growth factor pathway (NGF)","BIOCARTA_NGF_PATHWAY","UP",0.14,4.63,4.75e-06,2.34e-05
"(PID) Role of Calcineurin-dependent NFAT signaling in lymphocytes","PID_NFAT_3PATHWAY","DOWN",-0.0957,-4.62,5e-06,2.45e-05
"(PID) Arf6 downstream pathway","PID_ARF6_DOWNSTREAM_PATHWAY","DOWN",-0.0747,-4.61,5.14e-06,2.51e-05
"(Reactome) Assembly of the pre-replicative complex","REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX","DOWN",-0.0977,-4.6,5.49e-06,2.67e-05
"(Reactome) NCAM1 interactions","REACTOME_NCAM1_INTERACTIONS","DOWN",-0.121,-4.6,5.51e-06,2.67e-05
"(BioCarta) Hypoxia and p53 in the Cardiovascular system","BIOCARTA_P53HYPOXIA_PATHWAY","UP",0.175,4.59,5.56e-06,2.68e-05
"(BioCarta) T Cell Receptor Signaling Pathway","BIOCARTA_TCR_PATHWAY","UP",0.0812,4.59,5.74e-06,2.76e-05
"(BioCarta) Role of MEF2D in T-cell Apoptosis","BIOCARTA_MEF2D_PATHWAY","UP",0.0705,4.58,5.83e-06,2.8e-05
"(KEGG) Complement and coagulation cascades","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES","UP",0.222,4.58,5.86e-06,2.8e-05
"(Reactome) Sema4D induced cell migration and growth-cone collapse","REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE","UP",0.0996,4.58,5.97e-06,2.84e-05
"(KEGG) Prion diseases","KEGG_PRION_DISEASES","UP",0.177,4.58,5.99e-06,2.84e-05
"(Reactome) Sema4D in semaphorin signaling","REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING","UP",0.0917,4.58,6.04e-06,2.85e-05
"(Reactome) Fanconi Anemia pathway","REACTOME_FANCONI_ANEMIA_PATHWAY","DOWN",-0.0986,-4.57,6.08e-06,2.86e-05
"(BioCarta) Classical Complement Pathway","BIOCARTA_CLASSIC_PATHWAY","UP",0.545,4.57,6.23e-06,2.91e-05
"(PID) FoxO family signaling","PID_FOXO_PATHWAY","UP",0.0866,4.56,6.56e-06,3.06e-05
"(Reactome) Destabilization of mRNA by Butyrate Response Factor 1 (BRF1)","REACTOME_DESTABILIZATION_OF_MRNA_BY_BRF1","DOWN",-0.0931,-4.56,6.62e-06,3.07e-05
"(PID) S1P2 pathway","PID_S1P_S1P2_PATHWAY","UP",0.0874,4.56,6.63e-06,3.07e-05
"(Reactome) GRB2:SOS provides linkage to MAPK signaling for Intergrins ","REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_","UP",0.192,4.55,6.77e-06,3.11e-05
"(Reactome) Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell","REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL","DOWN",-0.182,-4.55,6.79e-06,3.11e-05
"(PID) HIF-1-alpha transcription factor network","PID_HIF1_TFPATHWAY","UP",0.159,4.54,7.06e-06,3.23e-05
"(Reactome) Host Interactions of HIV factors","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS","DOWN",-0.0653,-4.54,7.14e-06,3.25e-05
"(Reactome) Processive synthesis on the lagging strand","REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND","DOWN",-0.119,-4.54,7.17e-06,3.25e-05
"(BioCarta) CXCR4 Signaling Pathway","BIOCARTA_CXCR4_PATHWAY","UP",0.097,4.54,7.18e-06,3.25e-05
"(Reactome) Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase","REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE","DOWN",-0.114,-4.53,7.52e-06,3.39e-05
"(PID) amb2 Integrin signaling","PID_AMB2_NEUTROPHILS_PATHWAY","UP",0.12,4.5,8.52e-06,3.82e-05
"(Reactome) Smooth Muscle Contraction","REACTOME_SMOOTH_MUSCLE_CONTRACTION","UP",0.191,4.49,8.81e-06,3.93e-05
"(Reactome) NFkB and MAP kinases activation mediated by TLR4 signaling repertoire","REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE","UP",0.0714,4.48,9.46e-06,4.21e-05
"(PID) ATM pathway","PID_ATM_PATHWAY","DOWN",-0.0834,-4.46,1.03e-05,4.57e-05
"(BioCarta) Regulation of transcriptional activity by PML","BIOCARTA_PML_PATHWAY","UP",0.151,4.45,1.05e-05,4.65e-05
"(Reactome) Transmission across Chemical Synapses","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","DOWN",-0.179,-4.44,1.13e-05,4.94e-05
"(Reactome) Ion channel transport","REACTOME_ION_CHANNEL_TRANSPORT","DOWN",-0.181,-4.44,1.13e-05,4.94e-05
"(BioCarta) Selective expression of chemokine receptors during T-cell polarization","BIOCARTA_NKT_PATHWAY","UP",0.223,4.43,1.14e-05,4.98e-05
"(BioCarta) Pertussis toxin-insensitive CCR5 Signaling in Macrophage","BIOCARTA_CCR5_PATHWAY","UP",0.175,4.4,1.32e-05,5.75e-05
"(Reactome) Orc1 removal from chromatin","REACTOME_ORC1_REMOVAL_FROM_CHROMATIN","DOWN",-0.0765,-4.4,1.36e-05,5.9e-05
"(BioCarta) Ras Signaling Pathway","BIOCARTA_RAS_PATHWAY","UP",0.109,4.39,1.37e-05,5.93e-05
"(KEGG) Glycerolipid metabolism","KEGG_GLYCEROLIPID_METABOLISM","DOWN",-0.0913,-4.39,1.4e-05,6.04e-05
"(Reactome) Steroid hormones","REACTOME_STEROID_HORMONES","DOWN",-0.157,-4.38,1.45e-05,6.23e-05
"(BioCarta) Trka Receptor Signaling Pathway","BIOCARTA_TRKA_PATHWAY","UP",0.118,4.38,1.48e-05,6.32e-05
"(BioCarta) Complement Pathway","BIOCARTA_COMP_PATHWAY","UP",0.392,4.37,1.55e-05,6.6e-05
"(Reactome) Tight junction interactions","REACTOME_TIGHT_JUNCTION_INTERACTIONS","UP",0.112,4.36,1.57e-05,6.64e-05
"(BioCarta) How Progesterone Initiates Oocyte Membrane","BIOCARTA_MPR_PATHWAY","DOWN",-0.0578,-4.36,1.59e-05,6.74e-05
"(BioCarta) mTOR Signaling Pathway","BIOCARTA_MTOR_PATHWAY","DOWN",-0.0718,-4.36,1.6e-05,6.76e-05
"(BioCarta) B Cell Survival Pathway","BIOCARTA_BCELLSURVIVAL_PATHWAY","UP",0.161,4.36,1.62e-05,6.78e-05
"(PID) Canonical NF-kappaB pathway","PID_NFKAPPAB_CANONICAL_PATHWAY","UP",0.148,4.34,1.72e-05,7.18e-05
"(KEGG) Cardiac muscle contraction","KEGG_CARDIAC_MUSCLE_CONTRACTION","DOWN",-0.116,-4.34,1.72e-05,7.18e-05
"(Reactome) Heparan sulfate/heparin (HS-GAG) metabolism","REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM","UP",0.0971,4.34,1.76e-05,7.31e-05
"(KEGG) Chronic myeloid leukemia","KEGG_CHRONIC_MYELOID_LEUKEMIA","UP",0.081,4.33,1.8e-05,7.44e-05
"(PID) Beta3 integrin cell surface interactions","PID_INTEGRIN3_PATHWAY","UP",0.112,4.33,1.85e-05,7.63e-05
"(BioCarta) Sprouty regulation of tyrosine kinase signals","BIOCARTA_SPRY_PATHWAY","UP",0.117,4.32,1.87e-05,7.67e-05
"(Reactome) cGMP effects","REACTOME_CGMP_EFFECTS","DOWN",-0.111,-4.31,1.97e-05,8.06e-05
"(KEGG) Regulation of autophagy","KEGG_REGULATION_OF_AUTOPHAGY","DOWN",-0.0926,-4.31,1.99e-05,8.11e-05
"(Reactome) Signaling by BMP","REACTOME_SIGNALING_BY_BMP","UP",0.106,4.31,1.99e-05,8.11e-05
"(BioCarta) Role of ERBB2 in Signal Transduction and Oncology","BIOCARTA_HER2_PATHWAY","UP",0.0904,4.31,2.02e-05,8.18e-05
"(Reactome) Pre-NOTCH Processing in Golgi","REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI","UP",0.126,4.3,2.04e-05,8.24e-05
"(Reactome) GPCR downstream signaling","REACTOME_GPCR_DOWNSTREAM_SIGNALING","DOWN",-0.0864,-4.29,2.15e-05,8.65e-05
"(KEGG) Colorectal cancer","KEGG_COLORECTAL_CANCER","UP",0.0526,4.29,2.19e-05,8.77e-05
"(KEGG) Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS","DOWN",-0.143,-4.28,2.22e-05,8.86e-05
"(BioCarta) Cytokines and Inflammatory Response","BIOCARTA_INFLAM_PATHWAY","UP",0.303,4.27,2.32e-05,9.23e-05
"(KEGG) Base excision repair","KEGG_BASE_EXCISION_REPAIR","DOWN",-0.102,-4.27,2.34e-05,9.31e-05
"(Reactome) Nitric oxide stimulates guanylate cyclase","REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE","DOWN",-0.112,-4.27,2.38e-05,9.41e-05
"(Reactome) Synthesis of PA","REACTOME_SYNTHESIS_OF_PA","DOWN",-0.0871,-4.26,2.48e-05,9.79e-05
"(BioCarta) EPO Signaling Pathway","BIOCARTA_EPO_PATHWAY","UP",0.112,4.26,2.5e-05,9.82e-05
"(Reactome) O-linked glycosylation of mucins","REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS","DOWN",-0.0837,-4.25,2.54e-05,9.98e-05
"(PID) Validated transcriptional targets of deltaNp63 isoforms","PID_DELTA_NP63_PATHWAY","UP",0.0996,4.25,2.56e-05,1e-04
"(Reactome) G alpha (s) signalling events","REACTOME_G_ALPHA_S_SIGNALLING_EVENTS","DOWN",-0.0859,-4.25,2.59e-05,0.000101
"(KEGG) Prostate cancer","KEGG_PROSTATE_CANCER","UP",0.0591,4.23,2.76e-05,0.000107
"(Reactome) Caspase-mediated cleavage of cytoskeletal proteins","REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS","UP",0.135,4.23,2.78e-05,0.000107
"(Reactome) Ion transport by P-type ATPases","REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES","DOWN",-0.0928,-4.22,2.9e-05,0.000112
"(Reactome) Cleavage of Growing Transcript in the Termination Region ","REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_","DOWN",-0.0719,-4.21,3.02e-05,0.000116
"(Reactome) Mitotic Prometaphase","REACTOME_MITOTIC_PROMETAPHASE","DOWN",-0.065,-4.21,3.04e-05,0.000116
"(PID) Signaling events mediated by HDAC Class II","PID_HDAC_CLASSII_PATHWAY","DOWN",-0.0507,-4.21,3.07e-05,0.000117
"(KEGG) Apoptosis","KEGG_APOPTOSIS","UP",0.0667,4.2,3.17e-05,0.000121
"(PID) Trk receptor signaling mediated by PI3K and PLC-gamma","PID_PI3K_PLC_TRK_PATHWAY","DOWN",-0.0684,-4.19,3.37e-05,0.000128
"(BioCarta) Rac 1 cell motility signaling pathway","BIOCARTA_RAC1_PATHWAY","DOWN",-0.0916,-4.19,3.37e-05,0.000128
"(Reactome) G alpha (q) signalling events","REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS","DOWN",-0.114,-4.18,3.43e-05,0.000129
"(Reactome) Phospholipid metabolism","REACTOME_PHOSPHOLIPID_METABOLISM","DOWN",-0.053,-4.18,3.45e-05,0.00013
"(KEGG) Nitrogen metabolism","KEGG_NITROGEN_METABOLISM","DOWN",-0.117,-4.18,3.49e-05,0.000131
"(BioCarta) Regulation And Function Of ChREBP in Liver","BIOCARTA_CHREBP2_PATHWAY","DOWN",-0.0657,-4.17,3.56e-05,0.000133
"(BioCarta) Chaperones modulate interferon Signaling Pathway","BIOCARTA_TID_PATHWAY","UP",0.208,4.17,3.57e-05,0.000133
"(Reactome) G0 and Early G1","REACTOME_G0_AND_EARLY_G1","DOWN",-0.0868,-4.16,3.72e-05,0.000138
"(Reactome) Class C/3 (Metabotropic glutamate/pheromone receptors)","REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS","DOWN",-0.177,-4.15,3.85e-05,0.000143
"(Reactome) Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN","DOWN",-0.094,-4.14,4.08e-05,0.00015
"(Reactome) Trafficking of AMPA receptors","REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS","DOWN",-0.188,-4.14,4.1e-05,0.000151
"(PID) p53 pathway","PID_P53_REGULATION_PATHWAY","DOWN",-0.06,-4.14,4.11e-05,0.000151
"(PID) Arf1 pathway","PID_ARF_3PATHWAY","DOWN",-0.0602,-4.13,4.24e-05,0.000155
"(BioCarta) EGF Signaling Pathway","BIOCARTA_EGF_PATHWAY","UP",0.0888,4.13,4.35e-05,0.000159
"(Reactome) Signaling by GPCR","REACTOME_SIGNALING_BY_GPCR","DOWN",-0.0743,-4.09,5.1e-05,0.000185
"(KEGG) Progesterone-mediated oocyte maturation","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION","DOWN",-0.0686,-4.08,5.16e-05,0.000187
"(KEGG) Axon guidance","KEGG_AXON_GUIDANCE","DOWN",-0.073,-4.08,5.29e-05,0.000191
"(KEGG) Neuroactive ligand-receptor interaction","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","DOWN",-0.146,-4.07,5.48e-05,0.000197
"(Reactome) Keratan sulfate/keratin metabolism","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","UP",0.115,4.07,5.57e-05,0.000199
"(Reactome) APC/C:Cdc20 mediated degradation of mitotic proteins","REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS","DOWN",-0.0834,-4.07,5.58e-05,0.000199
"(Reactome) APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1","DOWN",-0.081,-4.05,5.91e-05,0.000211
"(Reactome) RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription","REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION","DOWN",-0.0918,-4.05,5.96e-05,0.000211
"(KEGG) Oocyte meiosis","KEGG_OOCYTE_MEIOSIS","DOWN",-0.0451,-4.05,5.96e-05,0.000211
"(Reactome) Signalling to ERKs","REACTOME_SIGNALLING_TO_ERKS","UP",0.0585,4.04,6.16e-05,0.000218
"(BioCarta) Ceramide Signaling Pathway","BIOCARTA_CERAMIDE_PATHWAY","UP",0.0763,4.04,6.21e-05,0.000219
"(Reactome) p130Cas linkage to MAPK signaling for integrins","REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS","UP",0.169,4.04,6.23e-05,0.000219
"(Reactome) p75NTR signals via NF-kB","REACTOME_P75NTR_SIGNALS_VIA_NFKB","UP",0.159,4.02,6.74e-05,0.000236
"(BioCarta) Mechanism of Gene Regulation by Peroxisome Proliferators via PPARa(alpha)","BIOCARTA_PPARA_PATHWAY","UP",0.0789,4,7.22e-05,0.000252
"(PID) TCR signaling in na&#xef;ve CD8+ T cells","PID_CD8_TCR_PATHWAY","DOWN",-0.0621,-4,7.23e-05,0.000252
"(PID) IL6-mediated signaling events","PID_IL6_7_PATHWAY","UP",0.163,4,7.33e-05,0.000254
"(Reactome) Synthesis of glycosylphosphatidylinositol (GPI)","REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","DOWN",-0.112,-4,7.46e-05,0.000258
"(Reactome) Activation of Kainate Receptors upon glutamate binding","REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING","DOWN",-0.139,-4,7.46e-05,0.000258
"(Reactome) Double-Strand Break Repair","REACTOME_DOUBLE_STRAND_BREAK_REPAIR","DOWN",-0.0957,-3.99,7.5e-05,0.000258
"(PID) Aurora A signaling","PID_AURORA_A_PATHWAY","DOWN",-0.0586,-3.99,7.63e-05,0.000262
"(Reactome) Adherens junctions interactions","REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS","DOWN",-0.0888,-3.99,7.67e-05,0.000262
"(PID) p38 signaling mediated by MAPKAP kinases","PID_P38_MK2_PATHWAY","UP",0.0633,3.98,8.03e-05,0.000274
