"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) Mitotic Prometaphase","REACTOME_MITOTIC_PROMETAPHASE","DOWN",-1.58,-4.93,0.000499,0.00149
"(PID) FGF signaling pathway","PID_FGF_PATHWAY","UP",1.25,4.93,0.000502,0.0015
"(PID) RAC1 signaling pathway","PID_RAC1_PATHWAY","UP",1.55,4.91,0.000513,0.00152
"(BioCarta) Regulation of ck1/cdk5 by type 1 glutamate receptors","BIOCARTA_CK1_PATHWAY","DOWN",-1.31,-4.89,0.000529,0.00156
"(Reactome) RNA Polymerase II Pre-transcription Events","REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS","DOWN",-1.96,-4.89,0.000535,0.00157
"(KEGG) Neurotrophin signaling pathway","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","UP",1.05,4.86,0.000559,0.00163
"(Reactome) Signaling by ERBB4","REACTOME_SIGNALING_BY_ERBB4","UP",1.24,4.84,0.000575,0.00167
"(Reactome) GAB1 signalosome","REACTOME_GAB1_SIGNALOSOME","UP",1.44,4.81,0.000605,0.00175
"(Reactome) Endosomal Sorting Complex Required For Transport (ESCRT)","REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT","DOWN",-1.45,-4.8,0.000611,0.00175
"(KEGG) Leukocyte transendothelial migration","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","UP",1.73,4.8,0.000616,0.00176
"(KEGG) Adherens junction","KEGG_ADHERENS_JUNCTION","UP",1.46,4.74,0.000676,0.00192
"(KEGG) Antigen processing and presentation","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","DOWN",-2.42,-4.69,0.000729,0.00206
"(BioCarta) p38 MAPK Signaling Pathway","BIOCARTA_P38MAPK_PATHWAY","UP",1.65,4.68,0.000738,0.00207
"(Reactome) Metabolism of RNA","REACTOME_METABOLISM_OF_RNA","DOWN",-1.37,-4.64,0.000793,0.00222
"(Reactome) p53-Independent G1/S DNA damage checkpoint","REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT","DOWN",-1.09,-4.6,0.000833,0.00226
"(Reactome) CDK-mediated phosphorylation and removal of Cdc6","REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6","DOWN",-1.09,-4.6,0.000833,0.00226
"(Reactome) p53-Dependent G1 DNA Damage Response","REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE","DOWN",-1.09,-4.6,0.000833,0.00226
"(Reactome) CDT1 association with the CDC6:ORC:origin complex","REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX","DOWN",-1.09,-4.6,0.000833,0.00226
"(Reactome) Autodegradation of the E3 ubiquitin ligase COP1","REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1","DOWN",-1.09,-4.6,0.000833,0.00226
"(Reactome) Vif-mediated degradation of APOBEC3G","REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G","DOWN",-1.09,-4.6,0.000833,0.00226
"(PID) Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)","PID_MET_PATHWAY","UP",1.46,4.6,0.00084,0.00227
"(PID) Fc-epsilon receptor I signaling in mast cells","PID_FCER1_PATHWAY","UP",0.971,4.59,0.000858,0.00231
"(BioCarta) Attenuation of GPCR Signaling","BIOCARTA_AGPCR_PATHWAY","DOWN",-1.13,-4.58,0.000865,0.00232
"(PID) EPO signaling pathway","PID_EPO_PATHWAY","UP",1.17,4.56,0.000889,0.00237
"(Reactome) PIP3 activates AKT signaling","REACTOME_PIP3_ACTIVATES_AKT_SIGNALING","UP",1.57,4.51,0.000962,0.00255
"(Reactome) Nucleotide Excision Repair","REACTOME_NUCLEOTIDE_EXCISION_REPAIR","DOWN",-1.35,-4.5,0.000984,0.0026
"(BioCarta) Rho cell motility signaling pathway","BIOCARTA_RHO_PATHWAY","UP",1.47,4.5,0.00099,0.0026
"(Reactome) Interferon gamma signaling","REACTOME_INTERFERON_GAMMA_SIGNALING","DOWN",-1.6,-4.48,0.00101,0.00264
"(KEGG) Ubiquitin mediated proteolysis","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS","UP",1.19,4.47,0.00103,0.00267
"(PID) Lissencephaly gene (LIS1) in neuronal migration and development","PID_LIS1_PATHWAY","UP",2.63,4.47,0.00103,0.00267
"(PID) Reelin signaling pathway","PID_REELIN_PATHWAY","UP",1.58,4.47,0.00104,0.00268
"(Reactome) Integrin cell surface interactions","REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS","DOWN",-1.84,-4.45,0.00106,0.00272
"(PID) Posttranslational regulation of adherens junction stability and dissassembly","PID_AJDISS_2PATHWAY","UP",2.64,4.45,0.00107,0.00274
"(Reactome) Formation of the HIV-1 Early Elongation Complex","REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX","DOWN",-2.18,-4.44,0.00109,0.00275
"(STKE) PI3K Pathway","ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY","UP",1.48,4.44,0.00109,0.00275
"(KEGG) TGF-beta signaling pathway","KEGG_TGF_BETA_SIGNALING_PATHWAY","UP",2.75,4.43,0.0011,0.00275
"(PID) N-cadherin signaling events","PID_NCADHERIN_PATHWAY","UP",1.91,4.43,0.0011,0.00275
"(Reactome) Cyclin E associated events during G1/S transition ","REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_","DOWN",-1.27,-4.43,0.00111,0.00276
"(PID) Degradation of beta catenin","PID_BETA_CATENIN_DEG_PATHWAY","UP",2.23,4.43,0.00111,0.00276
"(Reactome) Signaling by EGFR in Cancer","REACTOME_SIGNALING_BY_EGFR_IN_CANCER","UP",1.06,4.42,0.00111,0.00276
"(BioCarta) Mechanism of Gene Regulation by Peroxisome Proliferators via PPARa(alpha)","BIOCARTA_PPARA_PATHWAY","DOWN",-1.11,-4.41,0.00114,0.00281
"(PID) Integrin-linked kinase signaling","PID_ILK_PATHWAY","UP",1.26,4.4,0.00116,0.00286
"(BioCarta) Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling","BIOCARTA_AT1R_PATHWAY","UP",1.45,4.34,0.00127,0.0031
"(PID) ErbB1 downstream signaling","PID_ERBB1_DOWNSTREAM_PATHWAY","UP",1.16,4.34,0.00127,0.0031
"(Reactome) Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S","DOWN",-2.38,-4.28,0.0014,0.00338
"(PID) EGF receptor (ErbB1) signaling pathway","PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY","UP",1.69,4.28,0.0014,0.00338
"(Reactome) Signaling by Robo receptor","REACTOME_SIGNALING_BY_ROBO_RECEPTOR","UP",1.44,4.25,0.00148,0.00355
"(Reactome) Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER","DOWN",-1.81,-4.23,0.00152,0.00364
"(PID) Regulation of Androgen receptor activity","PID_AR_TF_PATHWAY","DOWN",-1.18,-4.22,0.00156,0.0037
"(KEGG) MAPK signaling pathway","KEGG_MAPK_SIGNALING_PATHWAY","UP",0.915,4.22,0.00156,0.0037
"(Reactome) Signaling by Interleukins","REACTOME_SIGNALING_BY_ILS","UP",1.06,4.16,0.00172,0.00405
"(KEGG) Leishmania infection","KEGG_LEISHMANIA_INFECTION","UP",2.15,4.15,0.00173,0.00406
"(KEGG) p53 signaling pathway","KEGG_P53_SIGNALING_PATHWAY","UP",1.13,4.12,0.00184,0.00431
"(BioCarta) Regulation of eIF4e and p70 S6 Kinase","BIOCARTA_EIF4_PATHWAY","DOWN",-1.12,-4.11,0.00185,0.00431
"(KEGG) Parkinson's disease","KEGG_PARKINSONS_DISEASE","DOWN",-1.24,-4.09,0.00192,0.00445
"(Reactome) Opioid Signalling","REACTOME_OPIOID_SIGNALLING","DOWN",-1.01,-4.09,0.00194,0.00447
"(SuperArray) Genes related to Wnt-mediated signal transduction","WNT_SIGNALING","DOWN",-1.26,-4.04,0.00208,0.00478
"(PID) CXCR4-mediated signaling events","PID_CXCR4_PATHWAY","UP",0.987,4.04,0.00209,0.0048
"(BioCarta) CCR3 signaling in Eosinophils","BIOCARTA_CCR3_PATHWAY","UP",1.63,4.03,0.00212,0.00483
"(PID) Ceramide signaling pathway","PID_CERAMIDE_PATHWAY","UP",2.03,4.02,0.00215,0.00489
"(KEGG) Epithelial cell signaling in Helicobacter pylori infection","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION","UP",1.74,3.99,0.00228,0.00515
"(BioCarta) Protein Kinase A at the Centrosome","BIOCARTA_AKAPCENTROSOME_PATHWAY","DOWN",-1.29,-3.99,0.00229,0.00515
"(KEGG) Inositol phosphate metabolism","KEGG_INOSITOL_PHOSPHATE_METABOLISM","UP",1.33,3.99,0.00229,0.00515
"(BioCarta) Signaling Pathway from G-Protein Families","BIOCARTA_GPCR_PATHWAY","DOWN",-1.05,-3.94,0.00247,0.00552
"(Reactome) Cell Cycle, Mitotic","REACTOME_CELL_CYCLE_MITOTIC","DOWN",-0.906,-3.9,0.00266,0.0059
"(KEGG) Renal cell carcinoma","KEGG_RENAL_CELL_CARCINOMA","UP",1.08,3.9,0.00266,0.0059
"(Reactome) Loss of Nlp from mitotic centrosomes","REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES","UP",1.13,3.88,0.00273,0.00603
"(Reactome) Regulation of mRNA Stability by Proteins that Bind AU-rich Elements","REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS","UP",1.11,3.87,0.0028,0.00616
"(STKE) p38 MAPK Pathway","ST_P38_MAPK_PATHWAY","UP",0.971,3.85,0.00285,0.00626
"(PID) Internalization of ErbB1","PID_ERBB1_INTERNALIZATION_PATHWAY","UP",0.984,3.84,0.00291,0.00633
"(PID) Validated nuclear estrogen receptor alpha network","PID_ERA_GENOMIC_PATHWAY","DOWN",-1.23,-3.84,0.00291,0.00633
"(BioCarta) Thrombin signaling and protease-activated receptors","BIOCARTA_PAR1_PATHWAY","UP",1.24,3.84,0.00294,0.00637
"(Reactome) PI3K/AKT activation","REACTOME_PI3K_AKT_ACTIVATION","UP",1.33,3.79,0.00316,0.00683
"(Reactome) mTORC1-mediated signalling","REACTOME_MTORC1_MEDIATED_SIGNALLING","UP",2.26,3.77,0.00328,0.00706
"(PID) Regulation of RhoA activity","PID_RHOA_REG_PATHWAY","UP",1.51,3.71,0.00365,0.0078
"(Reactome) EGFR downregulation","REACTOME_EGFR_DOWNREGULATION","UP",1.49,3.71,0.00365,0.0078
"(PID) Arf6 signaling events","PID_ARF6_PATHWAY","UP",1.4,3.7,0.00374,0.00795
"(PID) Regulation of Telomerase","PID_TELOMERASE_PATHWAY","DOWN",-1.24,-3.69,0.00377,0.00799
"(PID) Validated targets of C-MYC transcriptional repression","PID_MYC_REPRESS_PATHWAY","DOWN",-0.98,-3.68,0.00385,0.00813
"(PID) Signaling events mediated by focal adhesion kinase","PID_FAK_PATHWAY","UP",0.885,3.67,0.00394,0.00826
"(PID) Syndecan-3-mediated signaling events","PID_SYNDECAN_3_PATHWAY","UP",1.71,3.66,0.00394,0.00826
"(Reactome) Regulation of signaling by CBL","REACTOME_REGULATION_OF_SIGNALING_BY_CBL","UP",1.17,3.66,0.00398,0.00828
"(PID) Signaling events mediated by TCPTP","PID_TCPTP_PATHWAY","UP",1.23,3.66,0.00399,0.00828
"(Reactome) Negative regulators of RIG-I/MDA5 signaling","REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING","DOWN",-1.52,-3.66,0.004,0.00828
"(STKE) G alpha i Pathway","ST_G_ALPHA_I_PATHWAY","UP",1.08,3.63,0.0042,0.00866
"(PID) SHP2 signaling","PID_SHP2_PATHWAY","UP",0.961,3.61,0.00433,0.0089
"(Reactome) NCAM signaling for neurite out-growth","REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH","UP",1.17,3.55,0.0048,0.00982
"(PID) p73 transcription factor network","PID_P73PATHWAY","UP",1.89,3.54,0.00489,0.00997
"(PID) JNK signaling in the CD4+ TCR pathway","PID_TCR_JNK_PATHWAY","NONE",1.93,3.52,0.00504,0.0102
"(Reactome) Deadenylation-dependent mRNA decay","REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY","NONE",1.86,3.5,0.00524,0.0106
"(PID) Regulation of nuclear beta catenin signaling and target gene transcription","PID_BETA_CATENIN_NUC_PATHWAY","NONE",1.23,3.46,0.00564,0.0114
"(Reactome) TCR signaling","REACTOME_TCR_SIGNALING","NONE",1.48,3.44,0.00584,0.0117
"(PID) Alpha4 beta1 integrin signaling events","PID_INTEGRIN_A4B1_PATHWAY","NONE",1.6,3.43,0.00591,0.0119
"(Reactome) Nephrin interactions","REACTOME_NEPHRIN_INTERACTIONS","NONE",2.29,3.41,0.0061,0.0122
"(Reactome) Energy dependent regulation of mTOR by LKB1-AMPK","REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK","NONE",2.15,3.39,0.0063,0.0125
"(Reactome) Nuclear signaling by ERBB4","REACTOME_NUCLEAR_SIGNALING_BY_ERBB4","NONE",1.3,3.39,0.00635,0.0125
"(Reactome) Downstream TCR signaling","REACTOME_DOWNSTREAM_TCR_SIGNALING","NONE",2.38,3.39,0.00637,0.0125
"(Reactome) Formation of RNA Pol II elongation complex ","REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_","NONE",-1.49,-3.39,0.00638,0.0125
"(Reactome) Signaling by constitutively active EGFR","REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR","NONE",1.21,3.37,0.00655,0.0129
"(Reactome) Semaphorin interactions","REACTOME_SEMAPHORIN_INTERACTIONS","NONE",1.46,3.36,0.0067,0.0131
"(PID) Syndecan-4-mediated signaling events","PID_SYNDECAN_4_PATHWAY","NONE",1.77,3.34,0.00691,0.0134
"(KEGG) Wnt signaling pathway","KEGG_WNT_SIGNALING_PATHWAY","NONE",1.01,3.34,0.00693,0.0134
"(PID) Neurotrophic factor-mediated Trk receptor signaling","PID_TRKR_PATHWAY","NONE",1.15,3.31,0.00727,0.014
"(Reactome) GRB2 events in ERBB2 signaling","REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING","NONE",1.22,3.31,0.00728,0.014
"(Reactome) Interleukin-3, 5 and GM-CSF signaling","REACTOME_IL_3_5_AND_GM_CSF_SIGNALING","NONE",0.917,3.26,0.00797,0.0153
"(Reactome) Sema4D in semaphorin signaling","REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING","NONE",1.21,3.23,0.0083,0.0159
"(Reactome) Metabolism of mRNA","REACTOME_METABOLISM_OF_MRNA","NONE",-1.06,-3.23,0.00845,0.0161
"(Reactome) Cytokine Signaling in Immune system","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","NONE",-0.696,-3.22,0.00852,0.0162
"(KEGG) Toll-like receptor signaling pathway","KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","NONE",1.24,3.19,0.00898,0.017
"(BioCarta) Regulation And Function Of ChREBP in Liver","BIOCARTA_CHREBP2_PATHWAY","NONE",0.742,3.15,0.00964,0.0182
"(Reactome) Transmission across Chemical Synapses","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","NONE",-0.854,-3.13,0.0099,0.0186
"(BioCarta) Repression of Pain Sensation by the Transcriptional Regulator DREAM","BIOCARTA_DREAM_PATHWAY","NONE",-1.01,-3.12,0.0101,0.0189
"(Reactome) Downstream signaling of activated FGFR","REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR","NONE",0.748,3.12,0.0102,0.019
"(KEGG) Phosphatidylinositol signaling system","KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM","NONE",1.04,3.11,0.0103,0.0191
"(Reactome) G alpha (s) signalling events","REACTOME_G_ALPHA_S_SIGNALLING_EVENTS","NONE",-1.02,-3.1,0.0105,0.0194
"(BioCarta) IL-2 Receptor Beta Chain in T cell Activation","BIOCARTA_IL2RB_PATHWAY","NONE",1.03,3.1,0.0105,0.0194
"(PID) PAR1-mediated thrombin signaling events","PID_THROMBIN_PAR1_PATHWAY","NONE",1.16,3.09,0.0107,0.0198
"(KEGG) mTOR signaling pathway","KEGG_MTOR_SIGNALING_PATHWAY","NONE",0.951,3.09,0.0108,0.0198
"(Reactome) Recruitment of mitotic centrosome proteins and complexes","REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES","NONE",0.833,3.07,0.0111,0.0203
"(BioCarta) Nitric Oxide Signaling Pathway","BIOCARTA_NOS1_PATHWAY","NONE",-0.746,-3.06,0.0114,0.0208
"(Reactome) Signaling by FGFR in disease","REACTOME_SIGNALING_BY_FGFR_IN_DISEASE","NONE",0.741,3.05,0.0114,0.0208
"(Reactome) Class I MHC mediated antigen processing & presentation","REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION","NONE",-0.877,-3.04,0.0116,0.0211
"(Reactome) Ca-dependent events","REACTOME_CA_DEPENDENT_EVENTS","NONE",-0.721,-3.02,0.012,0.0217
"(Reactome) Interleukin-2 signaling","REACTOME_IL_2_SIGNALING","NONE",0.975,3.02,0.0121,0.0217
"(Reactome) Signaling by FGFR","REACTOME_SIGNALING_BY_FGFR","NONE",0.726,3,0.0124,0.0224
"(KEGG) Insulin signaling pathway","KEGG_INSULIN_SIGNALING_PATHWAY","NONE",0.737,3,0.0125,0.0224
"(Reactome) Metabolism of nucleotides","REACTOME_METABOLISM_OF_NUCLEOTIDES","NONE",-1.15,-2.99,0.0127,0.0228
"(Reactome) Signaling by TGF-beta Receptor Complex","REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX","NONE",-1.19,-2.95,0.0137,0.0243
"(PID) Ephrin B reverse signaling","PID_EPHRINB_REV_PATHWAY","NONE",0.857,2.95,0.0137,0.0243
"(Reactome) Glycolysis","REACTOME_GLYCOLYSIS","NONE",-1.27,-2.94,0.0139,0.0246
"(PID) BMP receptor signaling","PID_BMP_PATHWAY","NONE",1.47,2.91,0.0147,0.026
"(KEGG) Dorso-ventral axis formation","KEGG_DORSO_VENTRAL_AXIS_FORMATION","NONE",0.85,2.9,0.0149,0.0261
"(Reactome) PI3K events in ERBB4 signaling","REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING","NONE",1,2.88,0.0156,0.0272
"(PID) Plasma membrane estrogen receptor signaling","PID_ER_NONGENOMIC_PATHWAY","NONE",-1.26,-2.88,0.0156,0.0272
"(PID) CXCR3-mediated signaling events","PID_CXCR3_PATHWAY","NONE",1.11,2.87,0.0158,0.0274
"(Reactome) Gastrin-CREB signalling pathway via PKC and MAPK","REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK","NONE",1.57,2.85,0.0164,0.0283
"(KEGG) Melanogenesis","KEGG_MELANOGENESIS","NONE",-0.724,-2.85,0.0164,0.0283
"(PID) Signaling events mediated by PTP1B","PID_PTP1B_PATHWAY","NONE",1.12,2.83,0.0169,0.0291
"(Reactome) Synthesis of PIPs at the Golgi membrane","REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE","NONE",-0.972,-2.83,0.017,0.0292
"(Reactome) APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1","NONE",-0.797,-2.82,0.0172,0.0293
"(Reactome) APC/C:Cdc20 mediated degradation of mitotic proteins","REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS","NONE",-0.797,-2.82,0.0172,0.0293
"(Reactome) Autodegradation of Cdh1 by Cdh1:APC/C","REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C","NONE",-0.797,-2.82,0.0172,0.0293
"(Reactome) Costimulation by the CD28 family","REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY","NONE",0.987,2.82,0.0172,0.0293
"(Reactome) Potassium Channels","REACTOME_POTASSIUM_CHANNELS","NONE",1.49,2.8,0.0179,0.0304
"(Reactome) ARMS-mediated activation","REACTOME_ARMS_MEDIATED_ACTIVATION","NONE",0.821,2.78,0.0186,0.0313
"(Reactome) Prolonged ERK activation events","REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS","NONE",0.821,2.78,0.0186,0.0313
"(Reactome) Signaling by ERBB2","REACTOME_SIGNALING_BY_ERBB2","NONE",0.656,2.77,0.0189,0.0316
"(PID) BCR signaling pathway","PID_BCR_5PATHWAY","NONE",0.79,2.72,0.0205,0.0344
"(PID) Nectin adhesion pathway","PID_NECTIN_PATHWAY","NONE",0.947,2.71,0.0209,0.0348
"(STKE) T Cell Signal Transduction","ST_T_CELL_SIGNAL_TRANSDUCTION","NONE",0.814,2.71,0.021,0.0348
"(KEGG) Regulation of actin cytoskeleton","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","NONE",0.666,2.71,0.021,0.0348
"(BioCarta) Role of MEF2D in T-cell Apoptosis","BIOCARTA_MEF2D_PATHWAY","NONE",-0.886,-2.7,0.0213,0.0351
"(KEGG) Purine metabolism","KEGG_PURINE_METABOLISM","NONE",-0.944,-2.7,0.0213,0.0351
"(BioCarta) Keratinocyte Differentiation","BIOCARTA_KERATINOCYTE_PATHWAY","NONE",0.867,2.69,0.0215,0.0353
"(PID) IL12-mediated signaling events","PID_IL12_2PATHWAY","NONE",0.803,2.69,0.0218,0.0357
"(Reactome) PI Metabolism","REACTOME_PI_METABOLISM","NONE",-0.875,-2.67,0.0222,0.0363
"(Reactome) MHC class II antigen presentation","REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION","NONE",0.7,2.67,0.0225,0.0366
"(KEGG) Fc epsilon RI signaling pathway","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY","NONE",0.75,2.66,0.0229,0.0371
"(KEGG) Endometrial cancer","KEGG_ENDOMETRIAL_CANCER","NONE",0.879,2.65,0.023,0.0373
"(Reactome) DAG and IP3 signaling","REACTOME_DAG_AND_IP3_SIGNALING","NONE",-0.7,-2.64,0.0235,0.038
"(Reactome) Downstream Signaling Events Of B Cell Receptor (BCR)","REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR","NONE",0.989,2.63,0.024,0.0386
"(Reactome) Adaptive Immune System","REACTOME_ADAPTIVE_IMMUNE_SYSTEM","NONE",0.647,2.62,0.0243,0.0391
"(Reactome) GABA B receptor activation","REACTOME_GABA_B_RECEPTOR_ACTIVATION","NONE",-0.804,-2.6,0.0253,0.0404
"(Reactome) GABA receptor activation","REACTOME_GABA_RECEPTOR_ACTIVATION","NONE",-0.804,-2.6,0.0253,0.0404
"(Reactome) Phospholipid metabolism","REACTOME_PHOSPHOLIPID_METABOLISM","NONE",-0.768,-2.6,0.0255,0.0405
"(Reactome) RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways","REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS","NONE",-0.909,-2.59,0.0257,0.0408
"(Reactome) Signaling by FGFR mutants","REACTOME_SIGNALING_BY_FGFR_MUTANTS","NONE",0.82,2.58,0.0261,0.0412
"(PID) PDGFR-beta signaling pathway","PID_PDGFRB_PATHWAY","NONE",0.669,2.57,0.0268,0.0423
"(PID) HIF-1-alpha transcription factor network","PID_HIF1_TFPATHWAY","NONE",-0.729,-2.53,0.0284,0.0446
"(BioCarta) T Cell Receptor Signaling Pathway","BIOCARTA_TCR_PATHWAY","NONE",0.631,2.53,0.0285,0.0446
"(KEGG) Thyroid cancer","KEGG_THYROID_CANCER","NONE",1.32,2.53,0.0285,0.0446
"(Reactome) Factors involved in megakaryocyte development and platelet production","REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION","NONE",-0.761,-2.51,0.0297,0.0463
"(Reactome) Trafficking of AMPA receptors","REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS","NONE",0.82,2.5,0.0303,0.0471
"(KEGG) Viral myocarditis","KEGG_VIRAL_MYOCARDITIS","NONE",0.797,2.48,0.0313,0.0486
"(Reactome) Sphingolipid de novo biosynthesis","REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS","NONE",1.49,2.46,0.0321,0.0497
"(Reactome) Metabolism of carbohydrates","REACTOME_METABOLISM_OF_CARBOHYDRATES","NONE",-0.73,-2.45,0.0332,0.0512
"(Naba) Ensemble of genes encoding core extracellular matrix including ECM glycoproteins, collagens and proteoglycans","NABA_CORE_MATRISOME","NONE",1.39,2.44,0.0337,0.0518
"(PID) Integrins in angiogenesis","PID_AVB3_INTEGRIN_PATHWAY","NONE",0.772,2.43,0.0339,0.052
"(Reactome) G-protein beta:gamma signalling","REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING","NONE",-1.01,-2.42,0.0348,0.0532
"(PID) RhoA signaling pathway","PID_RHOA_PATHWAY","NONE",0.744,2.41,0.0353,0.0539
"(BioCarta) Toll-Like Receptor Pathway","BIOCARTA_TOLL_PATHWAY","NONE",1.19,2.4,0.0358,0.0545
"(PID) Alpha-synuclein signaling","PID_ALPHA_SYNUCLEIN_PATHWAY","NONE",1.29,2.38,0.037,0.0561
"(Reactome) Downstream signal transduction","REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION","NONE",0.523,2.37,0.0381,0.0577
"(Reactome) Glucose metabolism","REACTOME_GLUCOSE_METABOLISM","NONE",-0.897,-2.35,0.0395,0.0596
"(Reactome) GPCR downstream signaling","REACTOME_GPCR_DOWNSTREAM_SIGNALING","NONE",0.663,2.34,0.04,0.0602
"(PID) Regulation of retinoblastoma protein","PID_RB_1PATHWAY","NONE",-1.59,-2.34,0.0403,0.0605
"(PID) Regulation of nuclear SMAD2/3 signaling","PID_SMAD2_3NUCLEAR_PATHWAY","NONE",-1.27,-2.32,0.0412,0.0617
"(BioCarta) Presenilin action in Notch and Wnt signaling","BIOCARTA_PS1_PATHWAY","NONE",1.63,2.32,0.0413,0.0617
"(KEGG) Chronic myeloid leukemia","KEGG_CHRONIC_MYELOID_LEUKEMIA","NONE",-0.702,-2.31,0.0421,0.0626
"(Reactome) Phospholipase C-mediated cascade","REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE","NONE",-0.819,-2.31,0.0423,0.0628
"(KEGG) Proteasome","KEGG_PROTEASOME","NONE",-0.609,-2.29,0.0434,0.0639
"(Reactome) Cross-presentation of soluble exogenous antigens (endosomes)","REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES","NONE",-0.609,-2.29,0.0434,0.0639
"(Reactome) Regulation of ornithine decarboxylase (ODC)","REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC","NONE",-0.609,-2.29,0.0434,0.0639
