"STANDARD_NAME","CONTRIBUTOR","DESCRIPTION_BRIEF","display_name"
"BIOCARTA_HSP27_PATHWAY","BioCarta","Stress Induction of HSP Regulation","(BioCarta) Stress Induction of HSP Regulation"
"BIOCARTA_TCR_PATHWAY","BioCarta","T Cell Receptor Signaling Pathway","(BioCarta) T Cell Receptor Signaling Pathway"
"BIOCARTA_TCYTOTOXIC_PATHWAY","BioCarta","T Cytotoxic Cell Surface Molecules","(BioCarta) T Cytotoxic Cell Surface Molecules"
"BIOCARTA_THELPER_PATHWAY","BioCarta","T Helper Cell Surface Molecules","(BioCarta) T Helper Cell Surface Molecules"
"BIOCARTA_TALL1_PATHWAY","BioCarta","TACI and BCMA stimulation of B cell immune responses.","(BioCarta) TACI and BCMA stimulation of B cell immune responses."
"BIOCARTA_TEL_PATHWAY","BioCarta","Telomeres, Telomerase, Cellular Aging, and Immortality","(BioCarta) Telomeres, Telomerase, Cellular Aging, and Immortality"
"BIOCARTA_TGFB_PATHWAY","BioCarta","TGF beta signaling pathway","(BioCarta) TGF beta signaling pathway"
"BIOCARTA_TH1TH2_PATHWAY","BioCarta","Th1/Th2 Differentiation","(BioCarta) Th1/Th2 Differentiation"
"BIOCARTA_41BB_PATHWAY","BioCarta","The 4-1BB-dependent immune response","(BioCarta) The 4-1BB-dependent immune response"
"BIOCARTA_KREB_PATHWAY","BioCarta","The Citric Acid Cycle","(BioCarta) The Citric Acid Cycle"
"BIOCARTA_CTLA4_PATHWAY","BioCarta","The Co-Stimulatory Signal During T-cell Activation","(BioCarta) The Co-Stimulatory Signal During T-cell Activation"
"BIOCARTA_LONGEVITY_PATHWAY","BioCarta","The IGF-1 Receptor and Longevity","(BioCarta) The IGF-1 Receptor and Longevity"
"BIOCARTA_SARS_PATHWAY","BioCarta","The SARS-coronavirus Life Cycle","(BioCarta) The SARS-coronavirus Life Cycle"
"BIOCARTA_PAR1_PATHWAY","BioCarta","Thrombin signaling and protease-activated receptors","(BioCarta) Thrombin signaling and protease-activated receptors"
"BIOCARTA_STRESS_PATHWAY","BioCarta","TNF/Stress Related Signaling","(BioCarta) TNF/Stress Related Signaling"
"BIOCARTA_TNFR1_PATHWAY","BioCarta","TNFR1 Signaling Pathway","(BioCarta) TNFR1 Signaling Pathway"
"BIOCARTA_TNFR2_PATHWAY","BioCarta","TNFR2 Signaling Pathway","(BioCarta) TNFR2 Signaling Pathway"
"BIOCARTA_TOLL_PATHWAY","BioCarta","Toll-Like Receptor Pathway","(BioCarta) Toll-Like Receptor Pathway"
"BIOCARTA_TPO_PATHWAY","BioCarta","TPO Signaling Pathway","(BioCarta) TPO Signaling Pathway"
"BIOCARTA_CREB_PATHWAY","BioCarta","Transcription factor CREB and its extracellular signals","(BioCarta) Transcription factor CREB and its extracellular signals"
"BIOCARTA_CARM1_PATHWAY","BioCarta","Transcription Regulation by Methyltransferase of CARM1","(BioCarta) Transcription Regulation by Methyltransferase of CARM1"
"BIOCARTA_TFF_PATHWAY","BioCarta","Trefoil Factors Initiate Mucosal Healing","(BioCarta) Trefoil Factors Initiate Mucosal Healing"
"BIOCARTA_TRKA_PATHWAY","BioCarta","Trka Receptor Signaling Pathway","(BioCarta) Trka Receptor Signaling Pathway"
"BIOCARTA_ARF_PATHWAY","BioCarta","Tumor Suppressor Arf Inhibits Ribosomal Biogenesis","(BioCarta) Tumor Suppressor Arf Inhibits Ribosomal Biogenesis"
"BIOCARTA_UCALPAIN_PATHWAY","BioCarta","uCalpain and friends in Cell spread","(BioCarta) uCalpain and friends in Cell spread"
"BIOCARTA_VEGF_PATHWAY","BioCarta","VEGF, Hypoxia, and Angiogenesis","(BioCarta) VEGF, Hypoxia, and Angiogenesis"
"BIOCARTA_VITCB_PATHWAY","BioCarta","Vitamin C in the Brain","(BioCarta) Vitamin C in the Brain"
"BIOCARTA_WNT_PATHWAY","BioCarta","WNT Signaling Pathway","(BioCarta) WNT Signaling Pathway"
"BIOCARTA_ACTINY_PATHWAY","BioCarta","Y branching of actin filaments","(BioCarta) Y branching of actin filaments"
"ST_INTERFERON_GAMMA_PATHWAY","STKE","Interferon gamma pathway.","(STKE) Interferon gamma pathway."
"ST_WNT_CA2_CYCLIC_GMP_PATHWAY","STKE","Wnt/Ca2+/cyclic GMP signaling.","(STKE) Wnt/Ca2+/cyclic GMP signaling."
"ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS","STKE","Differentiation Pathway in PC12 Cells; this is a specific case of PAC1 Receptor Pathway.","(STKE) Differentiation Pathway in PC12 Cells; this is a specific case of PAC1 Receptor Pathway."
"ST_TUMOR_NECROSIS_FACTOR_PATHWAY","STKE","Tumor Necrosis Factor Pathway.","(STKE) Tumor Necrosis Factor Pathway."
"SA_B_CELL_RECEPTOR_COMPLEXES","SigmaAldrich","Antigen binding to B cell receptors activates protein tyrosine kinases, such as the Src family, which ultimate activate MAP kinases.","(SigmaAldrich) Antigen binding to B cell receptors activates protein tyrosine kinases, such as the Src family, which ultimate activate MAP kinases."
"ST_ERK1_ERK2_MAPK_PATHWAY","STKE","ERK1/ERK2 MAPK Pathway","(STKE) ERK1/ERK2 MAPK Pathway"
"SIG_CD40PATHWAYMAP","Signaling Gateway","Genes related to CD40 signaling","(Signaling Gateway) Genes related to CD40 signaling"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","Signaling Gateway","Genes related to PIP3 signaling in cardiac myocytes","(Signaling Gateway) Genes related to PIP3 signaling in cardiac myocytes"
"SA_CASPASE_CASCADE","SigmaAldrich","Apoptosis is mediated by caspases, cysteine proteases arranged in a proteolytic cascade.","(SigmaAldrich) Apoptosis is mediated by caspases, cysteine proteases arranged in a proteolytic cascade."
"ST_GA12_PATHWAY","STKE","G alpha 12 Pathway","(STKE) G alpha 12 Pathway"
"ST_G_ALPHA_S_PATHWAY","STKE","G alpha s Pathway","(STKE) G alpha s Pathway"
"ST_G_ALPHA_I_PATHWAY","STKE","G alpha i Pathway","(STKE) G alpha i Pathway"
"SIG_CHEMOTAXIS","Signaling Gateway","Genes related to chemotaxis","(Signaling Gateway) Genes related to chemotaxis"
"ST_IL_13_PATHWAY","STKE","Interleukin 13 (IL-13) Pathway","(STKE) Interleukin 13 (IL-13) Pathway"
"ST_P38_MAPK_PATHWAY","STKE","p38 MAPK Pathway","(STKE) p38 MAPK Pathway"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","Signaling Gateway","Genes related to IL4 rceptor signaling in B lymphocytes","(Signaling Gateway) Genes related to IL4 rceptor signaling in B lymphocytes"
"WNT_SIGNALING","SuperArray","Genes related to Wnt-mediated signal transduction","(SuperArray) Genes related to Wnt-mediated signal transduction"
"ST_JAK_STAT_PATHWAY","STKE","Jak-STAT Pathway","(STKE) Jak-STAT Pathway"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","Signaling Gateway","Genes related to regulation of the actin cytoskeleton","(Signaling Gateway) Genes related to regulation of the actin cytoskeleton"
"ST_GRANULE_CELL_SURVIVAL_PATHWAY","STKE","Granule Cell Survival Pathway is a specific case of more general PAC1 Receptor Pathway.","(STKE) Granule Cell Survival Pathway is a specific case of more general PAC1 Receptor Pathway."
"ST_ADRENERGIC","STKE","Adrenergic Pathway","(STKE) Adrenergic Pathway"
"ST_INTEGRIN_SIGNALING_PATHWAY","STKE","Integrin Signaling Pathway","(STKE) Integrin Signaling Pathway"
"ST_GAQ_PATHWAY","STKE","G alpha q Pathway","(STKE) G alpha q Pathway"
"ST_GA13_PATHWAY","STKE","G alpha 13 Pathway","(STKE) G alpha 13 Pathway"
"ST_STAT3_PATHWAY","STKE","STAT3 Pathway","(STKE) STAT3 Pathway"
"SA_FAS_SIGNALING","SigmaAldrich","The TNF-type receptor Fas induces apoptosis on ligand binding.","(SigmaAldrich) The TNF-type receptor Fas induces apoptosis on ligand binding."
"SA_G1_AND_S_PHASES","SigmaAldrich","Cdk2, 4, and 6 bind cyclin D in G1, while cdk2/cyclin E promotes the G1/S transition.","(SigmaAldrich) Cdk2, 4, and 6 bind cyclin D in G1, while cdk2/cyclin E promotes the G1/S transition."
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","Signaling Gateway","Genes related to the insulin receptor pathway","(Signaling Gateway) Genes related to the insulin receptor pathway"
"ST_T_CELL_SIGNAL_TRANSDUCTION","STKE","T Cell Signal Transduction","(STKE) T Cell Signal Transduction"
"ST_TYPE_I_INTERFERON_PATHWAY","STKE","Type I Interferon (alpha/beta IFN) Pathway","(STKE) Type I Interferon (alpha/beta IFN) Pathway"
"ST_PAC1_RECEPTOR_PATHWAY","STKE","PAC1 Receptor Pathway","(STKE) PAC1 Receptor Pathway"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","Signaling Gateway","Genes related to PIP3 signaling in B lymphocytes","(Signaling Gateway) Genes related to PIP3 signaling in B lymphocytes"
"SIG_BCR_SIGNALING_PATHWAY","Signaling Gateway","Members of the BCR signaling pathway","(Signaling Gateway) Members of the BCR signaling pathway"
"SA_G2_AND_M_PHASES","SigmaAldrich","Cdc25 activates the cdc2/cyclin B complex to induce the G2/M transition.","(SigmaAldrich) Cdc25 activates the cdc2/cyclin B complex to induce the G2/M transition."
"ST_B_CELL_ANTIGEN_RECEPTOR","STKE","B Cell Antigen Receptor","(STKE) B Cell Antigen Receptor"
"ST_INTERLEUKIN_4_PATHWAY","STKE","Interleukin 4 (IL-4) Pathway","(STKE) Interleukin 4 (IL-4) Pathway"
"ST_WNT_BETA_CATENIN_PATHWAY","STKE","Wnt/beta-catenin Pathway","(STKE) Wnt/beta-catenin Pathway"
"SA_MMP_CYTOKINE_CONNECTION","SigmaAldrich","Cytokines can induce activation of matrix metalloproteinases, which degrade extracellular matrix.","(SigmaAldrich) Cytokines can induce activation of matrix metalloproteinases, which degrade extracellular matrix."
"ST_JNK_MAPK_PATHWAY","STKE","JNK MAPK Pathway","(STKE) JNK MAPK Pathway"
"SA_PROGRAMMED_CELL_DEATH","SigmaAldrich","Programmed cell death, or apoptosis, eliminates damaged or unneeded cells.","(SigmaAldrich) Programmed cell death, or apoptosis, eliminates damaged or unneeded cells."
"ST_FAS_SIGNALING_PATHWAY","STKE","Fas Signaling Pathway","(STKE) Fas Signaling Pathway"
"ST_MYOCYTE_AD_PATHWAY","STKE","Myocyte Adrenergic Pathway is a specific case of the generalized Adrenergic Pathway.","(STKE) Myocyte Adrenergic Pathway is a specific case of the generalized Adrenergic Pathway."
"SA_PTEN_PATHWAY","SigmaAldrich","PTEN is a tumor suppressor that dephosphorylates the lipid messenger phosphatidylinositol triphosphate.","(SigmaAldrich) PTEN is a tumor suppressor that dephosphorylates the lipid messenger phosphatidylinositol triphosphate."
"SA_REG_CASCADE_OF_CYCLIN_EXPR","SigmaAldrich","Expression of cyclins regulates progression through the cell cycle by activating cyclin-dependent kinases.","(SigmaAldrich) Expression of cyclins regulates progression through the cell cycle by activating cyclin-dependent kinases."
"SA_TRKA_RECEPTOR","SigmaAldrich","The TrkA receptor binds nerve growth factor to activate MAP kinase pathways and promote cell growth.","(SigmaAldrich) The TrkA receptor binds nerve growth factor to activate MAP kinase pathways and promote cell growth."
"ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY","STKE","PI3K Pathway","(STKE) PI3K Pathway"
"PID_FANCONI_PATHWAY","PID","Fanconi anemia pathway","(PID) Fanconi anemia pathway"
"PID_SMAD2_3NUCLEAR_PATHWAY","PID","Regulation of nuclear SMAD2/3 signaling","(PID) Regulation of nuclear SMAD2/3 signaling"
"PID_FCER1_PATHWAY","PID","Fc-epsilon receptor I signaling in mast cells","(PID) Fc-epsilon receptor I signaling in mast cells"
"PID_ENDOTHELIN_PATHWAY","PID","Endothelins","(PID) Endothelins"
"PID_BCR_5PATHWAY","PID","BCR signaling pathway","(PID) BCR signaling pathway"
"PID_PRL_SIGNALING_EVENTS_PATHWAY","PID","Signaling events mediated by PRL","(PID) Signaling events mediated by PRL"
"PID_RHOA_PATHWAY","PID","RhoA signaling pathway","(PID) RhoA signaling pathway"
"PID_ERBB4_PATHWAY","PID","ErbB4 signaling events","(PID) ErbB4 signaling events"
"PID_AURORA_B_PATHWAY","PID","Aurora B signaling","(PID) Aurora B signaling"
"PID_LYSOPHOSPHOLIPID_PATHWAY","PID","LPA receptor mediated events","(PID) LPA receptor mediated events"
"PID_INSULIN_PATHWAY","PID","Insulin Pathway","(PID) Insulin Pathway"
"PID_NOTCH_PATHWAY","PID","Notch signaling pathway","(PID) Notch signaling pathway"
"PID_INTEGRIN1_PATHWAY","PID","Beta1 integrin cell surface interactions","(PID) Beta1 integrin cell surface interactions"
"PID_P73PATHWAY","PID","p73 transcription factor network","(PID) p73 transcription factor network"
"PID_P38_MKK3_6PATHWAY","PID","p38 MAPK signaling pathway","(PID) p38 MAPK signaling pathway"
"PID_GMCSF_PATHWAY","PID","GMCSF-mediated signaling events","(PID) GMCSF-mediated signaling events"
"PID_WNT_NONCANONICAL_PATHWAY","PID","Noncanonical Wnt signaling pathway","(PID) Noncanonical Wnt signaling pathway"
"PID_NFKAPPAB_ATYPICAL_PATHWAY","PID","Atypical NF-kappaB pathway","(PID) Atypical NF-kappaB pathway"
"PID_IL4_2PATHWAY","PID","IL4-mediated signaling events","(PID) IL4-mediated signaling events"
"PID_HDAC_CLASSII_PATHWAY","PID","Signaling events mediated by HDAC Class II","(PID) Signaling events mediated by HDAC Class II"
"PID_BETA_CATENIN_DEG_PATHWAY","PID","Degradation of beta catenin","(PID) Degradation of beta catenin"
"PID_HDAC_CLASSIII_PATHWAY","PID","Signaling events mediated by HDAC Class III","(PID) Signaling events mediated by HDAC Class III"
"PID_GLYPICAN_1PATHWAY","PID","Glypican 1 network","(PID) Glypican 1 network"
"PID_TCR_PATHWAY","PID","TCR signaling in na&#xef;ve CD4+ T cells","(PID) TCR signaling in na&#xef;ve CD4+ T cells"
"PID_IL27_PATHWAY","PID","IL27-mediated signaling events","(PID) IL27-mediated signaling events"
"PID_NFKAPPAB_CANONICAL_PATHWAY","PID","Canonical NF-kappaB pathway","(PID) Canonical NF-kappaB pathway"
"PID_E2F_PATHWAY","PID","E2F transcription factor network","(PID) E2F transcription factor network"
"PID_ER_NONGENOMIC_PATHWAY","PID","Plasma membrane estrogen receptor signaling","(PID) Plasma membrane estrogen receptor signaling"
"PID_DNA_PK_PATHWAY","PID","DNA-PK pathway in nonhomologous end joining","(PID) DNA-PK pathway in nonhomologous end joining"
"PID_HIF2PATHWAY","PID","HIF-2-alpha transcription factor network","(PID) HIF-2-alpha transcription factor network"
"PID_CD40_PATHWAY","PID","CD40/CD40L signaling","(PID) CD40/CD40L signaling"
"PID_ATR_PATHWAY","PID","ATR signaling pathway","(PID) ATR signaling pathway"
"PID_INTEGRIN_CS_PATHWAY","PID","Integrin family cell surface interactions","(PID) Integrin family cell surface interactions"
"PID_MET_PATHWAY","PID","Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)","(PID) Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)"
"PID_PTP1B_PATHWAY","PID","Signaling events mediated by PTP1B","(PID) Signaling events mediated by PTP1B"
"PID_INTEGRIN3_PATHWAY","PID","Beta3 integrin cell surface interactions","(PID) Beta3 integrin cell surface interactions"
"PID_IL12_2PATHWAY","PID","IL12-mediated signaling events","(PID) IL12-mediated signaling events"
"PID_S1P_S1P3_PATHWAY","PID","S1P3 pathway","(PID) S1P3 pathway"
"PID_LPA4_PATHWAY","PID","LPA4-mediated signaling events","(PID) LPA4-mediated signaling events"
"PID_AR_PATHWAY","PID","Coregulation of Androgen receptor activity","(PID) Coregulation of Androgen receptor activity"
"PID_NFAT_TFPATHWAY","PID","Calcineurin-regulated NFAT-dependent transcription in lymphocytes","(PID) Calcineurin-regulated NFAT-dependent transcription in lymphocytes"
"PID_EPHB_FWD_PATHWAY","PID","EPHB forward signaling","(PID) EPHB forward signaling"
"PID_AVB3_OPN_PATHWAY","PID","Osteopontin-mediated events","(PID) Osteopontin-mediated events"
"PID_S1P_S1P4_PATHWAY","PID","S1P4 pathway","(PID) S1P4 pathway"
"PID_FRA_PATHWAY","PID","Validated transcriptional targets of AP1 family members Fra1 and Fra2","(PID) Validated transcriptional targets of AP1 family members Fra1 and Fra2"
"PID_MYC_ACTIV_PATHWAY","PID","Validated targets of C-MYC transcriptional activation","(PID) Validated targets of C-MYC transcriptional activation"
"PID_ARF6_TRAFFICKING_PATHWAY","PID","Arf6 trafficking events","(PID) Arf6 trafficking events"
"PID_RHOA_REG_PATHWAY","PID","Regulation of RhoA activity","(PID) Regulation of RhoA activity"
"PID_REELIN_PATHWAY","PID","Reelin signaling pathway","(PID) Reelin signaling pathway"
"PID_PS1_PATHWAY","PID","Presenilin action in Notch and Wnt signaling","(PID) Presenilin action in Notch and Wnt signaling"
"PID_ILK_PATHWAY","PID","Integrin-linked kinase signaling","(PID) Integrin-linked kinase signaling"
"PID_NECTIN_PATHWAY","PID","Nectin adhesion pathway","(PID) Nectin adhesion pathway"
"PID_P38_ALPHA_BETA_PATHWAY","PID","Regulation of p38-alpha and p38-beta","(PID) Regulation of p38-alpha and p38-beta"
"PID_WNT_SIGNALING_PATHWAY","PID","Wnt signaling network","(PID) Wnt signaling network"
"PID_TRAIL_PATHWAY","PID","TRAIL signaling pathway","(PID) TRAIL signaling pathway"
"PID_CDC42_PATHWAY","PID","CDC42 signaling events","(PID) CDC42 signaling events"
"PID_RET_PATHWAY","PID","Signaling events regulated by Ret tyrosine kinase","(PID) Signaling events regulated by Ret tyrosine kinase"
"PID_CDC42_REG_PATHWAY","PID","Regulation of CDC42 activity","(PID) Regulation of CDC42 activity"
"PID_ATM_PATHWAY","PID","ATM pathway","(PID) ATM pathway"
"PID_ARF6_PATHWAY","PID","Arf6 signaling events","(PID) Arf6 signaling events"
"PID_LKB1_PATHWAY","PID","LKB1 signaling events","(PID) LKB1 signaling events"
"PID_CD8_TCR_PATHWAY","PID","TCR signaling in na&#xef;ve CD8+ T cells","(PID) TCR signaling in na&#xef;ve CD8+ T cells"
"PID_WNT_CANONICAL_PATHWAY","PID","Canonical Wnt signaling pathway","(PID) Canonical Wnt signaling pathway"
"PID_TCPTP_PATHWAY","PID","Signaling events mediated by TCPTP","(PID) Signaling events mediated by TCPTP"
"PID_ANGIOPOIETIN_RECEPTOR_PATHWAY","PID","Angiopoietin receptor Tie2-mediated signaling","(PID) Angiopoietin receptor Tie2-mediated signaling"
"PID_FAS_PATHWAY","PID","FAS (CD95) signaling pathway","(PID) FAS (CD95) signaling pathway"
"PID_CIRCADIAN_PATHWAY","PID","Circadian rhythm pathway","(PID) Circadian rhythm pathway"
"PID_TXA2PATHWAY","PID","Thromboxane A2 receptor signaling","(PID) Thromboxane A2 receptor signaling"
"PID_SHP2_PATHWAY","PID","SHP2 signaling","(PID) SHP2 signaling"
"PID_HDAC_CLASSI_PATHWAY","PID","Signaling events mediated by HDAC Class I","(PID) Signaling events mediated by HDAC Class I"
"PID_S1P_S1P1_PATHWAY","PID","S1P1 pathway","(PID) S1P1 pathway"
"PID_TELOMERASE_PATHWAY","PID","Regulation of Telomerase","(PID) Regulation of Telomerase"
"PID_HNF3B_PATHWAY","PID","FOXA2 and FOXA3 transcription factor networks","(PID) FOXA2 and FOXA3 transcription factor networks"
"PID_NETRIN_PATHWAY","PID","Netrin-mediated signaling events","(PID) Netrin-mediated signaling events"
"PID_IL1_PATHWAY","PID","IL1-mediated signaling events","(PID) IL1-mediated signaling events"
"PID_NFAT_3PATHWAY","PID","Role of Calcineurin-dependent NFAT signaling in lymphocytes","(PID) Role of Calcineurin-dependent NFAT signaling in lymphocytes"
"PID_REG_GR_PATHWAY","PID","Glucocorticoid receptor regulatory network","(PID) Glucocorticoid receptor regulatory network"
"PID_CONE_PATHWAY","PID","Visual signal transduction: Cones","(PID) Visual signal transduction: Cones"
"PID_INTEGRIN_A9B1_PATHWAY","PID","Alpha9 beta1 integrin signaling events","(PID) Alpha9 beta1 integrin signaling events"
"PID_ERB_GENOMIC_PATHWAY","PID","Validated nuclear estrogen receptor beta network","(PID) Validated nuclear estrogen receptor beta network"
"PID_ARF6_DOWNSTREAM_PATHWAY","PID","Arf6 downstream pathway","(PID) Arf6 downstream pathway"
"PID_MTOR_4PATHWAY","PID","mTOR signaling pathway","(PID) mTOR signaling pathway"
"PID_IL2_1PATHWAY","PID","IL2-mediated signaling events","(PID) IL2-mediated signaling events"
"PID_CXCR4_PATHWAY","PID","CXCR4-mediated signaling events","(PID) CXCR4-mediated signaling events"
"PID_IGF1_PATHWAY","PID","IGF1 pathway","(PID) IGF1 pathway"
"PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY","PID","EGF receptor (ErbB1) signaling pathway","(PID) EGF receptor (ErbB1) signaling pathway"
"PID_TNF_PATHWAY","PID","TNF receptor signaling pathway","(PID) TNF receptor signaling pathway"
"PID_PLK1_PATHWAY","PID","PLK1 signaling events","(PID) PLK1 signaling events"
"PID_TCR_RAS_PATHWAY","PID","Ras signaling in the CD4+ TCR pathway","(PID) Ras signaling in the CD4+ TCR pathway"
"PID_IL5_PATHWAY","PID","IL5-mediated signaling events","(PID) IL5-mediated signaling events"
"PID_FOXO_PATHWAY","PID","FoxO family signaling","(PID) FoxO family signaling"
"PID_VEGF_VEGFR_PATHWAY","PID","VEGF and VEGFR signaling network","(PID) VEGF and VEGFR signaling network"
"PID_THROMBIN_PAR4_PATHWAY","PID","PAR4-mediated thrombin signaling events","(PID) PAR4-mediated thrombin signaling events"
"PID_MYC_PATHWAY","PID","C-MYC pathway","(PID) C-MYC pathway"
"PID_RANBP2_PATHWAY","PID","Sumoylation by RanBP2 regulates transcriptional repression","(PID) Sumoylation by RanBP2 regulates transcriptional repression"
"PID_PI3KCI_PATHWAY","PID","Class I PI3K signaling events","(PID) Class I PI3K signaling events"
"PID_AJDISS_2PATHWAY","PID","Posttranslational regulation of adherens junction stability and dissassembly","(PID) Posttranslational regulation of adherens junction stability and dissassembly"
"PID_IL2_PI3K_PATHWAY","PID","IL2 signaling events mediated by PI3K","(PID) IL2 signaling events mediated by PI3K"
"PID_CERAMIDE_PATHWAY","PID","Ceramide signaling pathway","(PID) Ceramide signaling pathway"
"PID_P53_DOWNSTREAM_PATHWAY","PID","Direct p53 effectors","(PID) Direct p53 effectors"
"PID_AR_TF_PATHWAY","PID","Regulation of Androgen receptor activity","(PID) Regulation of Androgen receptor activity"
"PID_P75_NTR_PATHWAY","PID","p75(NTR)-mediated signaling","(PID) p75(NTR)-mediated signaling"
"PID_S1P_META_PATHWAY","PID","Sphingosine 1-phosphate (S1P) pathway","(PID) Sphingosine 1-phosphate (S1P) pathway"
"PID_ECADHERIN_NASCENT_AJ_PATHWAY","PID","E-cadherin signaling in the nascent adherens junction","(PID) E-cadherin signaling in the nascent adherens junction"
"PID_INTEGRIN4_PATHWAY","PID","Alpha6 beta4 integrin-ligand interactions","(PID) Alpha6 beta4 integrin-ligand interactions"
"PID_AMB2_NEUTROPHILS_PATHWAY","PID","amb2 Integrin signaling","(PID) amb2 Integrin signaling"
"PID_AVB3_INTEGRIN_PATHWAY","PID","Integrins in angiogenesis","(PID) Integrins in angiogenesis"
"PID_IFNG_PATHWAY","PID","IFN-gamma pathway","(PID) IFN-gamma pathway"
"PID_RXR_VDR_PATHWAY","PID","RXR and RAR heterodimerization with other nuclear receptor","(PID) RXR and RAR heterodimerization with other nuclear receptor"
"PID_LIS1_PATHWAY","PID","Lissencephaly gene (LIS1) in neuronal migration and development","(PID) Lissencephaly gene (LIS1) in neuronal migration and development"
"PID_ERBB1_DOWNSTREAM_PATHWAY","PID","ErbB1 downstream signaling","(PID) ErbB1 downstream signaling"
"PID_SYNDECAN_4_PATHWAY","PID","Syndecan-4-mediated signaling events","(PID) Syndecan-4-mediated signaling events"
"PID_ATF2_PATHWAY","PID","ATF-2 transcription factor network","(PID) ATF-2 transcription factor network"
"PID_AP1_PATHWAY","PID","AP-1 transcription factor network","(PID) AP-1 transcription factor network"
"PID_INTEGRIN2_PATHWAY","PID","Beta2 integrin cell surface interactions","(PID) Beta2 integrin cell surface interactions"
"PID_UPA_UPAR_PATHWAY","PID","Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling","(PID) Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling"
"PID_ERBB2_ERBB3_PATHWAY","PID","ErbB2/ErbB3 signaling events","(PID) ErbB2/ErbB3 signaling events"
"PID_FOXM1_PATHWAY","PID","FOXM1 transcription factor network","(PID) FOXM1 transcription factor network"
"PID_EPHA_FWDPATHWAY","PID","EPHA forward signaling","(PID) EPHA forward signaling"
"PID_HIF1A_PATHWAY","PID","Hypoxic and oxygen homeostasis regulation of HIF-1-alpha","(PID) Hypoxic and oxygen homeostasis regulation of HIF-1-alpha"
"PID_BMP_PATHWAY","PID","BMP receptor signaling","(PID) BMP receptor signaling"
"PID_IL3_PATHWAY","PID","IL3-mediated signaling events","(PID) IL3-mediated signaling events"
"PID_IL6_7_PATHWAY","PID","IL6-mediated signaling events","(PID) IL6-mediated signaling events"
"PID_ECADHERIN_KERATINOCYTE_PATHWAY","PID","E-cadherin signaling in keratinocytes","(PID) E-cadherin signaling in keratinocytes"
"PID_ALK1_PATHWAY","PID","ALK1 signaling events","(PID) ALK1 signaling events"
"PID_PDGFRB_PATHWAY","PID","PDGFR-beta signaling pathway","(PID) PDGFR-beta signaling pathway"
"PID_TRKR_PATHWAY","PID","Neurotrophic factor-mediated Trk receptor signaling","(PID) Neurotrophic factor-mediated Trk receptor signaling"
"PID_TCR_JNK_PATHWAY","PID","JNK signaling in the CD4+ TCR pathway","(PID) JNK signaling in the CD4+ TCR pathway"
"PID_NEPHRIN_NEPH1_PATHWAY","PID","Nephrin/Neph1 signaling in the kidney podocyte","(PID) Nephrin/Neph1 signaling in the kidney podocyte"
"PID_CMYB_PATHWAY","PID","C-MYB transcription factor network","(PID) C-MYB transcription factor network"
"PID_IL23_PATHWAY","PID","IL23-mediated signaling events","(PID) IL23-mediated signaling events"
"PID_HIV_NEF_PATHWAY","PID","HIV-1 Nef: Negative effector of Fas and TNF-alpha","(PID) HIV-1 Nef: Negative effector of Fas and TNF-alpha"
"PID_SYNDECAN_1_PATHWAY","PID","Syndecan-1-mediated signaling events","(PID) Syndecan-1-mediated signaling events"
"PID_P38_MK2_PATHWAY","PID","p38 signaling mediated by MAPKAP kinases","(PID) p38 signaling mediated by MAPKAP kinases"
"PID_ERA_GENOMIC_PATHWAY","PID","Validated nuclear estrogen receptor alpha network","(PID) Validated nuclear estrogen receptor alpha network"
"PID_ERBB_NETWORK_PATHWAY","PID","ErbB receptor signaling network","(PID) ErbB receptor signaling network"
"PID_ALK2_PATHWAY","PID","ALK2 signaling events","(PID) ALK2 signaling events"
"PID_RHODOPSIN_PATHWAY","PID","Visual signal transduction: Rods","(PID) Visual signal transduction: Rods"
"PID_PDGFRA_PATHWAY","PID","PDGFR-alpha signaling pathway","(PID) PDGFR-alpha signaling pathway"
"PID_RETINOIC_ACID_PATHWAY","PID","Retinoic acid receptors-mediated signaling","(PID) Retinoic acid receptors-mediated signaling"
"PID_P38_GAMMA_DELTA_PATHWAY","PID","Signaling mediated by p38-gamma and p38-delta","(PID) Signaling mediated by p38-gamma and p38-delta"
"PID_IL8_CXCR2_PATHWAY","PID","IL8- and CXCR2-mediated signaling events","(PID) IL8- and CXCR2-mediated signaling events"
"PID_HEDGEHOG_2PATHWAY","PID","Signaling events mediated by the Hedgehog family","(PID) Signaling events mediated by the Hedgehog family"
